pair_id,cos_sim,cos_dist
0000,0.78027022,0.21972978
0001,0.79276085,0.20723915
0002,0.86129582,0.13870418
0003,0.73657608,0.26342392
0004,0.69337028,0.30662972
0005,0.75711715,0.24288285
0006,0.74110699,0.25889301
0007,0.64543521,0.35456479
0008,0.75277114,0.24722886
0009,0.81790996,0.18209004
0010,0.71181530,0.28818470
0011,0.70565069,0.29434931
0012,0.80372071,0.19627929
0013,0.74358618,0.25641382
0014,0.66270620,0.33729380
0015,0.74376535,0.25623465
0016,0.81582820,0.18417180
0017,0.74074072,0.25925928
0018,0.90837747,0.09162253
0019,0.72738707,0.27261293
0020,0.68648422,0.31351578
0021,0.69838309,0.30161691
0022,0.73994118,0.26005882
0023,0.72219253,0.27780747
0024,0.72884405,0.27115595
0025,0.82596630,0.17403370
0026,0.76982534,0.23017466
0027,0.81835693,0.18164307
0028,0.78269970,0.21730030
0029,0.62594569,0.37405431
0030,0.68681347,0.31318653
0031,0.67404962,0.32595038
0032,0.67786539,0.32213461
0033,0.77870792,0.22129208
0034,0.75536877,0.24463123
0035,0.76840293,0.23159707
0036,0.59917343,0.40082657
0037,0.71703440,0.28296560
0038,0.69804442,0.30195558
0039,0.68976933,0.31023067
0040,0.60195506,0.39804494
0041,0.68637210,0.31362790
0042,0.73735523,0.26264477
0043,0.78631711,0.21368289
0044,0.70410872,0.29589128
0045,0.68785512,0.31214488
0046,0.70154083,0.29845917
0047,0.77812785,0.22187215
0048,0.72335738,0.27664262
0049,0.76658392,0.23341608
0050,0.76220596,0.23779404
0051,0.69859242,0.30140758
0052,0.70319009,0.29680991
0053,0.75222963,0.24777037
0054,0.75861979,0.24138021
0055,0.71345872,0.28654128
0056,0.74314481,0.25685519
0057,0.71713948,0.28286052
0058,0.78030080,0.21969920
0059,0.75385404,0.24614596
0060,0.79490125,0.20509875
0061,0.66745883,0.33254117
0062,0.68227994,0.31772006
0063,0.82247829,0.17752171
0064,0.73414582,0.26585418
0065,0.61277503,0.38722497
0066,0.63775742,0.36224258
0067,0.73834062,0.26165938
0068,0.57040173,0.42959827
0069,0.72670907,0.27329093
0070,0.62833494,0.37166506
0071,0.72613084,0.27386916
0072,0.73047125,0.26952875
0073,0.63527906,0.36472094
0074,0.67316073,0.32683927
0075,0.72932988,0.27067012
0076,0.72711557,0.27288443
0077,0.66472173,0.33527827
0078,0.70999634,0.29000366
0079,0.71695030,0.28304970
0080,0.73855251,0.26144749
0081,0.75131434,0.24868566
0082,0.72454292,0.27545708
0083,0.71199310,0.28800690
0084,0.76726896,0.23273104
0085,0.74160743,0.25839257
0086,0.67537332,0.32462668
0087,0.66645747,0.33354253
0088,0.62775385,0.37224615
0089,0.72869778,0.27130222
0090,0.75781590,0.24218410
0091,0.67385983,0.32614017
0092,0.68000072,0.31999928
0093,0.72711247,0.27288753
0094,0.66657692,0.33342308
0095,0.76414794,0.23585206
0096,0.72891694,0.27108306
0097,0.64994025,0.35005975
0098,0.71988875,0.28011125
0099,0.70719230,0.29280770
0100,0.78111744,0.21888256
0101,0.71082687,0.28917313
0102,0.76076043,0.23923957
0103,0.70209789,0.29790211
0104,0.73062301,0.26937699
0105,0.75027865,0.24972135
