pair_id,cos_sim,cos_dist
0000,0.97619843,0.02380157
0001,0.98096228,0.01903772
0002,0.98255605,0.01744395
0003,0.98562348,0.01437652
0004,0.94235337,0.05764663
0005,0.97030044,0.02969956
0006,0.97342312,0.02657688
0007,0.97985041,0.02014959
0008,0.98816043,0.01183957
0009,0.98416805,0.01583195
0010,0.98711497,0.01288503
0011,0.96864182,0.03135818
0012,0.97330683,0.02669317
0013,0.98127484,0.01872516
0014,0.95117050,0.04882950
0015,0.97668916,0.02331084
0016,0.97297513,0.02702487
0017,0.97471285,0.02528715
0018,0.99252379,0.00747621
0019,0.97059083,0.02940917
0020,0.96903586,0.03096414
0021,0.96963054,0.03036946
0022,0.96871746,0.03128254
0023,0.97754318,0.02245682
0024,0.95791984,0.04208016
0025,0.98159075,0.01840925
0026,0.98988646,0.01011354
0027,0.98346543,0.01653457
0028,0.97654778,0.02345222
0029,0.98135817,0.01864183
0030,0.96286869,0.03713131
0031,0.97856736,0.02143264
0032,0.96702462,0.03297538
0033,0.98095834,0.01904166
0034,0.97839731,0.02160269
0035,0.96856076,0.03143924
0036,0.95684284,0.04315716
0037,0.97423154,0.02576846
0038,0.94924891,0.05075109
0039,0.98236513,0.01763487
0040,0.96581191,0.03418809
0041,0.96112192,0.03887808
0042,0.98592657,0.01407343
0043,0.97355604,0.02644396
0044,0.98308486,0.01691514
0045,0.98725152,0.01274848
0046,0.95139664,0.04860336
0047,0.97331476,0.02668524
0048,0.97688556,0.02311444
0049,0.97711498,0.02288502
0050,0.98109788,0.01890212
0051,0.96029520,0.03970480
0052,0.97728848,0.02271152
0053,0.97985715,0.02014285
0054,0.97642154,0.02357846
0055,0.98025709,0.01974291
0056,0.95326972,0.04673028
0057,0.96775430,0.03224570
0058,0.97883219,0.02116781
0059,0.96617633,0.03382367
0060,0.98486060,0.01513940
0061,0.94401932,0.05598068
0062,0.97132504,0.02867496
0063,0.98564869,0.01435131
0064,0.97891414,0.02108586
0065,0.97112119,0.02887881
0066,0.97382224,0.02617776
0067,0.97661221,0.02338779
0068,0.96699005,0.03300995
0069,0.97213233,0.02786767
0070,0.94543809,0.05456191
0071,0.97828817,0.02171183
0072,0.96755230,0.03244770
0073,0.97043145,0.02956855
0074,0.97170174,0.02829826
0075,0.97099805,0.02900195
0076,0.97560447,0.02439553
0077,0.96942145,0.03057855
0078,0.97607529,0.02392471
0079,0.97436929,0.02563071
0080,0.98322684,0.01677316
0081,0.97297448,0.02702552
0082,0.97390056,0.02609944
0083,0.97930825,0.02069175
0084,0.97161329,0.02838671
0085,0.97649467,0.02350533
0086,0.96720850,0.03279150
0087,0.96334922,0.03665078
0088,0.96824282,0.03175718
0089,0.98255301,0.01744699
0090,0.97541982,0.02458018
0091,0.97141838,0.02858162
0092,0.97510171,0.02489829
0093,0.98276746,0.01723254
0094,0.96801937,0.03198063
0095,0.96735001,0.03264999
0096,0.98237866,0.01762134
0097,0.97928941,0.02071059
0098,0.97515965,0.02484035
0099,0.97408646,0.02591354
0100,0.98013967,0.01986033
0101,0.96510428,0.03489572
0102,0.97584444,0.02415556
0103,0.95678735,0.04321265
0104,0.97805500,0.02194500
0105,0.97271359,0.02728641
0106,0.95096207,0.04903793
0107,0.95664525,0.04335475
0108,0.97940272,0.02059728
0109,0.98350185,0.01649815
0110,0.98185939,0.01814061
0111,0.98599982,0.01400018
0112,0.94677538,0.05322462
0113,0.96185017,0.03814983
0114,0.97779030,0.02220970
0115,0.95706588,0.04293412
0116,0.98094457,0.01905543
0117,0.97705036,0.02294964
0118,0.98521614,0.01478386
0119,0.97762638,0.02237362
0120,0.98858231,0.01141769
0121,0.98244417,0.01755583
0122,0.98087406,0.01912594
0123,0.98458052,0.01541948
0124,0.96922547,0.03077453
0125,0.96311867,0.03688133
0126,0.97873956,0.02126044
0127,0.97848713,0.02151287
0128,0.97962403,0.02037597
0129,0.98066515,0.01933485
0130,0.98174304,0.01825696
0131,0.94342571,0.05657429
0132,0.97826827,0.02173173
0133,0.98259151,0.01740849
0134,0.96143335,0.03856665
0135,0.97331953,0.02668047
0136,0.97647470,0.02352530
0137,0.97236431,0.02763569
0138,0.97449714,0.02550286
0139,0.97853577,0.02146423
0140,0.96822983,0.03177017
0141,0.98649091,0.01350909
0142,0.95980299,0.04019701
0143,0.97178286,0.02821714
0144,0.98358583,0.01641417
0145,0.98610747,0.01389253
0146,0.96046925,0.03953075
0147,0.95521331,0.04478669
0148,0.97798759,0.02201241
0149,0.97698885,0.02301115
0150,0.97137070,0.02862930
0151,0.97519159,0.02480841
0152,0.95825815,0.04174185
0153,0.98054808,0.01945192
0154,0.97464037,0.02535963
0155,0.97408617,0.02591383
0156,0.98047364,0.01952636
