pair_id,cos_sim,cos_dist
0000,0.67657495,0.32342505
0001,0.61993873,0.38006127
0002,0.61114955,0.38885045
0003,0.70227188,0.29772812
0004,0.60601646,0.39398354
0005,0.58291256,0.41708744
0006,0.59224045,0.40775955
0007,0.52720404,0.47279596
0008,0.74460310,0.25539690
0009,0.67512852,0.32487148
0010,0.62175739,0.37824261
0011,0.69626045,0.30373955
0012,0.65555489,0.34444511
0013,0.60613918,0.39386082
0014,0.65199816,0.34800184
0015,0.77762240,0.22237760
0016,0.69452959,0.30547041
0017,0.61692697,0.38307303
0018,0.86564291,0.13435709
0019,0.71896094,0.28103906
0020,0.61830568,0.38169432
0021,0.65101099,0.34898901
0022,0.71513158,0.28486842
0023,0.70260513,0.29739487
0024,0.51253974,0.48746026
0025,0.74062192,0.25937808
0026,0.72087079,0.27912921
0027,0.75947207,0.24052793
0028,0.58084434,0.41915566
0029,0.64202768,0.35797232
0030,0.70417440,0.29582560
0031,0.64737427,0.35262573
0032,0.59631562,0.40368438
0033,0.62339890,0.37660110
0034,0.65975827,0.34024173
0035,0.73158234,0.26841766
0036,0.67437947,0.32562053
0037,0.49913871,0.50086129
0038,0.55022591,0.44977409
0039,0.66751730,0.33248270
0040,0.53572834,0.46427166
0041,0.61834925,0.38165075
0042,0.72073472,0.27926528
0043,0.65664530,0.34335470
0044,0.56489861,0.43510139
0045,0.66013139,0.33986861
0046,0.49298042,0.50701958
0047,0.70006377,0.29993623
0048,0.67528319,0.32471681
0049,0.63291121,0.36708879
0050,0.69585782,0.30414218
0051,0.57189411,0.42810589
0052,0.59912103,0.40087897
0053,0.71867114,0.28132886
0054,0.64017904,0.35982096
0055,0.64880240,0.35119760
0056,0.70742232,0.29257768
0057,0.71666330,0.28333670
0058,0.64584541,0.35415459
0059,0.60460240,0.39539760
0060,0.73909408,0.26090592
0061,0.60386026,0.39613974
0062,0.64034319,0.35965681
0063,0.75273889,0.24726111
0064,0.72147471,0.27852529
0065,0.56535941,0.43464059
