pair_id,cos_sim,cos_dist
0000,0.65831769,0.34168231
0001,0.67913926,0.32086074
0002,0.69123471,0.30876529
0003,0.72235882,0.27764118
0004,0.51442313,0.48557687
0005,0.57415533,0.42584467
0006,0.49188721,0.50811279
0007,0.67210537,0.32789463
0008,0.72862488,0.27137512
0009,0.66817987,0.33182013
0010,0.69814432,0.30185568
0011,0.61373788,0.38626212
0012,0.53239959,0.46760041
0013,0.59720236,0.40279764
0014,0.56821632,0.43178368
0015,0.67988551,0.32011449
0016,0.58610803,0.41389197
0017,0.68574053,0.31425947
0018,0.77991319,0.22008681
0019,0.63420552,0.36579448
0020,0.55819130,0.44180870
0021,0.59072715,0.40927285
0022,0.60206854,0.39793146
0023,0.66227734,0.33772266
0024,0.50421751,0.49578249
0025,0.62175798,0.37824202
0026,0.71419930,0.28580070
0027,0.70215786,0.29784214
0028,0.66613132,0.33386868
0029,0.62782657,0.37217343
0030,0.53540409,0.46459591
0031,0.70150858,0.29849142
0032,0.60915840,0.39084160
0033,0.56489837,0.43510163
0034,0.70617723,0.29382277
0035,0.58259791,0.41740209
0036,0.51993322,0.48006678
0037,0.59075999,0.40924001
0038,0.46207020,0.53792980
0039,0.61250162,0.38749838
0040,0.53686720,0.46313280
0041,0.50068885,0.49931115
0042,0.55201089,0.44798911
0043,0.56414187,0.43585813
0044,0.63830709,0.36169291
0045,0.77863377,0.22136623
0046,0.48211512,0.51788488
0047,0.56727344,0.43272656
0048,0.59770215,0.40229785
0049,0.70118606,0.29881394
0050,0.69668055,0.30331945
0051,0.53361386,0.46638614
0052,0.66095269,0.33904731
0053,0.64103514,0.35896486
0054,0.67832565,0.32167435
0055,0.56407720,0.43592280
0056,0.60620165,0.39379835
0057,0.63785982,0.36214018
0058,0.66360515,0.33639485
0059,0.55295008,0.44704992
0060,0.75524098,0.24475902
0061,0.57579690,0.42420310
0062,0.57095814,0.42904186
0063,0.71260333,0.28739667
0064,0.60940242,0.39059758
0065,0.58005941,0.41994059
0066,0.59825820,0.40174180
0067,0.73880798,0.26119202
0068,0.54346645,0.45653355
0069,0.51087540,0.48912460
0070,0.50679457,0.49320543
0071,0.66012365,0.33987635
0072,0.57277465,0.42722535
0073,0.59530848,0.40469152
0074,0.61355793,0.38644207
0075,0.68565083,0.31434917
0076,0.62749994,0.37250006
0077,0.53739268,0.46260732
0078,0.69889754,0.30110246
0079,0.53267038,0.46732962
0080,0.60404891,0.39595109
0081,0.64203668,0.35796332
0082,0.64651650,0.35348350
0083,0.57332927,0.42667073
0084,0.52420270,0.47579730
0085,0.63583720,0.36416280
0086,0.62880552,0.37119448
0087,0.52208459,0.47791541
0088,0.48161975,0.51838025
0089,0.65051794,0.34948206
0090,0.55851263,0.44148737
0091,0.57863379,0.42136621
0092,0.62011766,0.37988234
0093,0.59313262,0.40686738
0094,0.54515004,0.45484996
0095,0.59795451,0.40204549
0096,0.61796790,0.38203210
0097,0.67875946,0.32124054
0098,0.62702602,0.37297398
0099,0.51963365,0.48036635
0100,0.63909042,0.36090958
0101,0.56873631,0.43126369
0102,0.66577226,0.33422774
0103,0.46595198,0.53404802
0104,0.62222505,0.37777495
0105,0.57199585,0.42800415
0106,0.58649868,0.41350132
0107,0.46743852,0.53256148
0108,0.67775762,0.32224238
0109,0.68666971,0.31333029
0110,0.60585356,0.39414644
0111,0.61450237,0.38549763
0112,0.58266598,0.41733402
0113,0.61826414,0.38173586
0114,0.64245480,0.35754520
0115,0.44629002,0.55370998
0116,0.68890637,0.31109363
0117,0.60757750,0.39242250
0118,0.60388845,0.39611155
0119,0.67820346,0.32179654
0120,0.67872828,0.32127172
0121,0.68027568,0.31972432
0122,0.56659603,0.43340397
0123,0.65899456,0.34100544
0124,0.57789022,0.42210978
0125,0.48614717,0.51385283
0126,0.55341768,0.44658232
0127,0.47823879,0.52176121
0128,0.73068953,0.26931047
0129,0.62311900,0.37688100
0130,0.66966188,0.33033812
0131,0.51039654,0.48960346
