pair_id,cos_sim,cos_dist
0000,0.39106524,0.60893476
0001,0.38710466,0.61289534
0002,0.64225799,0.35774201
0003,0.40020639,0.59979361
0004,0.17625979,0.82374021
0005,0.23048604,0.76951396
0006,0.18326156,0.81673844
0007,0.35919583,0.64080417
0008,0.36340350,0.63659650
0009,0.38619041,0.61380959
0010,0.53009129,0.46990871
0011,0.10332064,0.89667936
0012,0.46833166,0.53166834
0013,0.31138161,0.68861839
0014,0.22954230,0.77045770
0015,0.24156062,0.75843938
0016,0.31157801,0.68842199
0017,0.24496678,0.75503322
0018,0.88985533,0.11014467
0019,0.30847016,0.69152984
0020,0.26916698,0.73083302
0021,0.24674785,0.75325215
0022,0.35446244,0.64553756
0023,0.24486089,0.75513911
0024,0.06522282,0.93477718
0025,0.19787359,0.80212641
0026,0.55955559,0.44044441
0027,0.38056225,0.61943775
0028,0.27747154,0.72252846
0029,0.20210868,0.79789132
0030,0.11474487,0.88525513
0031,0.26271623,0.73728377
0032,0.32520443,0.67479557
0033,0.22391713,0.77608287
0034,0.16441566,0.83558434
0035,0.23138811,0.76861189
0036,0.09744612,0.90255388
0037,0.29036480,0.70963520
0038,0.04079523,0.95920477
0039,0.49985006,0.50014994
0040,0.20168605,0.79831395
0041,0.10716619,0.89283381
0042,0.17360309,0.82639691
0043,0.21271524,0.78728476
0044,0.23189366,0.76810634
0045,0.31631166,0.68368834
0046,0.07610480,0.92389520
0047,0.34022665,0.65977335
0048,0.41038832,0.58961168
0049,0.26614922,0.73385078
0050,0.48385313,0.51614687
0051,0.13142063,0.86857937
0052,0.19706619,0.80293381
0053,0.47673008,0.52326992
0054,0.29423428,0.70576572
0055,0.18685918,0.81314082
0056,0.32098633,0.67901367
0057,0.42429471,0.57570529
0058,0.33257762,0.66742238
0059,0.17131001,0.82868999
0060,0.47197536,0.52802464
0061,0.02012505,0.97987495
0062,0.36998397,0.63001603
0063,0.38142037,0.61857963
0064,0.30513495,0.69486505
0065,0.17418993,0.82581007
0066,0.16886035,0.83113965
0067,0.39538240,0.60461760
0068,0.09067971,0.90932029
0069,0.15167074,0.84832926
0070,0.12699211,0.87300789
0071,0.33980787,0.66019213
0072,0.23909090,0.76090910
0073,0.26245844,0.73754156
0074,0.06385183,0.93614817
0075,0.24191093,0.75808907
0076,0.20990480,0.79009520
0077,0.14298935,0.85701065
0078,0.30195588,0.69804412
0079,0.13299873,0.86700127
0080,0.43390143,0.56609857
0081,0.25668588,0.74331412
0082,0.20374714,0.79625286
0083,0.27825159,0.72174841
0084,0.19347002,0.80652998
0085,0.27176526,0.72823474
0086,0.30064306,0.69935694
0087,0.13937896,0.86062104
0088,0.24398346,0.75601654
0089,0.15831433,0.84168567
0090,0.28009683,0.71990317
0091,0.30881909,0.69118091
0092,0.35542360,0.64457640
0093,0.30715883,0.69284117
0094,0.10190342,0.89809658
0095,0.21175353,0.78824647
0096,0.27351081,0.72648919
0097,0.21168935,0.78831065
0098,0.28914133,0.71085867
0099,0.39800626,0.60199374
0100,0.36156353,0.63843647
0101,0.02451691,0.97548309
0102,0.35261598,0.64738402
0103,0.25303575,0.74696425
0104,0.23469357,0.76530643
0105,0.19075690,0.80924310
0106,0.16608033,0.83391967
0107,0.31824833,0.68175167
0108,0.26586670,0.73413330
0109,0.47592893,0.52407107
0110,0.35293955,0.64706045
0111,0.40307385,0.59692615
0112,0.15371577,0.84628423
0113,0.15829605,0.84170395
0114,0.31223798,0.68776202
0115,0.13688049,0.86311951
