pair_id,cos_sim,cos_dist
0000,0.39306596,0.60693404
0001,0.31508815,0.68491185
0002,0.47750482,0.52249518
0003,0.41465229,0.58534771
0004,0.17966379,0.82033621
0005,0.27537912,0.72462088
0006,0.26083681,0.73916319
0007,0.41275266,0.58724734
0008,0.31838715,0.68161285
0009,0.48338971,0.51661029
0010,0.42222977,0.57777023
0011,0.32146546,0.67853454
0012,0.35596105,0.64403895
0013,0.35862523,0.64137477
0014,0.13739111,0.86260889
0015,0.38779831,0.61220169
0016,0.25160962,0.74839038
0017,0.39104301,0.60895699
0018,0.73754686,0.26245314
0019,0.44129232,0.55870768
0020,0.22173357,0.77826643
0021,0.25746223,0.74253777
0022,0.30846873,0.69153127
0023,0.31101340,0.68898660
0024,0.25997481,0.74002519
0025,0.44809002,0.55190998
0026,0.57966089,0.42033911
0027,0.28228980,0.71771020
0028,0.39018595,0.60981405
0029,0.22696364,0.77303636
0030,0.19126813,0.80873187
0031,0.40794322,0.59205678
0032,0.27202475,0.72797525
0033,0.42058590,0.57941410
0034,0.30200708,0.69799292
0035,0.34693509,0.65306491
0036,0.15126190,0.84873810
0037,0.32883000,0.67117000
0038,0.10681161,0.89318839
0039,0.43635675,0.56364325
0040,0.31214800,0.68785200
0041,0.27433598,0.72566402
0042,0.38310766,0.61689234
0043,0.44852215,0.55147785
0044,0.19309777,0.80690223
0045,0.40853727,0.59146273
0046,0.15030679,0.84969321
0047,0.46957189,0.53042811
0048,0.33102524,0.66897476
0049,0.50822139,0.49177861
0050,0.46677789,0.53322211
0051,0.32112804,0.67887196
0052,0.35876197,0.64123803
0053,0.34135056,0.65864944
0054,0.48249134,0.51750866
0055,0.33184239,0.66815761
0056,0.35015810,0.64984190
0057,0.25987011,0.74012989
0058,0.42895183,0.57104817
0059,0.22786923,0.77213077
0060,0.43385580,0.56614420
0061,0.14566737,0.85433263
0062,0.22910742,0.77089258
0063,0.51872981,0.48127019
0064,0.35613292,0.64386708
0065,0.21083488,0.78916512
0066,0.21224272,0.78775728
0067,0.32597026,0.67402974
0068,0.16827679,0.83172321
0069,0.34401390,0.65598610
0070,0.18716268,0.81283732
0071,0.28994057,0.71005943
0072,0.32774007,0.67225993
0073,0.28546956,0.71453044
0074,0.20637137,0.79362863
0075,0.28898376,0.71101624
0076,0.37421176,0.62578824
0077,0.13217179,0.86782821
0078,0.26849574,0.73150426
