pair_id,cos_sim,cos_dist
0000,0.34339070,0.65660930
0001,0.47582188,0.52417812
0002,0.50937307,0.49062693
0003,0.41612220,0.58387780
0004,0.13935478,0.86064522
0005,0.38977531,0.61022469
0006,0.23300740,0.76699260
0007,0.32612389,0.67387611
0008,0.38490111,0.61509889
0009,0.48312902,0.51687098
0010,0.29466328,0.70533672
0011,0.32804835,0.67195165
0012,0.29637304,0.70362696
0013,0.40459055,0.59540945
0014,0.20923498,0.79076502
0015,0.36019680,0.63980320
0016,0.39086920,0.60913080
0017,0.36139065,0.63860935
0018,0.86194062,0.13805938
0019,0.46942848,0.53057152
0020,0.24559577,0.75440423
0021,0.36335891,0.63664109
0022,0.26269114,0.73730886
0023,0.33464342,0.66535658
0024,0.22287074,0.77712926
0025,0.40490144,0.59509856
0026,0.56821495,0.43178505
0027,0.30626243,0.69373757
0028,0.27526444,0.72473556
0029,0.39638045,0.60361955
0030,0.10821792,0.89178208
0031,0.46543965,0.53456035
0032,0.36478350,0.63521650
0033,0.48718515,0.51281485
0034,0.36615276,0.63384724
0035,0.38037604,0.61962396
0036,0.06827852,0.93172148
0037,0.46480328,0.53519672
0038,0.14204791,0.85795209
0039,0.48100436,0.51899564
0040,0.37917140,0.62082860
0041,0.27558440,0.72441560
0042,0.34603766,0.65396234
0043,0.38482758,0.61517242
0044,0.30032751,0.69967249
0045,0.40393049,0.59606951
0046,0.13239482,0.86760518
0047,0.47197747,0.52802253
0048,0.40677756,0.59322244
0049,0.55156493,0.44843507
0050,0.44772804,0.55227196
0051,0.32208908,0.67791092
0052,0.35239476,0.64760524
0053,0.50150102,0.49849898
0054,0.42720738,0.57279262
0055,0.17653504,0.82346496
0056,0.24818741,0.75181259
0057,0.27585384,0.72414616
0058,0.56163061,0.43836939
0059,0.31219921,0.68780079
0060,0.47062936,0.52937064
0061,0.09752541,0.90247459
0062,0.47895926,0.52104074
0063,0.70296538,0.29703462
0064,0.29950392,0.70049608
0065,0.19194412,0.80805588
0066,0.11677831,0.88322169
0067,0.48312482,0.51687518
0068,0.07321553,0.92678447
0069,0.33721042,0.66278958
0070,0.16786647,0.83213353
0071,0.24080727,0.75919273
0072,0.30251318,0.69748682
0073,0.30925167,0.69074833
0074,0.09257995,0.90742005
0075,0.37651506,0.62348494
0076,0.29515302,0.70484698
0077,0.19579726,0.80420274
0078,0.29942223,0.70057777
0079,0.30533278,0.69466722
0080,0.51948029,0.48051971
0081,0.28324607,0.71675393
0082,0.13402605,0.86597395
0083,0.30001557,0.69998443
0084,0.30705541,0.69294459
0085,0.29917732,0.70082268
0086,0.23263022,0.76736978
0087,0.21245398,0.78754602
0088,0.10035565,0.89964435
0089,0.33125135,0.66874865
0090,0.37111652,0.62888348
0091,0.45149809,0.54850191
0092,0.25165990,0.74834010
0093,0.43422186,0.56577814
0094,0.25975940,0.74024060
0095,0.35365844,0.64634156
0096,0.29477441,0.70522559
0097,0.45878744,0.54121256
0098,0.29883832,0.70116168
0099,0.31280714,0.68719286
0100,0.45489311,0.54510689
0101,0.15563215,0.84436785
0102,0.47681153,0.52318847
0103,0.04993379,0.95006621
0104,0.36389008,0.63610992
0105,0.37412658,0.62587342
0106,0.17920771,0.82079229
0107,0.23756149,0.76243851
0108,0.41284618,0.58715382
0109,0.45332670,0.54667330
0110,0.32394671,0.67605329
0111,0.41718268,0.58281732
0112,0.31114087,0.68885913
0113,0.14837006,0.85162994
0114,0.16285461,0.83714539
0115,0.23713079,0.76286921
0116,0.45856822,0.54143178
0117,0.58369851,0.41630149
0118,0.42828032,0.57171968
0119,0.30376464,0.69623536
0120,0.41388774,0.58611226
0121,0.57173938,0.42826062
0122,0.42331949,0.57668051
0123,0.33872566,0.66127434
0124,0.29968816,0.70031184
0125,0.30728829,0.69271171
0126,0.19989493,0.80010507
0127,0.44457203,0.55542797
0128,0.48054823,0.51945177
0129,0.47206336,0.52793664
0130,0.40293714,0.59706286
0131,0.15950489,0.84049511
0132,0.24584717,0.75415283
0133,0.49736589,0.50263411
0134,0.20575458,0.79424542
0135,0.54232419,0.45767581
0136,0.51986641,0.48013359
0137,0.33237469,0.66762531
0138,0.31161913,0.68838087
0139,0.35725269,0.64274731
0140,0.26931497,0.73068503
0141,0.48218060,0.51781940
0142,0.17365135,0.82634865
0143,0.31286523,0.68713477
0144,0.23776138,0.76223862
0145,0.40589520,0.59410480
0146,0.25505698,0.74494302
0147,0.05802961,0.94197039
0148,0.35695869,0.64304131
0149,0.30954021,0.69045979
0150,0.18222800,0.81777200
0151,0.41030329,0.58969671
0152,0.17442983,0.82557017
0153,0.32833728,0.67166272
0154,0.26857132,0.73142868
0155,0.29327530,0.70672470
0156,0.36874795,0.63125205
0157,0.28787932,0.71212068
0158,0.85063100,0.14936900
0159,0.54176766,0.45823234
0160,0.45593750,0.54406250
0161,0.22034299,0.77965701
0162,0.24237503,0.75762497
0163,0.38777286,0.61222714
0164,0.36079642,0.63920358
0165,0.33377215,0.66622785
0166,0.56168723,0.43831277
0167,0.19486582,0.80513418
0168,0.63733137,0.36266863
0169,0.34757727,0.65242273
0170,0.43016595,0.56983405
0171,0.58587754,0.41412246
0172,0.65202093,0.34797907
0173,0.27754563,0.72245437
0174,0.15360434,0.84639566
0175,0.43303806,0.56696194
0176,0.38849729,0.61150271
0177,0.27308020,0.72691980
0178,0.45773584,0.54226416
0179,0.44330949,0.55669051
0180,0.49614072,0.50385928
0181,0.24353662,0.75646338
0182,0.22287616,0.77712384
0183,0.35084140,0.64915860
0184,0.14495103,0.85504897
0185,0.44909286,0.55090714
0186,0.48502505,0.51497495
0187,0.05784108,0.94215892
0188,0.42000926,0.57999074
0189,0.40507424,0.59492576
0190,0.41467693,0.58532307
0191,0.16992608,0.83007392
0192,0.89564866,0.10435134
0193,0.35467637,0.64532363
0194,0.17552431,0.82447569
0195,0.12219041,0.87780959
0196,0.52547503,0.47452497
0197,0.19658352,0.80341648
0198,0.45511842,0.54488158
0199,0.48718151,0.51281849
0200,0.46314213,0.53685787
0201,0.44407690,0.55592310
0202,0.31385365,0.68614635
0203,0.29244277,0.70755723
0204,0.41555080,0.58444920
0205,0.28780806,0.71219194
0206,0.30430484,0.69569516
0207,0.53942639,0.46057361
0208,0.13859798,0.86140202
0209,0.18756112,0.81243888
0210,0.16895118,0.83104882
0211,0.58884120,0.41115880
0212,0.51842761,0.48157239
0213,0.16406256,0.83593744
0214,0.30713663,0.69286337
0215,0.57363737,0.42636263
0216,0.18587819,0.81412181
0217,0.21343607,0.78656393
0218,0.62849122,0.37150878
0219,0.92851114,0.07148886
0220,0.18736273,0.81263727
0221,0.21867773,0.78132227
0222,0.21388286,0.78611714
0223,0.47038174,0.52961826
0224,0.14101940,0.85898060
0225,0.53673106,0.46326894
0226,0.51999205,0.48000795
0227,0.21804057,0.78195943
0228,0.19011639,0.80988361
0229,0.37049365,0.62950635
0230,0.27590796,0.72409204
0231,0.48911783,0.51088217
0232,0.30685705,0.69314295
0233,0.28584185,0.71415815
0234,0.27231640,0.72768360
0235,0.52888072,0.47111928
0236,0.30584437,0.69415563
0237,0.53102362,0.46897638
0238,0.22039655,0.77960345
0239,0.46250474,0.53749526
0240,0.21618541,0.78381459
0241,0.13344827,0.86655173
0242,0.20213965,0.79786035
0243,0.44932756,0.55067244
0244,0.11016332,0.88983668
0245,0.28941888,0.71058112
0246,0.52294159,0.47705841
0247,0.32895723,0.67104277
0248,0.49909922,0.50090078
0249,0.02885026,0.97114974
0250,0.37466326,0.62533674
0251,0.18825290,0.81174710
0252,0.26039156,0.73960844
0253,0.30670753,0.69329247
0254,0.42639360,0.57360640
0255,0.09659255,0.90340745
0256,0.46614134,0.53385866
0257,0.26166290,0.73833710
0258,0.10962761,0.89037239
0259,0.63872123,0.36127877
0260,0.69867808,0.30132192
0261,0.49404150,0.50595850
0262,0.30834168,0.69165832
0263,0.07607160,0.92392840
0264,0.10422084,0.89577916
0265,0.12624313,0.87375687
0266,0.63444138,0.36555862
0267,0.37605184,0.62394816
0268,0.44360486,0.55639514
0269,0.41836157,0.58163843
0270,0.46708152,0.53291848
0271,0.38053426,0.61946574
0272,0.11169189,0.88830811
0273,0.61102664,0.38897336
0274,0.28962702,0.71037298
0275,0.56484789,0.43515211
0276,0.34758565,0.65241435
0277,0.20388570,0.79611430
0278,0.30577061,0.69422939
0279,0.50961298,0.49038702
0280,0.29881066,0.70118934
0281,0.57042724,0.42957276
0282,0.10593122,0.89406878
0283,0.18200785,0.81799215
0284,0.43847248,0.56152752
0285,0.52085841,0.47914159
0286,0.37739131,0.62260869
0287,0.48580071,0.51419929
0288,0.45715675,0.54284325
0289,0.21426252,0.78573748
0290,0.36925998,0.63074002
0291,0.13778108,0.86221892
0292,0.30563220,0.69436780
0293,0.19109088,0.80890912
0294,0.26404595,0.73595405
0295,0.36695004,0.63304996
0296,0.59494466,0.40505534
0297,0.58296794,0.41703206
0298,0.15527847,0.84472153
0299,0.42162320,0.57837680
0300,1.00000012,-0.00000012
0301,0.99999988,0.00000012
0302,0.99999994,0.00000006
0303,1.00000000,0.00000000
0304,0.99999994,0.00000006
0305,1.00000000,0.00000000
0306,1.00000012,-0.00000012
0307,1.00000000,0.00000000
0308,1.00000012,-0.00000012
0309,0.99999994,0.00000006
0310,1.00000000,0.00000000
0311,0.99999988,0.00000012
0312,1.00000012,-0.00000012
0313,1.00000012,-0.00000012
0314,0.99999988,0.00000012
0315,1.00000012,-0.00000012
0316,0.99999994,0.00000006
0317,0.99999994,0.00000006
0318,1.00000024,-0.00000024
0319,1.00000000,0.00000000
