pair_id,cos_sim,cos_dist
0000,0.98153925,0.01846075
0001,0.92321545,0.07678455
0002,0.98554027,0.01445973
0003,0.93917906,0.06082094
0004,0.95816618,0.04183382
0005,0.98385191,0.01614809
0006,0.97335196,0.02664804
0007,0.99174476,0.00825524
0008,0.98238647,0.01761353
0009,0.86659133,0.13340867
0010,0.94715071,0.05284929
0011,0.96667564,0.03332436
0012,0.79568392,0.20431608
0013,0.99161005,0.00838995
0014,0.96261209,0.03738791
0015,0.99175656,0.00824344
0016,0.94853473,0.05146527
0017,0.98119521,0.01880479
0018,0.99641240,0.00358760
0019,0.93348289,0.06651711
0020,0.97804159,0.02195841
0021,0.98009163,0.01990837
0022,0.97343993,0.02656007
0023,0.94726831,0.05273169
0024,0.98543972,0.01456028
0025,0.99110842,0.00889158
0026,0.96113849,0.03886151
0027,0.98531663,0.01468337
0028,0.98875749,0.01124251
0029,0.96029449,0.03970551
0030,0.98538548,0.01461452
0031,0.98669511,0.01330489
0032,0.95358747,0.04641253
0033,0.98798692,0.01201308
0034,0.95296144,0.04703856
0035,0.99047911,0.00952089
0036,0.96822435,0.03177565
0037,0.98022658,0.01977342
0038,0.98585981,0.01414019
0039,0.95367020,0.04632980
0040,0.97243112,0.02756888
0041,0.98586661,0.01413339
0042,0.96634996,0.03365004
0043,0.97743040,0.02256960
0044,0.91766447,0.08233553
0045,0.99697417,0.00302583
0046,0.98685080,0.01314920
0047,0.93959653,0.06040347
0048,0.84257495,0.15742505
0049,0.98125017,0.01874983
0050,0.95630854,0.04369146
0051,0.95199811,0.04800189
0052,0.93431830,0.06568170
0053,0.98527783,0.01472217
0054,0.98584902,0.01415098
0055,0.98629326,0.01370674
0056,0.97667629,0.02332371
0057,0.93553466,0.06446534
0058,0.97912407,0.02087593
0059,0.92173880,0.07826120
0060,0.98663330,0.01336670
0061,0.97849613,0.02150387
0062,0.95599401,0.04400599
0063,0.97982156,0.02017844
0064,0.97581685,0.02418315
0065,0.98037583,0.01962417
0066,0.99099296,0.00900704
0067,0.98029590,0.01970410
0068,0.98962909,0.01037091
0069,0.99500346,0.00499654
0070,0.91070724,0.08929276
0071,0.92741108,0.07258892
0072,0.96473897,0.03526103
0073,0.92993045,0.07006955
0074,0.96061206,0.03938794
0075,0.98215097,0.01784903
0076,0.98845732,0.01154268
0077,0.94175637,0.05824363
0078,0.96994799,0.03005201
0079,0.97927701,0.02072299
0080,0.98775071,0.01224929
0081,0.91689205,0.08310795
0082,0.98258334,0.01741666
0083,0.97903311,0.02096689
0084,0.94921291,0.05078709
0085,0.95694745,0.04305255
0086,0.96057320,0.03942680
0087,0.85613543,0.14386457
0088,0.98470467,0.01529533
0089,0.98442745,0.01557255
0090,0.97881514,0.02118486
0091,0.97160161,0.02839839
0092,0.89273459,0.10726541
0093,0.99500602,0.00499398
0094,0.97976321,0.02023679
0095,0.92188400,0.07811600
0096,0.97325790,0.02674210
0097,0.99051362,0.00948638
0098,0.98310161,0.01689839
0099,0.98098785,0.01901215
0100,0.98974192,0.01025808
0101,0.96608996,0.03391004
0102,0.96741766,0.03258234
0103,0.97707629,0.02292371
0104,0.98811305,0.01188695
0105,0.99279124,0.00720876
0106,0.95584130,0.04415870
0107,0.97330058,0.02669942
0108,0.93826437,0.06173563
0109,0.98286569,0.01713431
0110,0.96647978,0.03352022
0111,0.90343279,0.09656721
0112,0.95512474,0.04487526
0113,0.95820087,0.04179913
0114,0.90351272,0.09648728
0115,0.98422533,0.01577467
0116,0.93233049,0.06766951
0117,0.98669130,0.01330870
0118,0.98355925,0.01644075
0119,0.74903899,0.25096101
0120,0.98277646,0.01722354
0121,0.95607477,0.04392523
0122,0.95757127,0.04242873
0123,0.97761017,0.02238983
0124,0.96663964,0.03336036
0125,0.98467714,0.01532286
0126,0.94537681,0.05462319
0127,0.95053017,0.04946983
0128,0.98828906,0.01171094
0129,0.98381054,0.01618946
0130,0.98198760,0.01801240
0131,0.98679137,0.01320863
0132,0.98881656,0.01118344
0133,0.91443741,0.08556259
0134,0.98092014,0.01907986
0135,0.98407495,0.01592505
0136,0.93105000,0.06895000
0137,0.98225123,0.01774877
0138,0.97591954,0.02408046
0139,0.97072136,0.02927864
0140,0.98872298,0.01127702
0141,0.93249071,0.06750929
0142,0.94903386,0.05096614
0143,0.97447944,0.02552056
0144,0.98415273,0.01584727
0145,0.98170120,0.01829880
0146,0.93785971,0.06214029
0147,0.92944652,0.07055348
0148,0.98110849,0.01889151
0149,0.97922957,0.02077043
0150,0.97416866,0.02583134
0151,0.94965404,0.05034596
0152,0.98622543,0.01377457
0153,0.99468696,0.00531304
0154,0.98187900,0.01812100
0155,0.98223597,0.01776403
0156,0.97236305,0.02763695
0157,0.97635555,0.02364445
0158,0.99949318,0.00050682
0159,0.97531414,0.02468586
0160,0.94704002,0.05295998
0161,0.98055726,0.01944274
0162,0.97490096,0.02509904
0163,0.97204894,0.02795106
0164,0.93338996,0.06661004
0165,0.98234516,0.01765484
0166,0.98497796,0.01502204
0167,0.93312949,0.06687051
0168,0.98946315,0.01053685
0169,0.98511589,0.01488411
0170,0.98756248,0.01243752
0171,0.95742476,0.04257524
0172,0.96920389,0.03079611
0173,0.96895027,0.03104973
0174,0.98424453,0.01575547
0175,0.96153337,0.03846663
0176,0.98313743,0.01686257
0177,0.97555166,0.02444834
0178,0.98609155,0.01390845
0179,0.98931074,0.01068926
0180,0.98956418,0.01043582
0181,0.94650990,0.05349010
0182,0.98847711,0.01152289
0183,0.98493910,0.01506090
0184,0.97765702,0.02234298
0185,0.96260786,0.03739214
0186,0.97262394,0.02737606
0187,0.97900814,0.02099186
0188,0.97467351,0.02532649
0189,0.98255873,0.01744127
0190,0.90965378,0.09034622
0191,0.92699379,0.07300621
0192,0.99713027,0.00286973
0193,0.96554399,0.03445601
0194,0.91875046,0.08124954
0195,0.95642769,0.04357231
0196,0.98239589,0.01760411
0197,0.87603801,0.12396199
0198,0.99034554,0.00965446
0199,0.96005625,0.03994375
0200,0.98622155,0.01377845
0201,0.96031260,0.03968740
0202,0.98380709,0.01619291
0203,0.98507321,0.01492679
0204,0.95443529,0.04556471
0205,0.98501140,0.01498860
0206,0.96874684,0.03125316
0207,0.98252213,0.01747787
0208,0.95312721,0.04687279
0209,0.96147245,0.03852755
0210,0.97316098,0.02683902
0211,0.94880021,0.05119979
0212,0.96751541,0.03248459
0213,0.96850741,0.03149259
0214,0.98948699,0.01051301
0215,0.97228158,0.02771842
0216,0.91229200,0.08770800
0217,0.98793709,0.01206291
0218,0.95086378,0.04913622
0219,0.99354905,0.00645095
0220,0.94520521,0.05479479
0221,0.86093271,0.13906729
0222,0.96089458,0.03910542
0223,0.97810870,0.02189130
0224,0.92689210,0.07310790
0225,0.99303782,0.00696218
0226,0.94300115,0.05699885
0227,0.98660272,0.01339728
0228,0.90353996,0.09646004
0229,0.91590112,0.08409888
0230,0.86848921,0.13151079
0231,0.98101485,0.01898515
0232,0.98083609,0.01916391
0233,0.98720717,0.01279283
0234,0.94163895,0.05836105
0235,0.94838899,0.05161101
0236,0.95506871,0.04493129
0237,0.85089731,0.14910269
0238,0.98845035,0.01154965
0239,0.96613705,0.03386295
0240,0.97459918,0.02540082
0241,0.94609660,0.05390340
0242,0.97431839,0.02568161
0243,0.96150744,0.03849256
0244,0.98949033,0.01050967
0245,0.95728654,0.04271346
0246,0.86130917,0.13869083
0247,0.98748428,0.01251572
0248,0.91172969,0.08827031
0249,0.97632599,0.02367401
0250,0.95742625,0.04257375
0251,0.98972839,0.01027161
0252,0.99260861,0.00739139
0253,0.95155501,0.04844499
0254,0.98539519,0.01460481
0255,0.97430027,0.02569973
0256,0.96406555,0.03593445
0257,0.97427744,0.02572256
0258,0.95806599,0.04193401
0259,0.99922383,0.00077617
0260,0.98261428,0.01738572
0261,0.90017217,0.09982783
0262,0.98031026,0.01968974
0263,0.95958233,0.04041767
0264,0.96579450,0.03420550
0265,0.88137484,0.11862516
0266,0.98689419,0.01310581
0267,0.98930997,0.01069003
0268,0.95393753,0.04606247
0269,0.98474789,0.01525211
0270,0.98512024,0.01487976
0271,0.98144621,0.01855379
0272,0.94610190,0.05389810
0273,0.92597026,0.07402974
0274,0.92687166,0.07312834
0275,0.93463355,0.06536645
0276,0.99291098,0.00708902
0277,0.94963115,0.05036885
0278,0.98196322,0.01803678
0279,0.93780577,0.06219423
0280,0.98741335,0.01258665
0281,0.91860068,0.08139932
0282,0.97035801,0.02964199
0283,0.93392879,0.06607121
0284,0.94236803,0.05763197
0285,0.97744083,0.02255917
0286,0.90072888,0.09927112
0287,0.98898017,0.01101983
0288,0.96963811,0.03036189
0289,0.92682606,0.07317394
0290,0.93191761,0.06808239
0291,0.98570657,0.01429343
0292,0.98877394,0.01122606
0293,0.97525012,0.02474988
0294,0.97435886,0.02564114
0295,0.96438438,0.03561562
0296,0.99064624,0.00935376
0297,0.98556495,0.01443505
0298,0.96690047,0.03309953
