pair_id,cos_sim,cos_dist
0000,0.80962253,0.19037747
0001,0.81676883,0.18323117
0002,0.80724680,0.19275320
0003,0.85468900,0.14531100
0004,0.77160847,0.22839153
0005,0.77961051,0.22038949
0006,0.76376641,0.23623359
0007,0.77297360,0.22702640
0008,0.83683020,0.16316980
0009,0.83794689,0.16205311
0010,0.79918754,0.20081246
0011,0.78574669,0.21425331
0012,0.87246823,0.12753177
0013,0.83024168,0.16975832
0014,0.78412449,0.21587551
0015,0.85965908,0.14034092
0016,0.77382672,0.22617328
0017,0.82499874,0.17500126
0018,0.94271189,0.05728811
0019,0.83884007,0.16115993
0020,0.76708341,0.23291659
0021,0.80751443,0.19248557
0022,0.74676383,0.25323617
0023,0.80556822,0.19443178
0024,0.71900010,0.28099990
0025,0.82739002,0.17260998
0026,0.83170700,0.16829300
0027,0.88325804,0.11674196
0028,0.83288431,0.16711569
0029,0.76852953,0.23147047
0030,0.78081036,0.21918964
0031,0.82191479,0.17808521
0032,0.74380875,0.25619125
0033,0.76385009,0.23614991
0034,0.85098779,0.14901221
0035,0.82180363,0.17819637
0036,0.71872634,0.28127366
0037,0.76826370,0.23173630
0038,0.75754952,0.24245048
0039,0.82819068,0.17180932
0040,0.70906419,0.29093581
0041,0.71286517,0.28713483
0042,0.79704171,0.20295829
0043,0.79089838,0.20910162
0044,0.77373034,0.22626966
0045,0.82078093,0.17921907
0046,0.75204843,0.24795157
0047,0.78450441,0.21549559
0048,0.82431805,0.17568195
0049,0.77333665,0.22666335
0050,0.82466173,0.17533827
0051,0.78079998,0.21920002
0052,0.80078149,0.19921851
0053,0.80912548,0.19087452
0054,0.78217006,0.21782994
0055,0.82850385,0.17149615
0056,0.76158494,0.23841506
0057,0.78684211,0.21315789
0058,0.83506644,0.16493356
0059,0.79628807,0.20371193
0060,0.80555856,0.19444144
0061,0.73999155,0.26000845
0062,0.80636626,0.19363374
0063,0.87228096,0.12771904
0064,0.85379857,0.14620143
0065,0.72655821,0.27344179
0066,0.74801081,0.25198919
0067,0.78478885,0.21521115
0068,0.70597231,0.29402769
0069,0.79076034,0.20923966
0070,0.70531774,0.29468226
0071,0.84961873,0.15038127
0072,0.73292774,0.26707226
0073,0.66523504,0.33476496
0074,0.80858630,0.19141370
0075,0.77428210,0.22571790
0076,0.74195790,0.25804210
0077,0.72028708,0.27971292
0078,0.77237594,0.22762406
0079,0.70623690,0.29376310
0080,0.80906117,0.19093883
0081,0.80770707,0.19229293
0082,0.80806017,0.19193983
0083,0.76709163,0.23290837
0084,0.85066062,0.14933938
0085,0.84724975,0.15275025
0086,0.75707531,0.24292469
0087,0.79136562,0.20863438
0088,0.76015246,0.23984754
0089,0.80950671,0.19049329
0090,0.80852795,0.19147205
0091,0.78213418,0.21786582
0092,0.77524722,0.22475278
0093,0.73324996,0.26675004
0094,0.73900008,0.26099992
0095,0.81583816,0.18416184
0096,0.82613772,0.17386228
0097,0.75967759,0.24032241
0098,0.73447382,0.26552618
0099,0.79485035,0.20514965
0100,0.81993055,0.18006945
0101,0.74084377,0.25915623
0102,0.82005334,0.17994666
0103,0.79121906,0.20878094
0104,0.81486911,0.18513089
0105,0.84185815,0.15814185
0106,0.75238109,0.24761891
0107,0.79593992,0.20406008
0108,0.75865000,0.24135000
0109,0.84900683,0.15099317
0110,0.82491112,0.17508888
0111,0.84785104,0.15214896
0112,0.78492725,0.21507275
0113,0.76924741,0.23075259
0114,0.82011890,0.17988110
0115,0.76045018,0.23954982
0116,0.75525618,0.24474382
0117,0.83951676,0.16048324
0118,0.81685430,0.18314570
0119,0.85041523,0.14958477
0120,0.87442565,0.12557435
0121,0.82531309,0.17468691
0122,0.77043879,0.22956121
0123,0.80831409,0.19168591
0124,0.82496786,0.17503214
0125,0.78679508,0.21320492
0126,0.79201531,0.20798469
0127,0.86442399,0.13557601
0128,0.84353697,0.15646303
0129,0.80911785,0.19088215
0130,0.80470777,0.19529223
0131,0.76314306,0.23685694
0132,0.76685417,0.23314583
0133,0.79118943,0.20881057
0134,0.76005810,0.23994190
0135,0.78004599,0.21995401
0136,0.85878116,0.14121884
0137,0.81677067,0.18322933
0138,0.80733109,0.19266891
0139,0.81707889,0.18292111
0140,0.71306860,0.28693140
0141,0.79486442,0.20513558
0142,0.75761634,0.24238366
0143,0.80175400,0.19824600
0144,0.79060382,0.20939618
0145,0.81154227,0.18845773
0146,0.76670063,0.23329937
0147,0.77815104,0.22184896
0148,0.78161579,0.21838421
0149,0.78693718,0.21306282
0150,0.75942665,0.24057335
0151,0.81983465,0.18016535
0152,0.73571533,0.26428467
0153,0.70266658,0.29733342
0154,0.74570239,0.25429761
0155,0.77863497,0.22136503
0156,0.77126980,0.22873020
0157,0.75495124,0.24504876
0158,0.97623557,0.02376443
0159,0.77979225,0.22020775
0160,0.71072572,0.28927428
0161,0.82147843,0.17852157
0162,0.77184772,0.22815228
0163,0.79561955,0.20438045
0164,0.74522907,0.25477093
0165,0.85345459,0.14654541
0166,0.76261854,0.23738146
0167,0.73347420,0.26652580
0168,0.82891846,0.17108154
0169,0.77236581,0.22763419
0170,0.80284095,0.19715905
0171,0.83788180,0.16211820
0172,0.86412060,0.13587940
0173,0.70529580,0.29470420
0174,0.66739661,0.33260339
0175,0.81289011,0.18710989
0176,0.82083535,0.17916465
0177,0.82640970,0.17359030
0178,0.75800335,0.24199665
0179,0.86765528,0.13234472
0180,0.85283619,0.14716381
0181,0.70572388,0.29427612
0182,0.75967431,0.24032569
0183,0.76054776,0.23945224
0184,0.75864804,0.24135196
0185,0.80153984,0.19846016
0186,0.80211103,0.19788897
0187,0.82198948,0.17801052
0188,0.79543734,0.20456266
0189,0.87781131,0.12218869
0190,0.76038909,0.23961091
0191,0.72154093,0.27845907
0192,0.91639918,0.08360082
0193,0.79078233,0.20921767
0194,0.78237104,0.21762896
0195,0.84409857,0.15590143
0196,0.89567709,0.10432291
0197,0.84089267,0.15910733
0198,0.85363233,0.14636767
0199,0.79034382,0.20965618
0200,0.84123945,0.15876055
0201,0.88421607,0.11578393
0202,0.78693622,0.21306378
0203,0.73825377,0.26174623
0204,0.78741509,0.21258491
0205,0.75323182,0.24676818
0206,0.71745074,0.28254926
0207,0.82496691,0.17503309
0208,0.75802535,0.24197465
0209,0.76084667,0.23915333
0210,0.74618006,0.25381994
0211,0.84647590,0.15352410
0212,0.81462479,0.18537521
0213,0.78336620,0.21663380
0214,0.78457534,0.21542466
0215,0.86243379,0.13756621
0216,0.77873731,0.22126269
0217,0.77287102,0.22712898
0218,0.89900625,0.10099375
0219,0.94475460,0.05524540
0220,0.75238103,0.24761897
0221,0.78462344,0.21537656
0222,0.75558764,0.24441236
0223,0.75672233,0.24327767
0224,0.72131687,0.27868313
0225,0.82917714,0.17082286
0226,0.87342930,0.12657070
0227,0.70326436,0.29673564
0228,0.70532703,0.29467297
0229,0.80899036,0.19100964
0230,0.73281211,0.26718789
0231,0.89270437,0.10729563
0232,0.75723678,0.24276322
0233,0.78628504,0.21371496
0234,0.78014576,0.21985424
0235,0.79420787,0.20579213
0236,0.72125465,0.27874535
0237,0.84536970,0.15463030
0238,0.85504961,0.14495039
0239,0.84895241,0.15104759
0240,0.70748311,0.29251689
0241,0.77950650,0.22049350
0242,0.77814901,0.22185099
0243,0.80668652,0.19331348
0244,0.77548385,0.22451615
0245,0.80688405,0.19311595
0246,0.81623197,0.18376803
0247,0.77717739,0.22282261
0248,0.83838773,0.16161227
0249,0.70084262,0.29915738
0250,0.85178006,0.14821994
0251,0.80534101,0.19465899
0252,0.88471067,0.11528933
0253,0.80161965,0.19838035
0254,0.78993040,0.21006960
0255,0.75392306,0.24607694
0256,0.86689007,0.13310993
0257,0.82000923,0.17999077
0258,0.78204381,0.21795619
0259,0.95639181,0.04360819
0260,0.91461790,0.08538210
0261,0.84987867,0.15012133
0262,0.77108139,0.22891861
0263,0.78136909,0.21863091
0264,0.65276706,0.34723294
0265,0.74679816,0.25320184
0266,0.84696627,0.15303373
0267,0.75116777,0.24883223
0268,0.84176415,0.15823585
0269,0.87174678,0.12825322
0270,0.83343971,0.16656029
0271,0.74933827,0.25066173
0272,0.73173690,0.26826310
0273,0.85413492,0.14586508
0274,0.76208860,0.23791140
0275,0.89075935,0.10924065
0276,0.83097970,0.16902030
0277,0.75226277,0.24773723
0278,0.81881940,0.18118060
0279,0.79660249,0.20339751
0280,0.74789083,0.25210917
0281,0.81789124,0.18210876
0282,0.79312301,0.20687699
0283,0.75681221,0.24318779
0284,0.80890423,0.19109577
0285,0.86055744,0.13944256
0286,0.72416258,0.27583742
0287,0.83616388,0.16383612
0288,0.79349923,0.20650077
0289,0.70886320,0.29113680
0290,0.76628160,0.23371840
0291,0.83495468,0.16504532
0292,0.79184949,0.20815051
0293,0.76535225,0.23464775
0294,0.81203783,0.18796217
0295,0.76866746,0.23133254
0296,0.84429508,0.15570492
0297,0.76932156,0.23067844
0298,0.72485578,0.27514422
0299,0.71571004,0.28428996
0300,1.00000012,-0.00000012
0301,1.00000024,-0.00000024
0302,1.00000024,-0.00000024
0303,0.99999976,0.00000024
0304,0.99999988,0.00000012
0305,0.99999988,0.00000012
0306,1.00000000,0.00000000
0307,1.00000000,0.00000000
0308,1.00000000,0.00000000
0309,1.00000012,-0.00000012
0310,1.00000012,-0.00000012
0311,1.00000012,-0.00000012
0312,0.99999976,0.00000024
0313,1.00000000,0.00000000
0314,1.00000000,0.00000000
0315,0.99999988,0.00000012
0316,1.00000012,-0.00000012
0317,0.99999994,0.00000006
0318,1.00000000,0.00000000
0319,1.00000012,-0.00000012
