pair_id,cos_sim,cos_dist
0000,0.39106554,0.60893446
0001,0.38710430,0.61289570
0002,0.64225829,0.35774171
0003,0.40020660,0.59979340
0004,0.17625967,0.82374033
0005,0.23048604,0.76951396
0006,0.18326207,0.81673793
0007,0.35919559,0.64080441
0008,0.36340317,0.63659683
0009,0.38619033,0.61380967
0010,0.53009093,0.46990907
0011,0.10332014,0.89667986
0012,0.46833137,0.53166863
0013,0.31138170,0.68861830
0014,0.22954255,0.77045745
0015,0.24156034,0.75843966
0016,0.31157771,0.68842229
0017,0.24496697,0.75503303
0018,0.88985580,0.11014420
0019,0.30847043,0.69152957
0020,0.26916662,0.73083338
0021,0.24674788,0.75325212
0022,0.35446280,0.64553720
0023,0.24486077,0.75513923
0024,0.06522280,0.93477720
0025,0.19787331,0.80212669
0026,0.55955565,0.44044435
0027,0.38056272,0.61943728
0028,0.27747151,0.72252849
0029,0.20210919,0.79789081
0030,0.11474474,0.88525526
0031,0.26271641,0.73728359
0032,0.32520425,0.67479575
0033,0.22391710,0.77608290
0034,0.16441569,0.83558431
0035,0.23138791,0.76861209
0036,0.09744634,0.90255366
0037,0.29036465,0.70963535
0038,0.04079485,0.95920515
0039,0.49985027,0.50014973
0040,0.20168649,0.79831351
0041,0.10716601,0.89283399
0042,0.17360297,0.82639703
0043,0.21271491,0.78728509
0044,0.23189414,0.76810586
0045,0.31631160,0.68368840
0046,0.07610509,0.92389491
0047,0.34022677,0.65977323
0048,0.41038811,0.58961189
0049,0.26614961,0.73385039
0050,0.48385343,0.51614657
0051,0.13142076,0.86857924
0052,0.19706602,0.80293398
0053,0.47673032,0.52326968
0054,0.29423431,0.70576569
0055,0.18685985,0.81314015
0056,0.32098612,0.67901388
0057,0.42429471,0.57570529
0058,0.33257753,0.66742247
0059,0.17131013,0.82868987
0060,0.47197577,0.52802423
0061,0.02012530,0.97987470
0062,0.36998409,0.63001591
0063,0.38141954,0.61858046
0064,0.30513477,0.69486523
0065,0.17418973,0.82581027
0066,0.16886060,0.83113940
0067,0.39538223,0.60461777
0068,0.09067973,0.90932027
0069,0.15167038,0.84832962
0070,0.12699184,0.87300816
0071,0.33980793,0.66019207
0072,0.23909110,0.76090890
0073,0.26245856,0.73754144
0074,0.06385172,0.93614828
0075,0.24191040,0.75808960
0076,0.20990500,0.79009500
0077,0.14298922,0.85701078
0078,0.30195519,0.69804481
0079,0.13299844,0.86700156
0080,0.43390155,0.56609845
0081,0.25668612,0.74331388
0082,0.20374697,0.79625303
0083,0.27825168,0.72174832
0084,0.19346975,0.80653025
0085,0.27176505,0.72823495
0086,0.30064279,0.69935721
0087,0.13937910,0.86062090
0088,0.24398378,0.75601622
