pair_id,cos_sim,cos_dist
0000,0.99228287,0.00771713
0001,0.94241911,0.05758089
0002,0.98787051,0.01212949
0003,0.97229218,0.02770782
0004,0.97983766,0.02016234
0005,0.99272084,0.00727916
0006,0.97687846,0.02312154
0007,0.99597359,0.00402641
0008,0.98755825,0.01244175
0009,0.91419035,0.08580965
0010,0.96211332,0.03788668
0011,0.98253173,0.01746827
0012,0.85214567,0.14785433
0013,0.99287665,0.00712335
0014,0.97100449,0.02899551
0015,0.99602377,0.00397623
0016,0.97582656,0.02417344
0017,0.98865885,0.01134115
0018,0.99666214,0.00333786
0019,0.95912391,0.04087609
0020,0.98459637,0.01540363
0021,0.99085593,0.00914407
0022,0.97892803,0.02107197
0023,0.96269351,0.03730649
0024,0.98977280,0.01022720
0025,0.99434733,0.00565267
0026,0.97885936,0.02114064
0027,0.99072707,0.00927293
0028,0.99368131,0.00631869
0029,0.97013915,0.02986085
0030,0.98945153,0.01054847
0031,0.98962301,0.01037699
0032,0.96865439,0.03134561
0033,0.99237758,0.00762242
0034,0.96250403,0.03749597
0035,0.99165177,0.00834823
0036,0.98338234,0.01661766
0037,0.98695588,0.01304412
0038,0.99008018,0.00991982
0039,0.96931869,0.03068131
0040,0.98026121,0.01973879
0041,0.98826671,0.01173329
0042,0.98275536,0.01724464
0043,0.98195928,0.01804072
0044,0.93952048,0.06047952
0045,0.99411011,0.00588989
0046,0.98893869,0.01106131
0047,0.94856280,0.05143720
0048,0.89203286,0.10796714
0049,0.98830801,0.01169199
0050,0.97133309,0.02866691
0051,0.98923331,0.01076669
0052,0.95478994,0.04521006
0053,0.99240226,0.00759774
0054,0.99013752,0.00986248
0055,0.99028438,0.00971562
0056,0.98764277,0.01235723
0057,0.95603806,0.04396194
0058,0.99002600,0.00997400
0059,0.93656123,0.06343877
0060,0.98751104,0.01248896
0061,0.99073225,0.00926775
0062,0.97033989,0.02966011
0063,0.98525989,0.01474011
0064,0.98732281,0.01267719
0065,0.98989975,0.01010025
0066,0.99489856,0.00510144
0067,0.98387051,0.01612949
0068,0.99453956,0.00546044
0069,0.99368757,0.00631243
0070,0.95216894,0.04783106
0071,0.94748640,0.05251360
0072,0.97725624,0.02274376
0073,0.95689642,0.04310358
0074,0.97814441,0.02185559
0075,0.99114108,0.00885892
0076,0.99199426,0.00800574
0077,0.95605785,0.04394215
0078,0.97866803,0.02133197
0079,0.98641181,0.01358819
0080,0.99337220,0.00662780
0081,0.94384199,0.05615801
0082,0.98876262,0.01123738
0083,0.98933119,0.01066881
0084,0.95584714,0.04415286
0085,0.96659344,0.03340656
0086,0.97476846,0.02523154
0087,0.88577330,0.11422670
0088,0.99163151,0.00836849
0089,0.98473573,0.01526427
0090,0.98600620,0.01399380
0091,0.98106134,0.01893866
0092,0.92141253,0.07858747
0093,0.99487191,0.00512809
0094,0.98464429,0.01535571
0095,0.94698942,0.05301058
0096,0.98437589,0.01562411
0097,0.99535859,0.00464141
0098,0.98882055,0.01117945
0099,0.99035615,0.00964385
0100,0.99341244,0.00658756
0101,0.97012162,0.02987838
0102,0.97519374,0.02480626
0103,0.97985739,0.02014261
0104,0.99073595,0.00926405
0105,0.99560124,0.00439876
0106,0.95806479,0.04193521
0107,0.97926652,0.02073348
0108,0.94225323,0.05774677
0109,0.99088615,0.00911385
0110,0.97133744,0.02866256
0111,0.92091924,0.07908076
0112,0.95683658,0.04316342
0113,0.94850057,0.05149943
0114,0.90730298,0.09269702
0115,0.98934835,0.01065165
0116,0.94228178,0.05771822
0117,0.99399132,0.00600868
0118,0.98418772,0.01581228
0119,0.81966102,0.18033898
0120,0.99270266,0.00729734
0121,0.96521008,0.03478992
0122,0.96860522,0.03139478
0123,0.99154484,0.00845516
0124,0.98076475,0.01923525
0125,0.99181801,0.00818199
0126,0.96789896,0.03210104
0127,0.97545725,0.02454275
0128,0.98981786,0.01018214
0129,0.99167746,0.00832254
0130,0.98995459,0.01004541
0131,0.98951882,0.01048118
0132,0.99068385,0.00931615
0133,0.94474894,0.05525106
0134,0.98602873,0.01397127
0135,0.99018127,0.00981873
0136,0.95098925,0.04901075
