pair_id,cos_sim,cos_dist
00000,0.88385642,0.11614358
00001,0.87188184,0.12811816
00002,0.91330743,0.08669257
00003,0.83343863,0.16656137
00004,0.96056610,0.03943390
00005,0.96584988,0.03415012
00006,0.91248780,0.08751220
00007,0.86408341,0.13591659
00008,0.81844389,0.18155611
00009,0.88544083,0.11455917
00010,0.86092722,0.13907278
00011,0.88987780,0.11012220
00012,0.79145116,0.20854884
00013,0.90546447,0.09453553
00014,0.92441028,0.07558972
00015,0.86559224,0.13440776
00016,0.97604501,0.02395499
00017,0.78921205,0.21078795
00018,0.95178372,0.04821628
00019,0.98138088,0.01861912
00020,0.97411877,0.02588123
00021,0.87996012,0.12003988
00022,0.91677004,0.08322996
00023,0.94345367,0.05654633
00024,0.94296300,0.05703700
00025,0.92849815,0.07150185
00026,0.92262655,0.07737345
00027,0.89843136,0.10156864
00028,0.95063025,0.04936975
00029,0.97044301,0.02955699
00030,0.92018366,0.07981634
00031,0.92779696,0.07220304
00032,0.96069717,0.03930283
00033,0.95872945,0.04127055
00034,0.97029853,0.02970147
00035,0.67450154,0.32549846
00036,0.94909245,0.05090755
00037,0.93692362,0.06307638
00038,0.92952830,0.07047170
00039,0.92580330,0.07419670
00040,0.90728599,0.09271401
00041,0.84599602,0.15400398
00042,0.91501844,0.08498156
00043,0.98652118,0.01347882
00044,0.92110592,0.07889408
00045,0.98955947,0.01044053
00046,0.93145889,0.06854111
00047,0.95197153,0.04802847
00048,0.97916329,0.02083671
00049,0.96838826,0.03161174
00050,0.97906774,0.02093226
00051,0.91033226,0.08966774
00052,0.81722021,0.18277979
00053,0.92818928,0.07181072
00054,0.85747218,0.14252782
00055,0.85117000,0.14883000
00056,0.84550035,0.15449965
00057,0.91945708,0.08054292
00058,0.83610338,0.16389662
00059,0.95526218,0.04473782
00060,0.92269289,0.07730711
00061,0.84837490,0.15162510
00062,0.84639865,0.15360135
00063,0.95172089,0.04827911
00064,0.80992067,0.19007933
00065,0.85189474,0.14810526
00066,0.91225767,0.08774233
00067,0.90737993,0.09262007
00068,0.94918239,0.05081761
00069,0.95586973,0.04413027
00070,0.94827187,0.05172813
00071,0.96913117,0.03086883
00072,0.98822618,0.01177382
00073,0.97536021,0.02463979
00074,0.94013011,0.05986989
00075,0.93014574,0.06985426
00076,0.93733358,0.06266642
00077,0.94839394,0.05160606
00078,0.93691415,0.06308585
00079,0.93936038,0.06063962
00080,0.91644716,0.08355284
00081,0.89341569,0.10658431
00082,0.98148501,0.01851499
00083,0.92047745,0.07952255
00084,0.91760427,0.08239573
00085,0.89735442,0.10264558
00086,0.96351355,0.03648645
00087,0.92239535,0.07760465
00088,0.92519683,0.07480317
00089,0.92652702,0.07347298
00090,0.91512877,0.08487123
00091,0.98413169,0.01586831
00092,0.81943011,0.18056989
00093,0.91860986,0.08139014
00094,0.84347886,0.15652114
00095,0.78413194,0.21586806
00096,0.93634367,0.06365633
00097,0.84406543,0.15593457
00098,0.81231588,0.18768412
00099,0.86915588,0.13084412
00100,0.88244659,0.11755341
00101,0.87986064,0.12013936
00102,0.94442761,0.05557239
00103,0.92016721,0.07983279
00104,0.81740046,0.18259954
00105,0.88850820,0.11149180
00106,0.95028144,0.04971856
00107,0.89632899,0.10367101
00108,0.93570644,0.06429356
00109,0.93158036,0.06841964
00110,0.99011374,0.00988626
00111,0.94715428,0.05284572
00112,0.88150173,0.11849827
00113,0.92093122,0.07906878
00114,0.94032329,0.05967671
00115,0.92366248,0.07633752
00116,0.93848711,0.06151289
00117,0.93079209,0.06920791
00118,0.95200205,0.04799795
