pair_id,cos_sim,cos_dist
00000,0.87345207,0.12654793
00001,0.91596884,0.08403116
00002,0.92427713,0.07572287
00003,0.79021794,0.20978206
00004,0.95134962,0.04865038
00005,0.96627593,0.03372407
00006,0.91194433,0.08805567
00007,0.75727850,0.24272150
00008,0.79629898,0.20370102
00009,0.69273710,0.30726290
00010,0.86224145,0.13775855
00011,0.85793775,0.14206225
00012,0.83776134,0.16223866
00013,0.85816085,0.14183915
00014,0.92534202,0.07465798
00015,0.86004573,0.13995427
00016,0.94997883,0.05002117
00017,0.82099181,0.17900819
00018,0.94008315,0.05991685
00019,0.97162759,0.02837241
00020,0.94488168,0.05511832
00021,0.88243550,0.11756450
00022,0.79585421,0.20414579
00023,0.93713385,0.06286615
00024,0.91629171,0.08370829
00025,0.84038490,0.15961510
00026,0.91899395,0.08100605
00027,0.82023168,0.17976832
00028,0.93850321,0.06149679
00029,0.94696718,0.05303282
00030,0.92943668,0.07056332
00031,0.90609872,0.09390128
00032,0.89749181,0.10250819
00033,0.89613467,0.10386533
00034,0.92961401,0.07038599
00035,0.73182178,0.26817822
00036,0.91175818,0.08824182
00037,0.89050055,0.10949945
00038,0.84276772,0.15723228
00039,0.88804454,0.11195546
00040,0.90489382,0.09510618
00041,0.87277651,0.12722349
00042,0.95393813,0.04606187
00043,0.98847675,0.01152325
00044,0.87302446,0.12697554
00045,0.98888016,0.01111984
00046,0.92026699,0.07973301
00047,0.90596414,0.09403586
00048,0.95947713,0.04052287
00049,0.94629967,0.05370033
00050,0.95663905,0.04336095
00051,0.93409306,0.06590694
00052,0.86084741,0.13915259
00053,0.92960447,0.07039553
00054,0.90032345,0.09967655
00055,0.86130333,0.13869667
00056,0.87488061,0.12511939
00057,0.89885592,0.10114408
00058,0.75924462,0.24075538
00059,0.89743364,0.10256636
00060,0.82073414,0.17926586
00061,0.85084057,0.14915943
00062,0.80282009,0.19717991
00063,0.88836265,0.11163735
00064,0.72167820,0.27832180
00065,0.72171336,0.27828664
00066,0.83211166,0.16788834
00067,0.88754976,0.11245024
00068,0.91194701,0.08805299
00069,0.94090897,0.05909103
00070,0.91389155,0.08610845
00071,0.89222330,0.10777670
00072,0.98355567,0.01644433
00073,0.94279462,0.05720538
00074,0.90705818,0.09294182
00075,0.91011196,0.08988804
00076,0.94090921,0.05909079
00077,0.91797841,0.08202159
00078,0.88893670,0.11106330
00079,0.90340000,0.09660000
00080,0.89812869,0.10187131
00081,0.78627515,0.21372485
00082,0.96185827,0.03814173
00083,0.86117077,0.13882923
00084,0.86039424,0.13960576
00085,0.80611891,0.19388109
00086,0.96555871,0.03444129
00087,0.85773051,0.14226949
00088,0.92264295,0.07735705
00089,0.93809581,0.06190419
00090,0.86904514,0.13095486
00091,0.96774888,0.03225112
00092,0.78244293,0.21755707
00093,0.89451569,0.10548431
