pair_id,cos_sim,cos_dist
00000,0.78472584,0.21527416
00001,0.73546529,0.26453471
00002,0.84903300,0.15096700
00003,0.78254098,0.21745902
00004,0.96981025,0.03018975
00005,0.97326797,0.02673203
00006,0.88199490,0.11800510
00007,0.49942270,0.50057730
00008,0.51692873,0.48307127
00009,0.61172760,0.38827240
00010,0.64223433,0.35776567
00011,0.94505584,0.05494416
00012,0.86290574,0.13709426
00013,0.85970193,0.14029807
00014,0.85371506,0.14628494
00015,0.92208004,0.07791996
00016,0.96529567,0.03470433
00017,0.84136355,0.15863645
00018,0.94390541,0.05609459
00019,0.97754335,0.02245665
00020,0.96051395,0.03948605
00021,0.94734919,0.05265081
00022,0.70318401,0.29681599
00023,0.94400805,0.05599195
00024,0.93507278,0.06492722
00025,0.88888967,0.11111033
00026,0.89020932,0.10979068
00027,0.89935404,0.10064596
00028,0.87042969,0.12957031
00029,0.91586882,0.08413118
00030,0.92126781,0.07873219
00031,0.96557105,0.03442895
00032,0.94503731,0.05496269
00033,0.94821566,0.05178434
00034,0.94520348,0.05479652
00035,0.70470870,0.29529130
00036,0.96495032,0.03504968
00037,0.95290124,0.04709876
00038,0.89590484,0.10409516
00039,0.95081967,0.04918033
00040,0.79898220,0.20101780
00041,0.66483074,0.33516926
00042,0.93517470,0.06482530
00043,0.98001999,0.01998001
00044,0.70452976,0.29547024
00045,0.98205996,0.01794004
00046,0.95592332,0.04407668
00047,0.96584600,0.03415400
00048,0.96771592,0.03228408
00049,0.98407400,0.01592600
00050,0.97668862,0.02331138
00051,0.94102061,0.05897939
00052,0.87356049,0.12643951
00053,0.86767453,0.13232547
00054,0.82255125,0.17744875
00055,0.89386934,0.10613066
00056,0.87217003,0.12782997
00057,0.82260704,0.17739296
00058,0.73266596,0.26733404
00059,0.91787708,0.08212292
00060,0.89405769,0.10594231
00061,0.59970969,0.40029031
00062,0.80720198,0.19279802
00063,0.78479683,0.21520317
00064,0.65306813,0.34693187
00065,0.63734061,0.36265939
00066,0.82179904,0.17820096
00067,0.93955535,0.06044465
00068,0.94425607,0.05574393
00069,0.93534482,0.06465518
00070,0.94082892,0.05917108
00071,0.96281809,0.03718191
00072,0.98216814,0.01783186
00073,0.96578592,0.03421408
00074,0.92810792,0.07189208
00075,0.89211404,0.10788596
00076,0.96254462,0.03745538
00077,0.92361033,0.07638967
00078,0.84418654,0.15581346
00079,0.88278401,0.11721599
00080,0.84236878,0.15763122
00081,0.81678170,0.18321830
00082,0.96534795,0.03465205
00083,0.91147017,0.08852983
00084,0.87669855,0.12330145
00085,0.83179575,0.16820425
00086,0.96319187,0.03680813
00087,0.88305587,0.11694413
00088,0.88414055,0.11585945
00089,0.76247537,0.23752463
00090,0.94095784,0.05904216
00091,0.97193480,0.02806520
00092,0.69573754,0.30426246
00093,0.94977486,0.05022514
00094,0.61193377,0.38806623
00095,0.76824689,0.23175311
00096,0.78015012,0.21984988
00097,0.45388523,0.54611477
00098,0.59466451,0.40533549
00099,0.60947341,0.39052659
00100,0.88124657,0.11875343
00101,0.68528914,0.31471086
00102,0.92785710,0.07214290
00103,0.93646932,0.06353068
00104,0.52789605,0.47210395
00105,0.80318677,0.19681323
00106,0.93999428,0.06000572
00107,0.69106299,0.30893701
00108,0.87567776,0.12432224
00109,0.92347264,0.07652736
00110,0.98576486,0.01423514
00111,0.94204104,0.05795896
00112,0.84336931,0.15663069
00113,0.93200856,0.06799144
00114,0.88922226,0.11077774
00115,0.94013298,0.05986702
00116,0.77109623,0.22890377
00117,0.78433979,0.21566021
00118,0.86343908,0.13656092
00119,0.78035998,0.21964002
00120,0.50053138,0.49946862
00121,0.57039940,0.42960060
00122,0.63406825,0.36593175
00123,0.33931985,0.66068015
00124,0.93207717,0.06792283
00125,0.95452678,0.04547322
00126,0.46541569,0.53458431
00127,0.92251849,0.07748151
00128,0.65837312,0.34162688
00129,0.91588265,0.08411735
00130,0.72775096,0.27224904
00131,0.73245382,0.26754618
00132,0.76915252,0.23084748
00133,0.54160035,0.45839965
00134,0.93162262,0.06837738
00135,0.67300224,0.32699776
00136,0.55092973,0.44907027
00137,0.52353150,0.47646850
00138,0.53698677,0.46301323
00139,0.52141392,0.47858608
00140,0.62696636,0.37303364
00141,0.92675614,0.07324386
00142,0.89760321,0.10239679
00143,0.93922359,0.06077641
00144,0.77880549,0.22119451
00145,0.73724562,0.26275438
00146,0.95393413,0.04606587
00147,0.94787335,0.05212665
00148,0.74928254,0.25071746
00149,0.86603403,0.13396597
00150,0.78755140,0.21244860
00151,0.94968951,0.05031049
00152,0.97692263,0.02307737
00153,0.96732849,0.03267151
00154,0.83816642,0.16183358
00155,0.97538251,0.02461749
00156,0.82366133,0.17633867
00157,0.82755738,0.17244262
00158,0.89492399,0.10507601
00159,0.96449608,0.03550392
00160,0.88032568,0.11967432
00161,0.72251374,0.27748626
00162,0.72108984,0.27891016
00163,0.68248922,0.31751078
00164,0.89376807,0.10623193
00165,0.67098486,0.32901514
00166,0.74266613,0.25733387
00167,0.74501216,0.25498784
00168,0.65375596,0.34624404
00169,0.80446082,0.19553918
00170,0.84731811,0.15268189
00171,0.74659127,0.25340873
00172,0.92459345,0.07540655
00173,0.90204054,0.09795946
00174,0.50930095,0.49069905
00175,0.90658820,0.09341180
00176,0.55218011,0.44781989
00177,0.91461134,0.08538866
00178,0.74253643,0.25746357
00179,0.38281173,0.61718827
00180,0.69482458,0.30517542
00181,0.76801425,0.23198575
00182,0.35734388,0.64265612
00183,0.43694702,0.56305298
00184,0.72319001,0.27680999
00185,0.77918708,0.22081292
00186,0.81723559,0.18276441
00187,0.73524767,0.26475233
00188,0.87257808,0.12742192
00189,0.91426408,0.08573592
00190,0.85177100,0.14822900
00191,0.85375732,0.14624268
00192,0.77573919,0.22426081
00193,0.97975898,0.02024102
00194,0.82333004,0.17666996
00195,0.88980013,0.11019987
00196,0.90121138,0.09878862
00197,0.77080750,0.22919250
00198,0.78397560,0.21602440
00199,0.70376951,0.29623049
00200,0.82599318,0.17400682
00201,0.87635267,0.12364733
00202,0.72995555,0.27004445
00203,0.80165195,0.19834805
00204,0.78804737,0.21195263
00205,0.84024322,0.15975678
00206,0.89651662,0.10348338
00207,0.84064448,0.15935552
00208,0.75599229,0.24400771
00209,0.72736722,0.27263278
00210,0.83179998,0.16820002
00211,0.80968106,0.19031894
00212,0.78146374,0.21853626
00213,0.97997695,0.02002305
00214,0.79748082,0.20251918
00215,0.79246849,0.20753151
00216,0.66970623,0.33029377
00217,0.60245717,0.39754283
00218,0.94727075,0.05272925
00219,0.97040820,0.02959180
00220,0.76219952,0.23780048
00221,0.96762437,0.03237563
00222,0.87186170,0.12813830
00223,0.86563867,0.13436133
00224,0.86069250,0.13930750
00225,0.68166649,0.31833351
00226,0.53585845,0.46414155
00227,0.52476740,0.47523260
00228,0.69483435,0.30516565
00229,0.57352120,0.42647880
00230,0.76980656,0.23019344
00231,0.56300455,0.43699545
00232,0.56574899,0.43425101
00233,0.78295493,0.21704507
00234,0.54902351,0.45097649
00235,0.50519377,0.49480623
00236,0.85600227,0.14399773
00237,0.98301148,0.01698852
00238,0.90234172,0.09765828
00239,0.93693089,0.06306911
00240,0.94204992,0.05795008
00241,0.91517621,0.08482379
00242,0.92913496,0.07086504
00243,0.89043927,0.10956073
00244,0.74130100,0.25869900
00245,0.76788974,0.23211026
00246,0.75916207,0.24083793
00247,0.94820094,0.05179906
00248,0.96811229,0.03188771
00249,0.89652658,0.10347342
00250,0.55842900,0.44157100
00251,0.57356328,0.42643672
00252,0.55218416,0.44781584
00253,0.60238659,0.39761341
00254,0.88687980,0.11312020
00255,0.55342168,0.44657832
00256,0.90204024,0.09795976
00257,0.72499412,0.27500588
00258,0.66899931,0.33100069
00259,0.38371912,0.61628088
00260,0.49967423,0.50032577
00261,0.69057107,0.30942893
00262,0.69420034,0.30579966
00263,0.58525443,0.41474557
00264,0.96944404,0.03055596
00265,0.64713973,0.35286027
00266,0.92157161,0.07842839
00267,0.64355236,0.35644764
00268,0.93327558,0.06672442
00269,0.84844285,0.15155715
00270,0.97714597,0.02285403
00271,0.60210323,0.39789677
00272,0.92412174,0.07587826
00273,0.83661807,0.16338193
00274,0.94808543,0.05191457
00275,0.68522882,0.31477118
00276,0.96205366,0.03794634
00277,0.57352662,0.42647338
00278,0.93459171,0.06540829
00279,0.63112694,0.36887306
00280,0.63109344,0.36890656
00281,0.70738059,0.29261941
00282,0.97130251,0.02869749
00283,0.77853036,0.22146964
00284,0.67966431,0.32033569
00285,0.76034164,0.23965836
00286,0.62767410,0.37232590
00287,0.69632053,0.30367947
00288,0.63399041,0.36600959
00289,0.57766777,0.42233223
00290,0.72855145,0.27144855
00291,0.68012387,0.31987613
00292,0.63922554,0.36077446
00293,0.95404059,0.04595941
00294,0.79515803,0.20484197
00295,0.68004280,0.31995720
00296,0.63141590,0.36858410
00297,0.73533183,0.26466817
00298,0.76228613,0.23771387
00299,0.77025574,0.22974426
00300,0.66349816,0.33650184
00301,0.89841998,0.10158002
00302,0.72224522,0.27775478
00303,0.58769518,0.41230482
00304,0.70571411,0.29428589
00305,0.93497741,0.06502259
00306,0.93082255,0.06917745
00307,0.98187220,0.01812780
00308,0.95640957,0.04359043
00309,0.91905171,0.08094829
00310,0.95340943,0.04659057
00311,0.95040417,0.04959583
00312,0.94341534,0.05658466
00313,0.46531656,0.53468344
00314,0.71737868,0.28262132
00315,0.76930606,0.23069394
00316,0.41659394,0.58340606
