pair_id,cos_sim,cos_dist
00000,0.99960458,0.00039542
00001,0.99965650,0.00034350
00002,0.99988747,0.00011253
00003,0.99914545,0.00085455
00004,0.99917322,0.00082678
00005,0.99994540,0.00005460
00006,0.99977136,0.00022864
00007,0.99930501,0.00069499
00008,0.99920052,0.00079948
00009,0.99853212,0.00146788
00010,0.99940646,0.00059354
00011,0.99973643,0.00026357
00012,0.99910283,0.00089717
00013,0.99956089,0.00043911
00014,0.99961466,0.00038534
00015,0.99975020,0.00024980
00016,0.99979186,0.00020814
00017,0.99914306,0.00085694
00018,0.99976885,0.00023115
00019,0.99985170,0.00014830
00020,0.99950445,0.00049555
00021,0.99978119,0.00021881
00022,0.99952537,0.00047463
00023,0.99979442,0.00020558
00024,0.99953890,0.00046110
00025,0.99934304,0.00065696
00026,0.99966347,0.00033653
00027,0.99946648,0.00053352
00028,0.99914902,0.00085098
00029,0.99966085,0.00033915
00030,0.99961829,0.00038171
00031,0.99987471,0.00012529
00032,0.99956894,0.00043106
00033,0.99962157,0.00037843
00034,0.99976653,0.00023347
00035,0.99785060,0.00214940
00036,0.99984694,0.00015306
00037,0.99973488,0.00026512
00038,0.99929309,0.00070691
00039,0.99977970,0.00022030
00040,0.99875367,0.00124633
00041,0.99896437,0.00103563
00042,0.99920523,0.00079477
00043,0.99991739,0.00008261
00044,0.99920923,0.00079077
00045,0.99996608,0.00003392
00046,0.99919826,0.00080174
00047,0.99889302,0.00110698
00048,0.99978483,0.00021517
00049,0.99975240,0.00024760
00050,0.99978578,0.00021422
00051,0.99981499,0.00018501
00052,0.99825829,0.00174171
00053,0.99867696,0.00132304
00054,0.99818259,0.00181741
00055,0.99928260,0.00071740
00056,0.99786317,0.00213683
00057,0.99910080,0.00089920
00058,0.99953777,0.00046223
00059,0.99926722,0.00073278
00060,0.99981904,0.00018096
00061,0.99876696,0.00123304
00062,0.99762869,0.00237131
00063,0.99950492,0.00049508
00064,0.99845231,0.00154769
00065,0.99869329,0.00130671
00066,0.99848312,0.00151688
00067,0.99966735,0.00033265
00068,0.99972492,0.00027508
00069,0.99655044,0.00344956
00070,0.99978405,0.00021595
00071,0.99926275,0.00073725
00072,0.99990714,0.00009286
00073,0.99933428,0.00066572
00074,0.99978179,0.00021821
00075,0.99820548,0.00179452
00076,0.99944985,0.00055015
00077,0.99871922,0.00128078
00078,0.99692965,0.00307035
00079,0.99797755,0.00202245
00080,0.99888986,0.00111014
00081,0.99875742,0.00124258
00082,0.99987203,0.00012797
00083,0.99903697,0.00096303
00084,0.99911171,0.00088829
00085,0.99843705,0.00156295
00086,0.99972177,0.00027823
00087,0.99915463,0.00084537
00088,0.99932462,0.00067538
00089,0.99958724,0.00041276
00090,0.99981916,0.00018084
00091,0.99993926,0.00006074
00092,0.99929500,0.00070500
00093,0.99981993,0.00018007
00094,0.99916708,0.00083292
00095,0.99949753,0.00050247
00096,0.99967182,0.00032818
00097,0.99757838,0.00242162
00098,0.99828547,0.00171453
00099,0.99280202,0.00719798
00100,0.99866217,0.00133783
00101,0.99863470,0.00136530
00102,0.99944144,0.00055856
00103,0.99956977,0.00043023
00104,0.98417580,0.01582420
00105,0.99433434,0.00566566
00106,0.99985772,0.00014228
00107,0.99561650,0.00438350
00108,0.99948770,0.00051230
00109,0.99843276,0.00156724
00110,0.99992287,0.00007713
00111,0.99974293,0.00025707
00112,0.99964917,0.00035083
00113,0.99963021,0.00036979
00114,0.99968463,0.00031537
00115,0.99975109,0.00024891
00116,0.99774808,0.00225192
00117,0.99863189,0.00136811
00118,0.99937618,0.00062382
00119,0.99885392,0.00114608
00120,0.99427593,0.00572407
00121,0.99714237,0.00285763
00122,0.99885982,0.00114018
00123,0.99515128,0.00484872
00124,0.99966514,0.00033486
00125,0.99979442,0.00020558
00126,0.99813104,0.00186896
00127,0.99975038,0.00024962
00128,0.99917376,0.00082624
00129,0.99968553,0.00031447
00130,0.99735224,0.00264776
00131,0.99789906,0.00210094
00132,0.99903047,0.00096953
00133,0.99759024,0.00240976
00134,0.99982190,0.00017810
00135,0.99600351,0.00399649
00136,0.99854797,0.00145203
00137,0.99825507,0.00174493
00138,0.99602753,0.00397247
00139,0.99905533,0.00094467
00140,0.99838227,0.00161773
00141,0.99956036,0.00043964
00142,0.99953628,0.00046372
00143,0.99953485,0.00046515
00144,0.99868721,0.00131279
00145,0.99949211,0.00050789
00146,0.99988753,0.00011247
00147,0.99977124,0.00022876
00148,0.99861807,0.00138193
00149,0.99969727,0.00030273
00150,0.99843806,0.00156194
00151,0.99976885,0.00023115
00152,0.99990177,0.00009823
00153,0.99988025,0.00011975
00154,0.99905789,0.00094211
00155,0.99984497,0.00015503
00156,0.99853337,0.00146663
00157,0.99906969,0.00093031
00158,0.99950510,0.00049490
00159,0.99945068,0.00054932
00160,0.99787527,0.00212473
00161,0.99792749,0.00207251
00162,0.99925423,0.00074577
00163,0.99869746,0.00130254
00164,0.99846578,0.00153422
00165,0.99905127,0.00094873
00166,0.99884075,0.00115925
00167,0.99883771,0.00116229
00168,0.99938351,0.00061649
00169,0.99883980,0.00116020
00170,0.99861884,0.00138116
00171,0.99923384,0.00076616
00172,0.99941981,0.00058019
00173,0.99911445,0.00088555
00174,0.99888945,0.00111055
00175,0.99906152,0.00093848
00176,0.99841446,0.00158554
00177,0.99909782,0.00090218
00178,0.99864620,0.00135380
00179,0.99729651,0.00270349
00180,0.99889755,0.00110245
00181,0.99863082,0.00136918
00182,0.99659884,0.00340116
00183,0.99829972,0.00170028
00184,0.99927586,0.00072414
00185,0.99805558,0.00194442
00186,0.99854153,0.00145847
00187,0.99915206,0.00084794
00188,0.99987137,0.00012863
00189,0.99941266,0.00058734
00190,0.99919665,0.00080335
00191,0.99899948,0.00100052
00192,0.99928868,0.00071132
00193,0.99986780,0.00013220
00194,0.99936241,0.00063759
00195,0.99948967,0.00051033
00196,0.99953049,0.00046951
00197,0.99947220,0.00052780
00198,0.99931723,0.00068277
00199,0.99925280,0.00074720
00200,0.99905020,0.00094980
00201,0.99970782,0.00029218
00202,0.99956441,0.00043559
00203,0.99952048,0.00047952
00204,0.99882901,0.00117099
00205,0.99906284,0.00093716
00206,0.99917555,0.00082445
00207,0.99917281,0.00082719
00208,0.99945098,0.00054902
00209,0.99957240,0.00042760
00210,0.99923909,0.00076091
00211,0.99827266,0.00172734
00212,0.99848539,0.00151461
00213,0.99989945,0.00010055
00214,0.99812722,0.00187278
00215,0.99908924,0.00091076
00216,0.99946070,0.00053930
00217,0.99887925,0.00112075
00218,0.99928463,0.00071537
00219,0.99947131,0.00052869
00220,0.99717009,0.00282991
00221,0.99980617,0.00019383
00222,0.99886042,0.00113958
00223,0.99787241,0.00212759
00224,0.99916917,0.00083083
00225,0.99859923,0.00140077
00226,0.99829441,0.00170559
00227,0.99812961,0.00187039
00228,0.99939740,0.00060260
00229,0.99700880,0.00299120
00230,0.99958843,0.00041157
00231,0.99748355,0.00251645
00232,0.99849463,0.00150537
00233,0.99904656,0.00095344
00234,0.99918246,0.00081754
00235,0.99917334,0.00082666
00236,0.99853694,0.00146306
00237,0.99994171,0.00005829
00238,0.99979353,0.00020647
00239,0.99972039,0.00027961
00240,0.99988014,0.00011986
00241,0.99968511,0.00031489
00242,0.99956393,0.00043607
00243,0.99806947,0.00193053
00244,0.99951202,0.00048798
00245,0.99951369,0.00048631
00246,0.99947423,0.00052577
00247,0.99926549,0.00073451
00248,0.99971044,0.00028956
00249,0.99880171,0.00119829
00250,0.99537045,0.00462955
00251,0.99627298,0.00372702
00252,0.99587744,0.00412256
00253,0.99840534,0.00159466
00254,0.99976844,0.00023156
00255,0.99732381,0.00267619
00256,0.99985087,0.00014913
00257,0.99866331,0.00133669
00258,0.99910778,0.00089222
00259,0.99883604,0.00116396
00260,0.99762642,0.00237358
00261,0.99834222,0.00165778
00262,0.99859792,0.00140208
00263,0.99955642,0.00044358
00264,0.99979579,0.00020421
00265,0.99613404,0.00386596
00266,0.99985194,0.00014806
00267,0.99905157,0.00094843
00268,0.99979681,0.00020319
00269,0.99969977,0.00030023
00270,0.99991006,0.00008994
00271,0.99836922,0.00163078
00272,0.99986571,0.00013429
00273,0.99947041,0.00052959
00274,0.99986243,0.00013757
00275,0.99869722,0.00130278
00276,0.99978453,0.00021547
00277,0.99734455,0.00265545
00278,0.99896169,0.00103831
00279,0.99883521,0.00116479
00280,0.99895149,0.00104851
00281,0.99910033,0.00089967
00282,0.99991751,0.00008249
00283,0.99937785,0.00062215
00284,0.99869508,0.00130492
00285,0.99924558,0.00075442
00286,0.99894273,0.00105727
00287,0.99943852,0.00056148
00288,0.99935180,0.00064820
00289,0.99901015,0.00098985
00290,0.99901599,0.00098401
00291,0.99915290,0.00084710
00292,0.99879783,0.00120217
00293,0.99994391,0.00005609
00294,0.99938780,0.00061220
00295,0.99924672,0.00075328
00296,0.99872041,0.00127959
00297,0.99928272,0.00071728
00298,0.99900132,0.00099868
00299,0.99915797,0.00084203
00300,0.99862689,0.00137311
00301,0.99978137,0.00021863
00302,0.99885398,0.00114602
00303,0.99924695,0.00075305
00304,0.99916041,0.00083959
00305,0.99982810,0.00017190
00306,0.99971038,0.00028962
00307,0.99995136,0.00004864
00308,0.99963576,0.00036424
00309,0.99857616,0.00142384
00310,0.99878943,0.00121057
00311,0.99886501,0.00113499
00312,0.99855089,0.00144911
00313,0.99858844,0.00141156
00314,0.99906033,0.00093967
00315,0.99941844,0.00058156
00316,0.99850702,0.00149298
00317,0.99774975,0.00225025
00318,0.99942237,0.00057763
00319,0.99963659,0.00036341
00320,0.99906528,0.00093472
