pair_id,cos_sim,cos_dist
00000,0.93500066,0.06499934
00001,0.91071594,0.08928406
00002,0.95947552,0.04052448
00003,0.92622799,0.07377201
00004,0.97771299,0.02228701
00005,0.98822910,0.01177090
00006,0.96208185,0.03791815
00007,0.88206977,0.11793023
00008,0.85868424,0.14131576
00009,0.91046232,0.08953768
00010,0.91519737,0.08480263
00011,0.95357454,0.04642546
00012,0.90709263,0.09290737
00013,0.93206328,0.06793672
00014,0.94439459,0.05560541
00015,0.95605558,0.04394442
00016,0.98225474,0.01774526
00017,0.90326786,0.09673214
00018,0.96919584,0.03080416
00019,0.99210429,0.00789571
00020,0.97863019,0.02136981
00021,0.94485599,0.05514401
00022,0.94080997,0.05919003
00023,0.95979518,0.04020482
00024,0.95916295,0.04083705
00025,0.94159627,0.05840373
00026,0.97736353,0.02263647
00027,0.95960271,0.04039729
00028,0.96131414,0.03868586
00029,0.98413235,0.01586765
00030,0.96067482,0.03932518
00031,0.94676387,0.05323613
00032,0.95948488,0.04051512
00033,0.95219052,0.04780948
00034,0.97286153,0.02713847
00035,0.86520731,0.13479269
00036,0.95053476,0.04946524
00037,0.97231466,0.02768534
00038,0.96526223,0.03473777
00039,0.97209120,0.02790880
00040,0.90883076,0.09116924
00041,0.90512472,0.09487528
00042,0.96839565,0.03160435
00043,0.98747087,0.01252913
00044,0.90888989,0.09111011
00045,0.99577439,0.00422561
00046,0.96935415,0.03064585
00047,0.95990002,0.04009998
00048,0.98652148,0.01347852
00049,0.98401755,0.01598245
00050,0.98492330,0.01507670
00051,0.97620690,0.02379310
00052,0.93195617,0.06804383
00053,0.94384277,0.05615723
00054,0.91733617,0.08266383
00055,0.93833125,0.06166875
00056,0.94194210,0.05805790
00057,0.94848388,0.05151612
00058,0.94854903,0.05145097
00059,0.95792174,0.04207826
00060,0.95297265,0.04702735
00061,0.91440439,0.08559561
00062,0.91201699,0.08798301
00063,0.96520877,0.03479123
00064,0.82796383,0.17203617
00065,0.80912483,0.19087517
00066,0.93047559,0.06952441
00067,0.97698951,0.02301049
00068,0.97305053,0.02694947
00069,0.97399932,0.02600068
00070,0.97320807,0.02679193
00071,0.97981989,0.02018011
00072,0.98631978,0.01368022
00073,0.97827125,0.02172875
00074,0.96608227,0.03391773
00075,0.95184880,0.04815120
00076,0.97486889,0.02513111
00077,0.95160621,0.04839379
00078,0.95388108,0.04611892
00079,0.94562209,0.05437791
00080,0.95270002,0.04729998
00081,0.91411245,0.08588755
00082,0.98954886,0.01045114
00083,0.94908881,0.05091119
00084,0.94569099,0.05430901
00085,0.91052914,0.08947086
00086,0.97434998,0.02565002
00087,0.94768536,0.05231464
00088,0.97209543,0.02790457
00089,0.94774330,0.05225670
00090,0.96154100,0.03845900
00091,0.97968858,0.02031142
00092,0.88376307,0.11623693
00093,0.93641466,0.06358534
00094,0.91980273,0.08019727
00095,0.89169121,0.10830879
00096,0.90608555,0.09391445
00097,0.81391180,0.18608820
00098,0.87010700,0.12989300
00099,0.84970689,0.15029311
00100,0.87007105,0.12992895
00101,0.87706387,0.12293613
00102,0.95488644,0.04511356
00103,0.94758165,0.05241835
00104,0.88437355,0.11562645
00105,0.92936563,0.07063437
00106,0.94953418,0.05046582
00107,0.86213309,0.13786691
00108,0.95334309,0.04665691
00109,0.93936497,0.06063503
00110,0.98947656,0.01052344
00111,0.97664797,0.02335203
00112,0.94967955,0.05032045
00113,0.94687998,0.05312002
00114,0.94921178,0.05078822
00115,0.96794558,0.03205442
00116,0.94727933,0.05272067
00117,0.95847619,0.04152381
00118,0.95145315,0.04854685
00119,0.93968821,0.06031179
00120,0.83242881,0.16757119
00121,0.81630909,0.18369091
00122,0.79217136,0.20782864
00123,0.82515717,0.17484283
00124,0.93110919,0.06889081
00125,0.92137051,0.07862949
00126,0.77331972,0.22668028
00127,0.97163486,0.02836514
00128,0.82683122,0.17316878
00129,0.96707612,0.03292388
00130,0.88389444,0.11610556
00131,0.92004275,0.07995725
00132,0.92147154,0.07852846
00133,0.81582016,0.18417984
00134,0.97430420,0.02569580
00135,0.82892442,0.17107558
00136,0.88540089,0.11459911
00137,0.87776488,0.12223512
00138,0.84966022,0.15033978
00139,0.84095651,0.15904349
00140,0.88352478,0.11647522
00141,0.95621061,0.04378939
00142,0.96547592,0.03452408
00143,0.95429045,0.04570955
00144,0.93840641,0.06159359
00145,0.95838773,0.04161227
00146,0.98993337,0.01006663
00147,0.98156118,0.01843882
00148,0.91160166,0.08839834
00149,0.96396017,0.03603983
00150,0.93060791,0.06939209
00151,0.93577415,0.06422585
00152,0.96731305,0.03268695
00153,0.96329767,0.03670233
00154,0.94814658,0.05185342
00155,0.97585857,0.02414143
00156,0.93000031,0.06999969
00157,0.96187323,0.03812677
00158,0.97838116,0.02161884
00159,0.98112214,0.01887786
00160,0.95583820,0.04416180
00161,0.93445110,0.06554890
00162,0.88792652,0.11207348
00163,0.89992946,0.10007054
00164,0.93830049,0.06169951
00165,0.89390111,0.10609889
00166,0.93109012,0.06890988
00167,0.90060753,0.09939247
00168,0.89759231,0.10240769
00169,0.91220456,0.08779544
00170,0.94729626,0.05270374
00171,0.85597163,0.14402837
00172,0.94372153,0.05627847
00173,0.96289885,0.03710115
00174,0.88942301,0.11057699
00175,0.94676280,0.05323720
00176,0.90806055,0.09193945
00177,0.95205772,0.04794228
00178,0.89270383,0.10729617
00179,0.80708838,0.19291162
00180,0.87586683,0.12413317
00181,0.88792902,0.11207098
00182,0.84809387,0.15190613
00183,0.83671564,0.16328436
00184,0.91966259,0.08033741
00185,0.90645468,0.09354532
00186,0.94831318,0.05168682
00187,0.93694264,0.06305736
00188,0.95694363,0.04305637
00189,0.93704373,0.06295627
00190,0.90265167,0.09734833
00191,0.91480583,0.08519417
00192,0.94043595,0.05956405
00193,0.98747456,0.01252544
00194,0.93371707,0.06628293
00195,0.94943273,0.05056727
00196,0.96462363,0.03537637
00197,0.93131745,0.06868255
00198,0.92124784,0.07875216
00199,0.91255903,0.08744097
00200,0.90390629,0.09609371
00201,0.93977249,0.06022751
00202,0.95389515,0.04610485
00203,0.93597704,0.06402296
00204,0.90919518,0.09080482
00205,0.90871990,0.09128010
00206,0.94740814,0.05259186
00207,0.93268383,0.06731617
00208,0.88957936,0.11042064
00209,0.91660094,0.08339906
00210,0.92321920,0.07678080
00211,0.92959082,0.07040918
00212,0.93044084,0.06955916
00213,0.98896056,0.01103944
00214,0.92823684,0.07176316
00215,0.91192716,0.08807284
00216,0.89217675,0.10782325
00217,0.88526714,0.11473286
00218,0.96842349,0.03157651
00219,0.96913970,0.03086030
00220,0.91379732,0.08620268
00221,0.98136663,0.01863337
00222,0.92520803,0.07479197
00223,0.93308556,0.06691444
00224,0.92726004,0.07273996
00225,0.85186338,0.14813662
00226,0.90447700,0.09552300
00227,0.90413904,0.09586096
00228,0.88353139,0.11646861
00229,0.88688964,0.11311036
00230,0.92311031,0.07688969
00231,0.91124785,0.08875215
00232,0.87330586,0.12669414
00233,0.90735054,0.09264946
00234,0.88436633,0.11563367
00235,0.87347126,0.12652874
00236,0.90902519,0.09097481
00237,0.98769122,0.01230878
00238,0.96675330,0.03324670
00239,0.96823752,0.03176248
00240,0.96397346,0.03602654
00241,0.95581079,0.04418921
00242,0.96890384,0.03109616
00243,0.93980789,0.06019211
00244,0.92299372,0.07700628
00245,0.93100208,0.06899792
00246,0.93572342,0.06427658
00247,0.98236418,0.01763582
00248,0.97309202,0.02690798
00249,0.96917909,0.03082091
00250,0.81593239,0.18406761
00251,0.80528694,0.19471306
00252,0.79508621,0.20491379
00253,0.91396868,0.08603132
00254,0.93679941,0.06320059
00255,0.86078095,0.13921905
00256,0.95601290,0.04398710
00257,0.83199203,0.16800797
00258,0.89447773,0.10552227
00259,0.83961987,0.16038013
00260,0.88413370,0.11586630
00261,0.90431046,0.09568954
00262,0.87420154,0.12579846
00263,0.88517559,0.11482441
