pair_id,cos_sim,cos_dist
00000,0.98993254,0.01006746
00001,0.99107867,0.00892133
00002,0.99372214,0.00627786
00003,0.98473239,0.01526761
00004,0.99864501,0.00135499
00005,0.99863660,0.00136340
00006,0.99394506,0.00605494
00007,0.98213941,0.01786059
00008,0.98340172,0.01659828
00009,0.97884470,0.02115530
00010,0.98773420,0.01226580
00011,0.99279428,0.00720572
00012,0.99220920,0.00779080
00013,0.99446154,0.00553846
00014,0.99323422,0.00676578
00015,0.99298561,0.00701439
00016,0.99740666,0.00259334
00017,0.98942631,0.01057369
00018,0.99836504,0.00163496
00019,0.99926245,0.00073755
00020,0.99810910,0.00189090
00021,0.99762815,0.00237185
00022,0.98264641,0.01735359
00023,0.99687892,0.00312108
00024,0.99678475,0.00321525
00025,0.99301422,0.00698578
00026,0.99753010,0.00246990
00027,0.99463546,0.00536454
00028,0.99437648,0.00562352
00029,0.99795592,0.00204408
00030,0.99585944,0.00414056
00031,0.99538505,0.00461495
00032,0.99661571,0.00338429
00033,0.99612236,0.00387764
00034,0.99567950,0.00432050
00035,0.97681201,0.02318799
00036,0.99367273,0.00632727
00037,0.99731082,0.00268918
00038,0.99562216,0.00437784
00039,0.99702191,0.00297809
00040,0.98943967,0.01056033
00041,0.99107665,0.00892335
00042,0.99558967,0.00441033
00043,0.99898875,0.00101125
00044,0.99546027,0.00453973
00045,0.99932843,0.00067157
00046,0.99842346,0.00157654
00047,0.99881369,0.00118631
00048,0.99881852,0.00118148
00049,0.99878824,0.00121176
00050,0.99828422,0.00171578
00051,0.99764395,0.00235605
00052,0.99285281,0.00714719
00053,0.99627393,0.00372607
00054,0.99537855,0.00462145
00055,0.99357986,0.00642014
00056,0.99380481,0.00619519
00057,0.99574232,0.00425768
00058,0.99166995,0.00833005
00059,0.99724263,0.00275737
00060,0.99565256,0.00434744
00061,0.98685145,0.01314855
00062,0.99214405,0.00785595
00063,0.99823284,0.00176716
00064,0.98992336,0.01007664
00065,0.99123424,0.00876576
00066,0.99174136,0.00825864
00067,0.99783581,0.00216419
00068,0.99799871,0.00200129
00069,0.99593198,0.00406802
00070,0.99751043,0.00248957
00071,0.99795032,0.00204968
00072,0.99929333,0.00070667
00073,0.99887073,0.00112927
00074,0.99691153,0.00308847
00075,0.99540460,0.00459540
00076,0.99628931,0.00371069
00077,0.99528795,0.00471205
00078,0.99187440,0.00812560
00079,0.99546188,0.00453812
00080,0.99543953,0.00456047
00081,0.98979568,0.01020432
00082,0.99795336,0.00204664
00083,0.99320835,0.00679165
00084,0.99265975,0.00734025
00085,0.98782212,0.01217788
00086,0.99795306,0.00204694
00087,0.99347234,0.00652766
00088,0.99585921,0.00414079
00089,0.99521208,0.00478792
00090,0.99697971,0.00302029
00091,0.99872160,0.00127840
00092,0.99376929,0.00623071
00093,0.99808776,0.00191224
00094,0.99043655,0.00956345
00095,0.99050999,0.00949001
00096,0.99395490,0.00604510
00097,0.98896855,0.01103145
00098,0.99271035,0.00728965
00099,0.99185818,0.00814182
00100,0.99684453,0.00315547
00101,0.99316937,0.00683063
00102,0.99845707,0.00154293
00103,0.99688435,0.00311565
00104,0.99332809,0.00667191
00105,0.99278504,0.00721496
00106,0.99612910,0.00387090
00107,0.99054283,0.00945717
00108,0.99726492,0.00273508
00109,0.99657685,0.00342315
00110,0.99937594,0.00062406
00111,0.99762589,0.00237411
00112,0.99532843,0.00467157
00113,0.99723041,0.00276959
00114,0.99726713,0.00273287
00115,0.99738330,0.00261670
00116,0.99607569,0.00392431
00117,0.99299276,0.00700724
00118,0.99777073,0.00222927
00119,0.99351174,0.00648826
00120,0.98070765,0.01929235
00121,0.96649688,0.03350312
