pair_id,cos_sim,cos_dist
00000,0.86342883,0.13657117
00001,0.85846907,0.14153093
00002,0.94370270,0.05629730
00003,0.83941454,0.16058546
00004,0.98033172,0.01966828
00005,0.97749066,0.02250934
00006,0.94886655,0.05113345
00007,0.87900281,0.12099719
00008,0.87780708,0.12219292
00009,0.88779092,0.11220908
00010,0.89910167,0.10089833
00011,0.92603958,0.07396042
00012,0.85835510,0.14164490
00013,0.91807467,0.08192533
00014,0.92461920,0.07538080
00015,0.93395412,0.06604588
00016,0.98244298,0.01755702
00017,0.84739810,0.15260190
00018,0.96109545,0.03890455
00019,0.99301761,0.00698239
00020,0.97197002,0.02802998
00021,0.92650461,0.07349539
00022,0.90520710,0.09479290
00023,0.96516675,0.03483325
00024,0.95553064,0.04446936
00025,0.93645108,0.06354892
00026,0.94367021,0.05632979
00027,0.93349892,0.06650108
00028,0.93991661,0.06008339
00029,0.97448134,0.02551866
00030,0.96987009,0.03012991
00031,0.96531045,0.03468955
00032,0.94720149,0.05279851
00033,0.95310014,0.04689986
00034,0.95934683,0.04065317
00035,0.76275438,0.23724562
00036,0.95900905,0.04099095
00037,0.94541174,0.05458826
00038,0.95203722,0.04796278
00039,0.94522923,0.05477077
00040,0.93073726,0.06926274
00041,0.85531849,0.14468151
00042,0.95660394,0.04339606
00043,0.99067432,0.00932568
00044,0.91800618,0.08199382
00045,0.99512357,0.00487643
00046,0.94397509,0.05602491
00047,0.93632162,0.06367838
00048,0.98581779,0.01418221
00049,0.98396492,0.01603508
00050,0.98629463,0.01370537
00051,0.94850487,0.05149513
00052,0.85400981,0.14599019
00053,0.95097315,0.04902685
00054,0.89917648,0.10082352
00055,0.88104010,0.11895990
00056,0.86098695,0.13901305
00057,0.95500469,0.04499531
00058,0.92936128,0.07063872
00059,0.94590396,0.05409604
00060,0.93375921,0.06624079
00061,0.82742274,0.17257726
00062,0.88559484,0.11440516
00063,0.98392272,0.01607728
00064,0.80784154,0.19215846
00065,0.84144652,0.15855348
00066,0.89332926,0.10667074
00067,0.94788760,0.05211240
00068,0.94749653,0.05250347
00069,0.94670355,0.05329645
00070,0.94448745,0.05551255
00071,0.97406101,0.02593899
00072,0.99208343,0.00791657
00073,0.98605835,0.01394165
00074,0.95065331,0.04934669
00075,0.94680852,0.05319148
00076,0.96514857,0.03485143
00077,0.87176663,0.12823337
00078,0.87788939,0.12211061
00079,0.94515359,0.05484641
00080,0.91511720,0.08488280
00081,0.87046593,0.12953407
00082,0.98859060,0.01140940
00083,0.91635120,0.08364880
00084,0.93252689,0.06747311
00085,0.82470155,0.17529845
00086,0.97160953,0.02839047
00087,0.93504637,0.06495363
00088,0.90345317,0.09654683
00089,0.94311345,0.05688655
00090,0.92119324,0.07880676
00091,0.99029678,0.00970322
00092,0.86450696,0.13549304
00093,0.89403474,0.10596526
00094,0.86508644,0.13491356
00095,0.89162922,0.10837078
00096,0.95681393,0.04318607
00097,0.69958317,0.30041683
00098,0.86801070,0.13198930
00099,0.81669015,0.18330985
00100,0.92283207,0.07716793
00101,0.91769207,0.08230793
00102,0.97760218,0.02239782
00103,0.95803881,0.04196119
00104,0.85991979,0.14008021
00105,0.92496270,0.07503730
00106,0.93701482,0.06298518
00107,0.88707477,0.11292523
00108,0.97601855,0.02398145
00109,0.93285108,0.06714892
00110,0.99330389,0.00669611
00111,0.96184099,0.03815901
00112,0.94336307,0.05663693
00113,0.91014421,0.08985579
00114,0.94036031,0.05963969
00115,0.96717960,0.03282040
00116,0.91586751,0.08413249
00117,0.89640033,0.10359967
00118,0.93573749,0.06426251
00119,0.90201455,0.09798545
00120,0.66701686,0.33298314
00121,0.80503613,0.19496387
00122,0.68736809,0.31263191
00123,0.77513629,0.22486371
00124,0.91341150,0.08658850
00125,0.94913608,0.05086392
00126,0.74729711,0.25270289
00127,0.96968555,0.03031445
00128,0.90321344,0.09678656
00129,0.95685828,0.04314172
00130,0.93060547,0.06939453
00131,0.92712104,0.07287896
00132,0.82481760,0.17518240
00133,0.84375107,0.15624893
00134,0.95693052,0.04306948
00135,0.80268002,0.19731998
00136,0.77435917,0.22564083
00137,0.85996258,0.14003742
00138,0.78505361,0.21494639
00139,0.83477592,0.16522408
00140,0.77369326,0.22630674
00141,0.89247787,0.10752213
00142,0.90591341,0.09408659
00143,0.93901271,0.06098729
00144,0.95309502,0.04690498
00145,0.96132022,0.03867978
00146,0.98847216,0.01152784
00147,0.98118562,0.01881438
00148,0.94292212,0.05707788
00149,0.90678155,0.09321845
00150,0.96060681,0.03939319
00151,0.88852161,0.11147839
00152,0.98265028,0.01734972
00153,0.93778127,0.06221873
00154,0.91795564,0.08204436
00155,0.98647058,0.01352942
00156,0.89994752,0.10005248
00157,0.88220143,0.11779857
00158,0.96751153,0.03248847
00159,0.98557460,0.01442540
00160,0.88340646,0.11659354
00161,0.87299919,0.12700081
00162,0.82499242,0.17500758
00163,0.86710274,0.13289726
00164,0.83831835,0.16168165
00165,0.91243243,0.08756757
00166,0.85934812,0.14065188
00167,0.90571654,0.09428346
00168,0.86537540,0.13462460
00169,0.84984577,0.15015423
00170,0.90450025,0.09549975
00171,0.93198013,0.06801987
00172,0.95778877,0.04221123
00173,0.95840645,0.04159355
00174,0.86933792,0.13066208
00175,0.94760346,0.05239654
00176,0.89046204,0.10953796
00177,0.96127206,0.03872794
00178,0.88299841,0.11700159
00179,0.67520428,0.32479572
00180,0.87354594,0.12645406
00181,0.93170780,0.06829220
00182,0.80990762,0.19009238
00183,0.87236166,0.12763834
00184,0.84597486,0.15402514
00185,0.89323610,0.10676390
00186,0.93647563,0.06352437
00187,0.90888637,0.09111363
00188,0.97483259,0.02516741
00189,0.91184950,0.08815050
00190,0.83276474,0.16723526
00191,0.83108664,0.16891336
00192,0.92680466,0.07319534
00193,0.98812252,0.01187748
00194,0.90973383,0.09026617
00195,0.93239564,0.06760436
00196,0.94434988,0.05565012
00197,0.94042474,0.05957526
00198,0.92715126,0.07284874
00199,0.89251739,0.10748261
00200,0.87304777,0.12695223
00201,0.97173727,0.02826273
00202,0.89198899,0.10801101
00203,0.91321301,0.08678699
00204,0.83507276,0.16492724
00205,0.91745186,0.08254814
00206,0.89206374,0.10793626
00207,0.90655518,0.09344482
00208,0.89405864,0.10594136
00209,0.82942855,0.17057145
00210,0.93003154,0.06996846
00211,0.93440497,0.06559503
00212,0.93881851,0.06118149
00213,0.99233866,0.00766134
00214,0.88614184,0.11385816
00215,0.95072001,0.04927999
00216,0.88525546,0.11474454
00217,0.84439099,0.15560901
00218,0.95367235,0.04632765
00219,0.98114192,0.01885808
00220,0.92688608,0.07311392
00221,0.97489816,0.02510184
00222,0.92616034,0.07383966
00223,0.94798493,0.05201507
00224,0.95792335,0.04207665
00225,0.84427482,0.15572518
00226,0.85740632,0.14259368
00227,0.85571557,0.14428443
00228,0.93738139,0.06261861
00229,0.92898798,0.07101202
00230,0.92471385,0.07528615
00231,0.92284954,0.07715046
00232,0.93381178,0.06618822
00233,0.92495614,0.07504386
00234,0.87197328,0.12802672
00235,0.87232864,0.12767136
00236,0.93790340,0.06209660
00237,0.99400413,0.00599587
00238,0.96393871,0.03606129
00239,0.96218479,0.03781521
00240,0.98413467,0.01586533
00241,0.96598458,0.03401542
00242,0.97364467,0.02635533
00243,0.91230661,0.08769339
00244,0.93469501,0.06530499
00245,0.91400307,0.08599693
00246,0.88805282,0.11194718
00247,0.98282290,0.01717710
00248,0.99012130,0.00987870
00249,0.98294973,0.01705027
00250,0.80640954,0.19359046
00251,0.86613476,0.13386524
00252,0.89817405,0.10182595
00253,0.89553910,0.10446090
00254,0.88829565,0.11170435
00255,0.86128438,0.13871562
00256,0.92104292,0.07895708
00257,0.87693226,0.12306774
00258,0.92014730,0.07985270
00259,0.87007856,0.12992144
00260,0.87950957,0.12049043
00261,0.90154999,0.09845001
00262,0.91443694,0.08556306
00263,0.88829482,0.11170518
00264,0.98923510,0.01076490
00265,0.90038770,0.09961230
00266,0.90384233,0.09615767
00267,0.92992038,0.07007962
00268,0.89136595,0.10863405
00269,0.93513697,0.06486303
00270,0.99145597,0.00854403
00271,0.87963843,0.12036157
00272,0.97314060,0.02685940
00273,0.87180907,0.12819093
00274,0.93625110,0.06374890
00275,0.90827775,0.09172225
00276,0.94336861,0.05663139
00277,0.86309588,0.13690412
00278,0.96093476,0.03906524
00279,0.85832602,0.14167398
00280,0.81820816,0.18179184
00281,0.91437751,0.08562249
00282,0.99172109,0.00827891
00283,0.90747344,0.09252656
00284,0.85902315,0.14097685
00285,0.88180751,0.11819249
00286,0.90069473,0.09930527
00287,0.88553262,0.11446738
00288,0.88530564,0.11469436
00289,0.81949723,0.18050277
00290,0.94028568,0.05971432
00291,0.90615726,0.09384274
00292,0.82436258,0.17563742
00293,0.99303204,0.00696796
00294,0.87614250,0.12385750
00295,0.90926373,0.09073627
00296,0.85490090,0.14509910
00297,0.84846294,0.15153706
00298,0.92107260,0.07892740
00299,0.87199968,0.12800032
00300,0.87621516,0.12378484
00301,0.95857376,0.04142624
00302,0.89905697,0.10094303
00303,0.77000964,0.22999036
00304,0.84380800,0.15619200
00305,0.92358851,0.07641149
00306,0.93894279,0.06105721
00307,0.99468148,0.00531852
00308,0.95982313,0.04017687
00309,0.94293869,0.05706131
00310,0.94946057,0.05053943
00311,0.97333944,0.02666056
00312,0.95706469,0.04293531
00313,0.82252342,0.17747658
00314,0.86372018,0.13627982
00315,0.88781583,0.11218417
00316,0.81038791,0.18961209
00317,0.67125815,0.32874185
00318,0.84089077,0.15910923
00319,0.95711321,0.04288679
00320,0.91557097,0.08442903
00321,0.92296231,0.07703769
00322,0.89098489,0.10901511
00323,0.87287927,0.12712073
00324,0.93461180,0.06538820
00325,0.99249798,0.00750202
00326,0.88957673,0.11042327
00327,0.93183887,0.06816113
00328,0.87838018,0.12161982
00329,0.72581410,0.27418590
00330,0.73995882,0.26004118
00331,0.81384909,0.18615091
00332,0.80551869,0.19448131
00333,0.85002029,0.14997971
00334,0.86254108,0.13745892
00335,0.89320409,0.10679591
00336,0.82638854,0.17361146
00337,0.84230024,0.15769976
00338,0.85287714,0.14712286
00339,0.95647204,0.04352796
00340,0.96068996,0.03931004
00341,0.94899869,0.05100131
00342,0.93765187,0.06234813
00343,0.97175407,0.02824593
00344,0.81749332,0.18250668
00345,0.79875171,0.20124829
00346,0.85416061,0.14583939
00347,0.83897054,0.16102946
00348,0.92522037,0.07477963
00349,0.91415870,0.08584130
00350,0.76230901,0.23769099
00351,0.89336395,0.10663605
00352,0.90152979,0.09847021
00353,0.91152638,0.08847362
00354,0.91087031,0.08912969
00355,0.85015225,0.14984775
00356,0.93222654,0.06777346
00357,0.89052039,0.10947961
00358,0.94771177,0.05228823
00359,0.89825761,0.10174239
00360,0.98511720,0.01488280
00361,0.87006789,0.12993211
00362,0.87125421,0.12874579
00363,0.85042524,0.14957476
00364,0.95433712,0.04566288
00365,0.81723493,0.18276507
00366,0.79228663,0.20771337
00367,0.93787491,0.06212509
00368,0.78201199,0.21798801
00369,0.75469494,0.24530506
00370,0.82294828,0.17705172
00371,0.87340176,0.12659824
00372,0.81022191,0.18977809
00373,0.87926567,0.12073433
00374,0.75139987,0.24860013
00375,0.84314179,0.15685821
00376,0.95370752,0.04629248
00377,0.93215156,0.06784844
00378,0.90128183,0.09871817
00379,0.99314857,0.00685143
00380,0.94082046,0.05917954
00381,0.99436378,0.00563622
00382,0.93882942,0.06117058
00383,0.90203333,0.09796667
00384,0.97620386,0.02379614
00385,0.96097398,0.03902602
00386,0.93420219,0.06579781
00387,0.84732306,0.15267694
00388,0.75292152,0.24707848
00389,0.86083436,0.13916564
00390,0.94428474,0.05571526
00391,0.89586365,0.10413635
00392,0.80354142,0.19645858
00393,0.84611249,0.15388751
00394,0.83253771,0.16746229
00395,0.86368084,0.13631916
00396,0.84882343,0.15117657
00397,0.93962896,0.06037104
00398,0.93511182,0.06488818
00399,0.76704681,0.23295319
00400,0.92255622,0.07744378
00401,0.92974073,0.07025927
00402,0.89701021,0.10298979
00403,0.96194357,0.03805643
00404,0.93317294,0.06682706
00405,0.92543930,0.07456070
00406,0.96122026,0.03877974
00407,0.92579257,0.07420743
00408,0.97638112,0.02361888
00409,0.96778905,0.03221095
00410,0.91437399,0.08562601
00411,0.99111015,0.00888985
00412,0.87454945,0.12545055
00413,0.96503431,0.03496569
