pair_id,cos_sim,cos_dist
00000,0.90475214,0.09524786
00001,0.93903887,0.06096113
00002,0.94899845,0.05100155
00003,0.88994235,0.11005765
00004,0.97848374,0.02151626
00005,0.98705006,0.01294994
00006,0.93512499,0.06487501
00007,0.85383368,0.14616632
00008,0.83560705,0.16439295
00009,0.77507770,0.22492230
00010,0.89654094,0.10345906
00011,0.88939911,0.11060089
00012,0.89320004,0.10679996
00013,0.93514109,0.06485891
00014,0.89331818,0.10668182
00015,0.93762726,0.06237274
00016,0.98872203,0.01127797
00017,0.86212993,0.13787007
00018,0.95883107,0.04116893
00019,0.99184477,0.00815523
00020,0.98105448,0.01894552
00021,0.93756205,0.06243795
00022,0.91781032,0.08218968
00023,0.97510993,0.02489007
00024,0.97114885,0.02885115
00025,0.89746225,0.10253775
00026,0.95392621,0.04607379
00027,0.91926336,0.08073664
00028,0.96271950,0.03728050
00029,0.97481859,0.02518141
00030,0.96687096,0.03312904
00031,0.95638657,0.04361343
00032,0.95528132,0.04471868
00033,0.95491624,0.04508376
00034,0.97041827,0.02958173
00035,0.75845289,0.24154711
00036,0.95519322,0.04480678
00037,0.94518983,0.05481017
00038,0.91716576,0.08283424
00039,0.93952537,0.06047463
00040,0.87684011,0.12315989
00041,0.90683049,0.09316951
00042,0.95058125,0.04941875
00043,0.99302173,0.00697827
00044,0.89468318,0.10531682
00045,0.99185503,0.00814497
00046,0.97178364,0.02821636
00047,0.96325135,0.03674865
00048,0.97173840,0.02826160
00049,0.97374320,0.02625680
00050,0.98381966,0.01618034
00051,0.96354669,0.03645331
00052,0.88593245,0.11406755
00053,0.93569905,0.06430095
00054,0.91524726,0.08475274
00055,0.90771717,0.09228283
00056,0.88595992,0.11404008
00057,0.95871615,0.04128385
00058,0.90485895,0.09514105
00059,0.95967305,0.04032695
00060,0.93957680,0.06042320
00061,0.90451217,0.09548783
00062,0.88098943,0.11901057
00063,0.97725970,0.02274030
00064,0.89686209,0.10313791
00065,0.88524163,0.11475837
00066,0.86587787,0.13412213
00067,0.94609731,0.05390269
00068,0.93954784,0.06045216
00069,0.94908679,0.05091321
00070,0.93107951,0.06892049
00071,0.97960132,0.02039868
00072,0.99223679,0.00776321
00073,0.98372966,0.01627034
00074,0.94842577,0.05157423
00075,0.95166892,0.04833108
00076,0.97761744,0.02238256
00077,0.92666852,0.07333148
00078,0.94665980,0.05334020
00079,0.94488519,0.05511481
00080,0.93128890,0.06871110
00081,0.90224624,0.09775376
00082,0.99062669,0.00937331
00083,0.91421592,0.08578408
00084,0.91704214,0.08295786
00085,0.85753030,0.14246970
00086,0.97931492,0.02068508
00087,0.93081731,0.06918269
00088,0.94969529,0.05030471
00089,0.97408319,0.02591681
00090,0.94672561,0.05327439
00091,0.99058288,0.00941712
00092,0.89122844,0.10877156
00093,0.94830108,0.05169892
00094,0.89601988,0.10398012
00095,0.91022229,0.08977771
00096,0.98435980,0.01564020
00097,0.87517130,0.12482870
00098,0.88980627,0.11019373
00099,0.91594124,0.08405876
00100,0.94236213,0.05763787
00101,0.91692287,0.08307713
00102,0.96202534,0.03797466
00103,0.96449012,0.03550988
00104,0.91023821,0.08976179
00105,0.91953552,0.08046448
00106,0.94836241,0.05163759
00107,0.89857686,0.10142314
00108,0.98139524,0.01860476
00109,0.92199433,0.07800567
00110,0.99261123,0.00738877
00111,0.97003061,0.02996939
00112,0.95417494,0.04582506
00113,0.89316374,0.10683626
00114,0.94031000,0.05969000
00115,0.96805048,0.03194952
00116,0.92808461,0.07191539
00117,0.91833633,0.08166367
00118,0.95626259,0.04373741
00119,0.94413555,0.05586445
00120,0.81297696,0.18702304
00121,0.74244869,0.25755131
00122,0.78712398,0.21287602
00123,0.85514367,0.14485633
00124,0.93285227,0.06714773
00125,0.97779328,0.02220672
00126,0.73584926,0.26415074
00127,0.96959293,0.03040707
00128,0.87405622,0.12594378
00129,0.96956927,0.03043073
00130,0.83580106,0.16419894
00131,0.89333105,0.10666895
00132,0.83100641,0.16899359
00133,0.82951301,0.17048699
00134,0.96688163,0.03311837
00135,0.92408884,0.07591116
00136,0.78066218,0.21933782
00137,0.77011681,0.22988319
00138,0.73415315,0.26584685
00139,0.69703287,0.30296713
00140,0.78841287,0.21158713
00141,0.96249461,0.03750539
00142,0.95125085,0.04874915
00143,0.96028572,0.03971428
00144,0.95245016,0.04754984
00145,0.97062200,0.02937800
00146,0.98551232,0.01448768
00147,0.98644757,0.01355243
00148,0.89676642,0.10323358
00149,0.91174746,0.08825254
00150,0.95381433,0.04618567
00151,0.93200541,0.06799459
00152,0.98276323,0.01723677
00153,0.93338484,0.06661516
00154,0.94735622,0.05264378
00155,0.98505813,0.01494187
00156,0.95886964,0.04113036
00157,0.94767046,0.05232954
00158,0.97747916,0.02252084
00159,0.97293788,0.02706212
00160,0.96110106,0.03889894
00161,0.94578695,0.05421305
00162,0.84802520,0.15197480
00163,0.90185362,0.09814638
00164,0.88612884,0.11387116
00165,0.91822284,0.08177716
00166,0.90834337,0.09165663
00167,0.90884334,0.09115666
00168,0.85630780,0.14369220
00169,0.89808834,0.10191166
00170,0.88488007,0.11511993
00171,0.87817430,0.12182570
00172,0.94927329,0.05072671
00173,0.94196796,0.05803204
00174,0.88551027,0.11448973
00175,0.93582630,0.06417370
00176,0.92650962,0.07349038
00177,0.93351346,0.06648654
00178,0.90396559,0.09603441
00179,0.79037684,0.20962316
00180,0.78129321,0.21870679
00181,0.88231313,0.11768687
00182,0.83685619,0.16314381
00183,0.87628603,0.12371397
00184,0.87140226,0.12859774
00185,0.92316073,0.07683927
00186,0.91577560,0.08422440
00187,0.92710125,0.07289875
00188,0.95724887,0.04275113
00189,0.91824400,0.08175600
00190,0.91202551,0.08797449
00191,0.87303007,0.12696993
00192,0.84359908,0.15640092
00193,0.98670709,0.01329291
00194,0.90952826,0.09047174
00195,0.92605627,0.07394373
00196,0.94611281,0.05388719
00197,0.94784290,0.05215710
00198,0.91824448,0.08175552
00199,0.89681017,0.10318983
00200,0.90334934,0.09665066
00201,0.96544051,0.03455949
00202,0.93391806,0.06608194
00203,0.94632041,0.05367959
00204,0.89178270,0.10821730
00205,0.93536472,0.06463528
00206,0.89405006,0.10594994
00207,0.94367379,0.05632621
00208,0.87255913,0.12744087
00209,0.93169713,0.06830287
00210,0.91198725,0.08801275
00211,0.91679120,0.08320880
00212,0.93655962,0.06344038
00213,0.99183035,0.00816965
00214,0.88980472,0.11019528
00215,0.90707290,0.09292710
00216,0.75393158,0.24606842
00217,0.77401382,0.22598618
00218,0.95869178,0.04130822
00219,0.98001611,0.01998389
00220,0.93464273,0.06535727
00221,0.98334312,0.01665688
00222,0.95010453,0.04989547
00223,0.95072544,0.04927456
00224,0.95192677,0.04807323
00225,0.85721856,0.14278144
00226,0.88897574,0.11102426
00227,0.89132220,0.10867780
00228,0.94229192,0.05770808
00229,0.94242930,0.05757070
00230,0.88440979,0.11559021
00231,0.88228798,0.11771202
00232,0.94279176,0.05720824
00233,0.89522332,0.10477668
00234,0.76866257,0.23133743
00235,0.78489381,0.21510619
00236,0.92312795,0.07687205
00237,0.99346292,0.00653708
00238,0.94736201,0.05263799
00239,0.97635567,0.02364433
00240,0.98665673,0.01334327
00241,0.95919365,0.04080635
00242,0.97922027,0.02077973
00243,0.87363869,0.12636131
00244,0.90243381,0.09756619
00245,0.92424262,0.07575738
00246,0.94466448,0.05533552
00247,0.97734475,0.02265525
00248,0.97976744,0.02023256
00249,0.96862650,0.03137350
00250,0.89648616,0.10351384
00251,0.89721262,0.10278738
00252,0.93331468,0.06668532
