pair_id,cos_sim,cos_dist
00000,0.78472650,0.21527350
00001,0.73546505,0.26453495
00002,0.84903294,0.15096706
00003,0.78253978,0.21746022
00004,0.96981031,0.03018969
00005,0.97326809,0.02673191
00006,0.88199455,0.11800545
00007,0.49942252,0.50057748
00008,0.51692814,0.48307186
00009,0.61172897,0.38827103
00010,0.64223444,0.35776556
00011,0.94505560,0.05494440
00012,0.86290568,0.13709432
00013,0.85970163,0.14029837
00014,0.85371524,0.14628476
00015,0.92207998,0.07792002
00016,0.96529543,0.03470457
00017,0.84136325,0.15863675
00018,0.94390535,0.05609465
00019,0.97754323,0.02245677
00020,0.96051395,0.03948605
00021,0.94734913,0.05265087
00022,0.70318389,0.29681611
00023,0.94400811,0.05599189
00024,0.93507296,0.06492704
00025,0.88888943,0.11111057
00026,0.89020848,0.10979152
00027,0.89935398,0.10064602
00028,0.87043005,0.12956995
00029,0.91586894,0.08413106
00030,0.92126787,0.07873213
00031,0.96557099,0.03442901
00032,0.94503713,0.05496287
00033,0.94821578,0.05178422
00034,0.94520342,0.05479658
00035,0.70470858,0.29529142
00036,0.96495026,0.03504974
00037,0.95290130,0.04709870
00038,0.89590466,0.10409534
00039,0.95081985,0.04918015
00040,0.79898226,0.20101774
00041,0.66483039,0.33516961
00042,0.93517470,0.06482530
00043,0.98002005,0.01997995
00044,0.70453006,0.29546994
00045,0.98205984,0.01794016
00046,0.95592362,0.04407638
00047,0.96584630,0.03415370
00048,0.96771604,0.03228396
00049,0.98407406,0.01592594
00050,0.97668827,0.02331173
00051,0.94102037,0.05897963
00052,0.87356013,0.12643987
00053,0.86767370,0.13232630
00054,0.82255173,0.17744827
00055,0.89386928,0.10613072
00056,0.87216997,0.12783003
00057,0.82260722,0.17739278
00058,0.73266649,0.26733351
00059,0.91787708,0.08212292
00060,0.89405769,0.10594231
00061,0.59971023,0.40028977
00062,0.80720234,0.19279766
00063,0.78479648,0.21520352
00064,0.65306914,0.34693086
00065,0.63734019,0.36265981
00066,0.82179880,0.17820120
00067,0.93955570,0.06044430
00068,0.94425601,0.05574399
00069,0.93534487,0.06465513
00070,0.94082868,0.05917132
00071,0.96281815,0.03718185
00072,0.98216808,0.01783192
00073,0.96578604,0.03421396
00074,0.92810792,0.07189208
00075,0.89211434,0.10788566
00076,0.96254468,0.03745532
00077,0.92361057,0.07638943
00078,0.84418631,0.15581369
00079,0.88278461,0.11721539
00080,0.84236956,0.15763044
00081,0.81678218,0.18321782
00082,0.96534836,0.03465164
00083,0.91147017,0.08852983
00084,0.87669849,0.12330151
00085,0.83179635,0.16820365
00086,0.96319133,0.03680867
00087,0.88305628,0.11694372
00088,0.88414037,0.11585963
00089,0.76247507,0.23752493
00090,0.94095778,0.05904222
00091,0.97193515,0.02806485
00092,0.69573623,0.30426377
00093,0.94977474,0.05022526
00094,0.61193383,0.38806617
00095,0.76824677,0.23175323
00096,0.78015006,0.21984994
00097,0.45388594,0.54611406
00098,0.59466511,0.40533489
00099,0.60947353,0.39052647
00100,0.88124615,0.11875385
00101,0.68528974,0.31471026
00102,0.92785686,0.07214314
00103,0.93646908,0.06353092
00104,0.52789545,0.47210455
00105,0.80318677,0.19681323
00106,0.93999428,0.06000572
00107,0.69106346,0.30893654
00108,0.87567747,0.12432253
00109,0.92347288,0.07652712
00110,0.98576492,0.01423508
00111,0.94204056,0.05795944
00112,0.84336895,0.15663105
00113,0.93200898,0.06799102
00114,0.88922238,0.11077762
00115,0.94013292,0.05986708
00116,0.77109587,0.22890413
00117,0.78433943,0.21566057
00118,0.86343873,0.13656127
00119,0.78035945,0.21964055
00120,0.50053167,0.49946833
00121,0.57039964,0.42960036
00122,0.63406813,0.36593187
00123,0.33931947,0.66068053
00124,0.93207687,0.06792313
00125,0.95452660,0.04547340
00126,0.46541512,0.53458488
00127,0.92251909,0.07748091
00128,0.65837371,0.34162629
00129,0.91588235,0.08411765
00130,0.72775096,0.27224904
00131,0.73245388,0.26754612
00132,0.76915264,0.23084736
00133,0.54159993,0.45840007
00134,0.93162292,0.06837708
00135,0.67300123,0.32699877
00136,0.55092907,0.44907093
00137,0.52353120,0.47646880
00138,0.53698623,0.46301377
00139,0.52141225,0.47858775
00140,0.62696618,0.37303382
00141,0.92675620,0.07324380
00142,0.89760387,0.10239613
00143,0.93922353,0.06077647
00144,0.77880454,0.22119546
00145,0.73724580,0.26275420
00146,0.95393413,0.04606587
00147,0.94787323,0.05212677
00148,0.74928260,0.25071740
00149,0.86603361,0.13396639
00150,0.78755140,0.21244860
00151,0.94968951,0.05031049
00152,0.97692299,0.02307701
00153,0.96732849,0.03267151
00154,0.83816612,0.16183388
00155,0.97538257,0.02461743
00156,0.82366109,0.17633891
00157,0.82755768,0.17244232
00158,0.89492381,0.10507619
00159,0.96449584,0.03550416
00160,0.88032544,0.11967456
00161,0.72251374,0.27748626
00162,0.72108960,0.27891040
00163,0.68248886,0.31751114
00164,0.89376789,0.10623211
00165,0.67098409,0.32901591
00166,0.74266607,0.25733393
00167,0.74501169,0.25498831
00168,0.65375501,0.34624499
00169,0.80446088,0.19553912
00170,0.84731823,0.15268177
00171,0.74659109,0.25340891
00172,0.92459363,0.07540637
00173,0.90204084,0.09795916
00174,0.50930160,0.49069840
00175,0.90658808,0.09341192
00176,0.55218071,0.44781929
00177,0.91461086,0.08538914
00178,0.74253654,0.25746346
00179,0.38281226,0.61718774
00180,0.69482434,0.30517566
00181,0.76801413,0.23198587
00182,0.35734347,0.64265653
00183,0.43694633,0.56305367
00184,0.72319013,0.27680987
00185,0.77918631,0.22081369
00186,0.81723601,0.18276399
00187,0.73524696,0.26475304
00188,0.87257802,0.12742198
00189,0.91426319,0.08573681
00190,0.85177022,0.14822978
00191,0.85375768,0.14624232
00192,0.77573925,0.22426075
00193,0.97975898,0.02024102
00194,0.82333022,0.17666978
00195,0.88980073,0.11019927
00196,0.90121168,0.09878832
00197,0.77080739,0.22919261
00198,0.78397590,0.21602410
00199,0.70377016,0.29622984
00200,0.82599378,0.17400622
00201,0.87635213,0.12364787
00202,0.72995561,0.27004439
00203,0.80165166,0.19834834
00204,0.78804773,0.21195227
00205,0.84024286,0.15975714
00206,0.89651644,0.10348356
00207,0.84064484,0.15935516
00208,0.75599241,0.24400759
00209,0.72736692,0.27263308
00210,0.83180094,0.16819906
00211,0.80968112,0.19031888
00212,0.78146362,0.21853638
00213,0.97997689,0.02002311
00214,0.79748088,0.20251912
00215,0.79246855,0.20753145
00216,0.66970646,0.33029354
00217,0.60245645,0.39754355
00218,0.94727069,0.05272931
00219,0.97040832,0.02959168
00220,0.76219982,0.23780018
00221,0.96762455,0.03237545
00222,0.87186122,0.12813878
00223,0.86563790,0.13436210
00224,0.86069226,0.13930774
00225,0.68166661,0.31833339
00226,0.53585887,0.46414113
00227,0.52476823,0.47523177
00228,0.69483352,0.30516648
00229,0.57352132,0.42647868
00230,0.76980698,0.23019302
00231,0.56300545,0.43699455
00232,0.56574827,0.43425173
00233,0.78295499,0.21704501
00234,0.54902452,0.45097548
00235,0.50519371,0.49480629
00236,0.85600293,0.14399707
00237,0.98301166,0.01698834
00238,0.90234214,0.09765786
00239,0.93693113,0.06306887
00240,0.94204962,0.05795038
00241,0.91517645,0.08482355
00242,0.92913508,0.07086492
00243,0.89043915,0.10956085
00244,0.74130136,0.25869864
00245,0.76788914,0.23211086
00246,0.75916249,0.24083751
00247,0.94820112,0.05179888
00248,0.96811253,0.03188747
00249,0.89652610,0.10347390
00250,0.55842918,0.44157082
00251,0.57356435,0.42643565
00252,0.55218339,0.44781661
00253,0.60238713,0.39761287
00254,0.88687992,0.11312008
00255,0.55342162,0.44657838
00256,0.90204006,0.09795994
00257,0.72499490,0.27500510
00258,0.66899931,0.33100069
00259,0.38371921,0.61628079
00260,0.49967477,0.50032523
00261,0.69057065,0.30942935
00262,0.69420141,0.30579859
00263,0.58525383,0.41474617
00264,0.96944433,0.03055567
00265,0.64714003,0.35285997
00266,0.92157173,0.07842827
00267,0.64355218,0.35644782
00268,0.93327570,0.06672430
00269,0.84844279,0.15155721
