pair_id,cos_sim,cos_dist
00000,0.77760625,0.22239375
00001,0.73347002,0.26652998
00002,0.93883592,0.06116408
00003,0.78065217,0.21934783
00004,0.97647172,0.02352828
00005,0.95475292,0.04524708
00006,0.91933733,0.08066267
00007,0.50260824,0.49739176
00008,0.68911332,0.31088668
00009,0.75534683,0.24465317
00010,0.80270737,0.19729263
00011,0.94881397,0.05118603
00012,0.81247544,0.18752456
00013,0.83768702,0.16231298
00014,0.88671786,0.11328214
00015,0.83560646,0.16439354
00016,0.97542763,0.02457237
00017,0.79067314,0.20932686
00018,0.94571233,0.05428767
00019,0.97784859,0.02215141
00020,0.95928580,0.04071420
00021,0.91044229,0.08955771
00022,0.83087128,0.16912872
00023,0.94697988,0.05302012
00024,0.92940068,0.07059932
00025,0.83747810,0.16252190
00026,0.90496653,0.09503347
00027,0.83787280,0.16212720
00028,0.86777329,0.13222671
00029,0.93833762,0.06166238
00030,0.86069119,0.13930881
00031,0.94607449,0.05392551
00032,0.87435937,0.12564063
00033,0.85529548,0.14470452
00034,0.90789008,0.09210992
00035,0.67756605,0.32243395
00036,0.95553470,0.04446530
00037,0.91948265,0.08051735
00038,0.85541421,0.14458579
00039,0.92391801,0.07608199
00040,0.77463651,0.22536349
00041,0.64624262,0.35375738
00042,0.89079106,0.10920894
00043,0.97915429,0.02084571
00044,0.52980793,0.47019207
00045,0.98801184,0.01198816
00046,0.95492220,0.04507780
00047,0.94128156,0.05871844
00048,0.96702820,0.03297180
00049,0.96264708,0.03735292
00050,0.97205400,0.02794600
00051,0.96186960,0.03813040
00052,0.85553074,0.14446926
00053,0.92233527,0.07766473
00054,0.80016673,0.19983327
00055,0.80956519,0.19043481
00056,0.87133092,0.12866908
00057,0.78912455,0.21087545
00058,0.74301618,0.25698382
00059,0.91836780,0.08163220
00060,0.92152834,0.07847166
00061,0.68077916,0.31922084
00062,0.73924714,0.26075286
00063,0.63706434,0.36293566
00064,0.55673188,0.44326812
00065,0.59740478,0.40259522
00066,0.70095974,0.29904026
00067,0.92481607,0.07518393
00068,0.95083559,0.04916441
00069,0.95362657,0.04637343
00070,0.95897186,0.04102814
00071,0.97589046,0.02410954
00072,0.97087014,0.02912986
00073,0.96752280,0.03247720
00074,0.90054750,0.09945250
00075,0.84728974,0.15271026
00076,0.94815236,0.05184764
00077,0.87210643,0.12789357
00078,0.87105322,0.12894678
00079,0.85529101,0.14470899
00080,0.80029607,0.19970393
00081,0.76117605,0.23882395
00082,0.97177303,0.02822697
00083,0.77444208,0.22555792
00084,0.73848224,0.26151776
00085,0.75144786,0.24855214
00086,0.97054738,0.02945262
00087,0.78010815,0.21989185
00088,0.90843177,0.09156823
00089,0.71570611,0.28429389
00090,0.89945972,0.10054028
00091,0.95460969,0.04539031
00092,0.71889895,0.28110105
00093,0.93837118,0.06162882
00094,0.68285406,0.31714594
00095,0.76245511,0.23754489
00096,0.77250499,0.22749501
00097,0.54390347,0.45609653
00098,0.61817586,0.38182414
00099,0.72481209,0.27518791
00100,0.89948040,0.10051960
00101,0.72149348,0.27850652
00102,0.93207556,0.06792444
00103,0.95053250,0.04946750
00104,0.66360277,0.33639723
00105,0.76281369,0.23718631
00106,0.93343222,0.06656778
00107,0.68506807,0.31493193
00108,0.93014693,0.06985307
00109,0.90489417,0.09510583
00110,0.98863220,0.01136780
00111,0.91348088,0.08651912
00112,0.89285934,0.10714066
00113,0.82828784,0.17171216
00114,0.93747294,0.06252706
00115,0.91290563,0.08709437
00116,0.81583482,0.18416518
00117,0.82393652,0.17606348
00118,0.89513129,0.10486871
00119,0.74783909,0.25216091
00120,0.28813875,0.71186125
00121,0.54098803,0.45901197
00122,0.49607986,0.50392014
00123,0.48546365,0.51453635
00124,0.89870471,0.10129529
00125,0.96195424,0.03804576
00126,0.41953063,0.58046937
00127,0.93592572,0.06407428
00128,0.72843993,0.27156007
00129,0.93469995,0.06530005
00130,0.71904808,0.28095192
00131,0.71252507,0.28747493
00132,0.79553246,0.20446754
00133,0.47155714,0.52844286
00134,0.90000510,0.09999490
00135,0.65067357,0.34932643
00136,0.61951578,0.38048422
00137,0.56177086,0.43822914
00138,0.78730470,0.21269530
00139,0.70088637,0.29911363
00140,0.64244998,0.35755002
00141,0.92265147,0.07734853
00142,0.88474119,0.11525881
00143,0.88663501,0.11336499
00144,0.80457902,0.19542098
00145,0.83457053,0.16542947
00146,0.96817541,0.03182459
00147,0.95732886,0.04267114
00148,0.75625873,0.24374127
00149,0.91356683,0.08643317
00150,0.81639916,0.18360084
00151,0.89197922,0.10802078
00152,0.97057641,0.02942359
00153,0.92918062,0.07081938
00154,0.70930248,0.29069752
00155,0.97032630,0.02967370
00156,0.68606377,0.31393623
00157,0.84424853,0.15575147
00158,0.92808008,0.07191992
00159,0.96237427,0.03762573
00160,0.85271025,0.14728975
00161,0.75953746,0.24046254
00162,0.63761699,0.36238301
00163,0.65513152,0.34486848
00164,0.72337854,0.27662146
