pair_id,cos_sim,cos_dist
00000,0.81560373,0.18439627
00001,0.79409677,0.20590323
00002,0.84330273,0.15669727
00003,0.82269597,0.17730403
00004,0.97068745,0.02931255
00005,0.97609836,0.02390164
00006,0.87824857,0.12175143
00007,0.52618808,0.47381192
00008,0.56663346,0.43336654
00009,0.74505109,0.25494891
00010,0.65085262,0.34914738
00011,0.92478138,0.07521862
00012,0.69348401,0.30651599
00013,0.87587196,0.12412804
00014,0.89240944,0.10759056
00015,0.81788051,0.18211949
00016,0.97664064,0.02335936
00017,0.76365417,0.23634583
00018,0.95347768,0.04652232
00019,0.98636281,0.01363719
00020,0.95778936,0.04221064
00021,0.95829976,0.04170024
00022,0.65796846,0.34203154
00023,0.89392227,0.10607773
00024,0.78103578,0.21896422
00025,0.81570268,0.18429732
00026,0.84377635,0.15622365
00027,0.91886401,0.08113599
00028,0.93731272,0.06268728
00029,0.96371990,0.03628010
00030,0.92731071,0.07268929
00031,0.92047650,0.07952350
00032,0.85228801,0.14771199
00033,0.82589114,0.17410886
00034,0.94580209,0.05419791
00035,0.43209052,0.56790948
00036,0.91259325,0.08740675
00037,0.90304333,0.09695667
00038,0.80594206,0.19405794
00039,0.90042686,0.09957314
00040,0.84226888,0.15773112
00041,0.79623276,0.20376724
00042,0.84189850,0.15810150
00043,0.97120911,0.02879089
00044,0.84749728,0.15250272
00045,0.98976302,0.01023698
00046,0.97597873,0.02402127
00047,0.98408169,0.01591831
00048,0.98650414,0.01349586
00049,0.98981261,0.01018739
00050,0.98915821,0.01084179
00051,0.95220518,0.04779482
00052,0.81557631,0.18442369
00053,0.93917358,0.06082642
00054,0.82598567,0.17401433
00055,0.83878142,0.16121858
00056,0.82156110,0.17843890
00057,0.75048149,0.24951851
00058,0.62202537,0.37797463
00059,0.89589864,0.10410136
00060,0.84380150,0.15619850
00061,0.74432045,0.25567955
00062,0.84016073,0.15983927
00063,0.89992368,0.10007632
00064,0.66654950,0.33345050
00065,0.47521457,0.52478543
00066,0.71721911,0.28278089
00067,0.91861457,0.08138543
00068,0.95249391,0.04750609
00069,0.94594526,0.05405474
00070,0.94648588,0.05351412
00071,0.95532531,0.04467469
00072,0.97797388,0.02202612
00073,0.95830244,0.04169756
00074,0.94597656,0.05402344
00075,0.92306381,0.07693619
00076,0.91415089,0.08584911
00077,0.95106101,0.04893899
00078,0.76354849,0.23645151
00079,0.94475806,0.05524194
00080,0.87129933,0.12870067
00081,0.46932912,0.53067088
00082,0.97340000,0.02660000
00083,0.65475959,0.34524041
00084,0.63117743,0.36882257
00085,0.45554590,0.54445410
00086,0.95481402,0.04518598
00087,0.70458692,0.29541308
00088,0.89963979,0.10036021
00089,0.85583419,0.14416581
00090,0.93792027,0.06207973
00091,0.97999561,0.02000439
00092,0.61154962,0.38845038
00093,0.92828214,0.07171786
00094,0.77609658,0.22390342
00095,0.84353101,0.15646899
00096,0.91971099,0.08028901
00097,0.63147628,0.36852372
00098,0.85368747,0.14631253
00099,0.69984347,0.30015653
00100,0.95177323,0.04822677
00101,0.75656235,0.24343765
00102,0.94028115,0.05971885
00103,0.89541060,0.10458940
00104,0.65209204,0.34790796
00105,0.70332170,0.29667830
00106,0.94647872,0.05352128
00107,0.65474129,0.34525871
00108,0.86921072,0.13078928
00109,0.91090721,0.08909279
00110,0.99129552,0.00870448
00111,0.97530359,0.02469641
00112,0.74932182,0.25067818
00113,0.75886726,0.24113274
00114,0.91798437,0.08201563
00115,0.96013600,0.03986400
00116,0.74605060,0.25394940
00117,0.39815688,0.60184312
00118,0.88312674,0.11687326
00119,0.60369658,0.39630342
00120,0.21443938,0.78556062
00121,0.31301084,0.68698916
00122,0.74309093,0.25690907
