pair_id,cos_sim,cos_dist
00000,0.99881023,0.00118977
00001,0.99906594,0.00093406
00002,0.99894953,0.00105047
00003,0.99697006,0.00302994
00004,0.99896061,0.00103939
00005,0.99987209,0.00012791
00006,0.99927604,0.00072396
00007,0.99876964,0.00123036
00008,0.99871093,0.00128907
00009,0.99726546,0.00273454
00010,0.99940276,0.00059724
00011,0.99946427,0.00053573
00012,0.99865276,0.00134724
00013,0.99920303,0.00079697
00014,0.99945527,0.00054473
00015,0.99928105,0.00071895
00016,0.99979430,0.00020570
00017,0.99889553,0.00110447
00018,0.99951714,0.00048286
00019,0.99976695,0.00023305
00020,0.99937755,0.00062245
00021,0.99910730,0.00089270
00022,0.99960977,0.00039023
00023,0.99970603,0.00029397
00024,0.99915725,0.00084275
00025,0.99915278,0.00084722
00026,0.99941576,0.00058424
00027,0.99887788,0.00112212
00028,0.99941105,0.00058895
00029,0.99967825,0.00032175
00030,0.99912071,0.00087929
00031,0.99944925,0.00055075
00032,0.99869627,0.00130373
00033,0.99879694,0.00120306
00034,0.99958479,0.00041521
00035,0.99620360,0.00379640
00036,0.99963802,0.00036198
00037,0.99936050,0.00063950
00038,0.99874562,0.00125438
00039,0.99944162,0.00055838
00040,0.99739009,0.00260991
00041,0.99836338,0.00163662
00042,0.99831772,0.00168228
00043,0.99989569,0.00010431
00044,0.99819052,0.00180948
00045,0.99990553,0.00009447
00046,0.99936706,0.00063294
00047,0.99907666,0.00092334
00048,0.99946207,0.00053793
00049,0.99915975,0.00084025
00050,0.99964756,0.00035244
00051,0.99956357,0.00043643
00052,0.99806029,0.00193971
00053,0.99872333,0.00127667
00054,0.99753803,0.00246197
00055,0.99881458,0.00118542
00056,0.99742800,0.00257200
00057,0.99799186,0.00200814
00058,0.99870187,0.00129813
00059,0.99807405,0.00192595
00060,0.99931848,0.00068152
00061,0.99761224,0.00238776
00062,0.99792749,0.00207251
00063,0.99936646,0.00063354
00064,0.99657327,0.00342673
00065,0.99731147,0.00268853
00066,0.99840748,0.00159252
00067,0.99925667,0.00074333
00068,0.99945039,0.00054961
00069,0.99585134,0.00414866
00070,0.99947721,0.00052279
00071,0.99897945,0.00102055
00072,0.99984354,0.00015646
00073,0.99910080,0.00089920
00074,0.99939018,0.00060982
00075,0.99689758,0.00310242
00076,0.99860740,0.00139260
00077,0.99810928,0.00189072
00078,0.99653804,0.00346196
00079,0.99645525,0.00354475
00080,0.99841684,0.00158316
00081,0.99843532,0.00156468
00082,0.99974865,0.00025135
00083,0.99846661,0.00153339
00084,0.99856174,0.00143826
00085,0.99842483,0.00157517
00086,0.99941498,0.00058502
00087,0.99858439,0.00141561
00088,0.99916714,0.00083286
00089,0.99946094,0.00053906
00090,0.99937361,0.00062639
00091,0.99987972,0.00012028
00092,0.99885660,0.00114340
00093,0.99904054,0.00095946
00094,0.99792600,0.00207400
00095,0.99936068,0.00063932
00096,0.99955422,0.00044578
00097,0.99562466,0.00437534
00098,0.99537504,0.00462496
00099,0.99063218,0.00936782
00100,0.99732232,0.00267768
00101,0.99614376,0.00385624
00102,0.99931258,0.00068742
00103,0.99899191,0.00100809
00104,0.97996187,0.02003813
00105,0.99317044,0.00682956
00106,0.99927104,0.00072896
00107,0.99537957,0.00462043
00108,0.99933463,0.00066537
00109,0.99743313,0.00256687
00110,0.99989092,0.00010908
00111,0.99878091,0.00121909
00112,0.99963146,0.00036854
00113,0.99902534,0.00097466
00114,0.99947929,0.00052071
00115,0.99939895,0.00060105
00116,0.99685103,0.00314897
00117,0.99650210,0.00349790
00118,0.99922067,0.00077933
00119,0.99885625,0.00114375
00120,0.98942423,0.01057577
00121,0.99118757,0.00881243
00122,0.99710196,0.00289804
00123,0.99058318,0.00941682
00124,0.99937099,0.00062901
00125,0.99982357,0.00017643
00126,0.99415725,0.00584275
00127,0.99962091,0.00037909
00128,0.99882776,0.00117224
00129,0.99948525,0.00051475
00130,0.99657381,0.00342619
00131,0.99492723,0.00507277
00132,0.99841040,0.00158960
00133,0.99651182,0.00348818
00134,0.99900424,0.00099576
00135,0.99591213,0.00408787
00136,0.99778551,0.00221449
00137,0.99738461,0.00261539
00138,0.99520725,0.00479275
00139,0.99797022,0.00202978
00140,0.99778444,0.00221556
00141,0.99844831,0.00155169
00142,0.99851251,0.00148749
00143,0.99926162,0.00073838
00144,0.99525368,0.00474632
00145,0.99892563,0.00107437
00146,0.99964881,0.00035119
00147,0.99939418,0.00060582
00148,0.99619555,0.00380445
00149,0.99867386,0.00132614
00150,0.99557638,0.00442362
00151,0.99930334,0.00069666
00152,0.99986231,0.00013769
00153,0.99958253,0.00041747
00154,0.99878168,0.00121832
00155,0.99976617,0.00023383
00156,0.99858326,0.00141674
00157,0.99846643,0.00153357
00158,0.99914283,0.00085717
00159,0.99918652,0.00081348
00160,0.99780822,0.00219178
00161,0.99871510,0.00128490
00162,0.99903589,0.00096411
00163,0.99827892,0.00172108
00164,0.99752468,0.00247532
00165,0.99873805,0.00126195
00166,0.99876362,0.00123638
00167,0.99863869,0.00136131
00168,0.99889666,0.00110334
00169,0.99763823,0.00236177
00170,0.99868745,0.00131255
00171,0.99848777,0.00151223
00172,0.99929029,0.00070971
00173,0.99910939,0.00089061
00174,0.99804783,0.00195217
00175,0.99896574,0.00103426
00176,0.99841082,0.00158918
00177,0.99905354,0.00094646
00178,0.99514616,0.00485384
00179,0.99554425,0.00445575
00180,0.99776870,0.00223130
00181,0.99846601,0.00153399
00182,0.99466670,0.00533330
00183,0.99494898,0.00505102
00184,0.99889982,0.00110018
00185,0.99688226,0.00311774
00186,0.99771124,0.00228876
00187,0.99626541,0.00373459
00188,0.99953115,0.00046885
