pair_id,cos_sim,cos_dist
00000,0.97281182,0.02718818
00001,0.96725512,0.03274488
00002,0.97965604,0.02034396
00003,0.95179462,0.04820538
00004,0.99375772,0.00624228
00005,0.99630195,0.00369805
00006,0.98479271,0.01520729
00007,0.93458277,0.06541723
00008,0.91454184,0.08545816
00009,0.95713031,0.04286969
00010,0.95671344,0.04328656
00011,0.96697009,0.03302991
00012,0.97090656,0.02909344
00013,0.98028386,0.01971614
00014,0.97598708,0.02401292
00015,0.97824639,0.02175361
00016,0.99376190,0.00623810
00017,0.96913290,0.03086710
00018,0.98984712,0.01015288
00019,0.99672824,0.00327176
00020,0.98114526,0.01885474
00021,0.97361541,0.02638459
00022,0.95514333,0.04485667
00023,0.99184394,0.00815606
00024,0.97058624,0.02941376
00025,0.98148155,0.01851845
00026,0.98623598,0.01376402
00027,0.98135960,0.01864040
00028,0.97613335,0.02386665
00029,0.99126685,0.00873315
00030,0.98626405,0.01373595
00031,0.97010398,0.02989602
00032,0.95972717,0.04027283
00033,0.95943636,0.04056364
00034,0.99038327,0.00961673
00035,0.95722699,0.04277301
00036,0.96044815,0.03955185
00037,0.98470545,0.01529455
00038,0.97909147,0.02090853
00039,0.98478150,0.01521850
00040,0.97738683,0.02261317
00041,0.96137190,0.03862810
00042,0.98071241,0.01928759
00043,0.99816638,0.00183362
00044,0.96872288,0.03127712
00045,0.99855906,0.00144094
00046,0.98964798,0.01035202
00047,0.98715490,0.01284510
00048,0.99173105,0.00826895
00049,0.98794436,0.01205564
00050,0.99211019,0.00788981
00051,0.98266828,0.01733172
00052,0.96669173,0.03330827
00053,0.98738444,0.01261556
00054,0.97778964,0.02221036
00055,0.97542459,0.02457541
00056,0.97018349,0.02981651
00057,0.97928393,0.02071607
00058,0.97813129,0.02186871
00059,0.98834252,0.01165748
00060,0.98177779,0.01822221
00061,0.94718838,0.05281162
00062,0.97033334,0.02966666
00063,0.99493408,0.00506592
00064,0.91117829,0.08882171
00065,0.92822969,0.07177031
00066,0.97445154,0.02554846
00067,0.98757923,0.01242077
00068,0.98735470,0.01264530
00069,0.99274504,0.00725496
00070,0.98644000,0.01356000
00071,0.99451935,0.00548065
00072,0.99781477,0.00218523
00073,0.99069583,0.00930417
00074,0.98472744,0.01527256
00075,0.97713065,0.02286935
00076,0.98791528,0.01208472
00077,0.97195673,0.02804327
00078,0.97011614,0.02988386
00079,0.97401255,0.02598745
00080,0.98344815,0.01655185
