pair_id,strategy,detail
00000,pred_vs_pred,sample_000000_f06_sub_ck667|final_g10s50
00001,pred_vs_pred,sample_000000_f08_sub_ck667|final_g10s50
00002,pred_vs_pred,sample_000000_f00_sub_ck667|final_static
00003,pred_vs_pred,sample_000000_f12_final_g10s50|final_static
00004,pred_vs_pred,sample_000000_f01_sub_ck667|final_g10s50
00005,pred_vs_pred,sample_000000_f10_sub_ck667|sub_g25
00006,pred_vs_pred,sample_000000_f01_sub_ck667|final_static
00007,pred_vs_pred,sample_000001_f02_sub_g25|final_g10s50
00008,pred_vs_pred,sample_000001_f01_sub_g25|final_g10s50
00009,pred_vs_pred,sample_000001_f04_sub_ck667|final_static
00010,pred_vs_pred,sample_000001_f05_sub_ck667|sub_g25
00011,pred_vs_pred,sample_000001_f00_final_g10s50|final_static
00012,pred_vs_pred,sample_000002_f10_final_g10s50|final_static
00013,pred_vs_pred,sample_000002_f07_sub_ck667|final_g10s50
00014,pred_vs_pred,sample_000002_f14_sub_ck667|sub_g25
00015,pred_vs_pred,sample_000002_f10_sub_ck667|final_static
00016,pred_vs_pred,sample_000002_f03_sub_ck667|sub_g25
00017,pred_vs_pred,sample_000002_f06_final_g10s50|final_static
00018,pred_vs_pred,sample_000002_f03_sub_ck667|final_g10s50
00019,pred_vs_pred,sample_000003_f00_sub_g25|final_g10s50
00020,pred_vs_pred,sample_000003_f05_sub_ck667|sub_g25
00021,pred_vs_pred,sample_000003_f06_sub_ck667|final_static
00022,pred_vs_pred,sample_000003_f07_sub_ck667|final_g10s50
00023,pred_vs_pred,sample_000003_f02_sub_ck667|final_g10s50
00024,pred_vs_pred,sample_000003_f04_sub_g25|final_g10s50
00025,pred_vs_pred,sample_000004_f12_sub_g25|final_static
00026,pred_vs_pred,sample_000004_f08_sub_ck667|sub_g25
00027,pred_vs_pred,sample_000004_f03_final_g10s50|final_static
00028,pred_vs_pred,sample_000004_f14_sub_ck667|sub_g25
00029,pred_vs_pred,sample_000004_f05_sub_ck667|sub_g25
00030,pred_vs_pred,sample_000005_f08_sub_g25|final_g10s50
00031,pred_vs_pred,sample_000005_f00_sub_ck667|final_static
00032,pred_vs_pred,sample_000005_f03_sub_ck667|final_static
00033,pred_vs_pred,sample_000005_f10_sub_ck667|final_static
00034,pred_vs_pred,sample_000005_f04_sub_g25|final_g10s50
00035,pred_vs_pred,sample_000005_f12_sub_g25|final_static
00036,pred_vs_pred,sample_000005_f00_sub_g25|final_static
00037,pred_vs_pred,sample_000006_f05_sub_ck667|final_static
00038,pred_vs_pred,sample_000006_f15_final_g10s50|final_static
00039,pred_vs_pred,sample_000006_f14_sub_ck667|final_static
00040,pred_vs_pred,sample_000007_f06_sub_ck667|sub_g25
00041,pred_vs_pred,sample_000007_f12_sub_ck667|final_static
00042,pred_vs_pred,sample_000007_f07_sub_ck667|final_g10s50
00043,pred_vs_pred,sample_000007_f00_sub_ck667|final_g10s50
00044,pred_vs_pred,sample_000007_f08_sub_ck667|sub_g25
00045,pred_vs_pred,sample_000007_f00_final_g10s50|final_static
00046,pred_vs_pred,sample_000008_f06_sub_g25|final_g10s50
00047,pred_vs_pred,sample_000008_f11_sub_g25|final_g10s50
00048,pred_vs_pred,sample_000008_f10_sub_ck667|sub_g25
00049,pred_vs_pred,sample_000008_f14_sub_ck667|sub_g25
00050,pred_vs_pred,sample_000008_f06_sub_ck667|sub_g25
00051,pred_vs_pred,sample_000009_f01_sub_g25|final_static
00052,pred_vs_pred,sample_000009_f06_final_g10s50|final_static
00053,pred_vs_pred,sample_000009_f01_sub_g25|final_g10s50
00054,pred_vs_pred,sample_000009_f08_sub_g25|final_g10s50
00055,pred_vs_pred,sample_000009_f13_sub_ck667|final_static
00056,pred_vs_pred,sample_000009_f04_final_g10s50|final_static
00057,pred_vs_pred,sample_000010_f12_sub_ck667|final_g10s50
00058,pred_vs_pred,sample_000010_f07_sub_g25|final_static
00059,pred_vs_pred,sample_000010_f04_sub_g25|final_g10s50
00060,pred_vs_pred,sample_000010_f00_sub_ck667|final_static
00061,pred_vs_pred,sample_000011_f04_sub_ck667|sub_g25
00062,pred_vs_pred,sample_000011_f07_sub_g25|final_g10s50
00063,pred_vs_pred,sample_000011_f01_sub_ck667|final_g10s50
