pair_id,cos_sim,cos_dist
0000,0.89730406,0.10269594
0001,0.93174297,0.06825703
0002,0.98185921,0.01814079
0003,0.91674221,0.08325779
0004,0.98353028,0.01646972
0005,0.86044270,0.13955730
0006,0.92576838,0.07423162
0007,0.94869375,0.05130625
0008,0.86789453,0.13210547
0009,0.92533666,0.07466334
0010,0.85403740,0.14596260
0011,0.90700245,0.09299755
0012,0.81338525,0.18661475
0013,0.90052402,0.09947598
0014,0.85212481,0.14787519
0015,0.96850461,0.03149539
0016,0.80306596,0.19693404
0017,0.84837490,0.15162510
0018,0.94892728,0.05107272
0019,0.76532555,0.23467445
0020,0.91425318,0.08574682
0021,0.86743015,0.13256985
0022,0.92558366,0.07441634
0023,0.81530946,0.18469054
0024,0.92751336,0.07248664
0025,0.86971354,0.13028646
0026,0.92987239,0.07012761
0027,0.90939760,0.09060240
0028,0.86035901,0.13964099
0029,0.91131562,0.08868438
0030,0.95518088,0.04481912
0031,0.81841892,0.18158108
0032,0.93626702,0.06373298
0033,0.87169546,0.12830454
0034,0.91902477,0.08097523
0035,0.89393514,0.10606486
0036,0.94654435,0.05345565
0037,0.91074526,0.08925474
0038,0.97250128,0.02749872
0039,0.90643638,0.09356362
0040,0.86573356,0.13426644
0041,0.87456864,0.12543136
0042,0.83944792,0.16055208
0043,0.89390969,0.10609031
0044,0.88098240,0.11901760
0045,0.98377764,0.01622236
0046,0.62585968,0.37414032
0047,0.97046769,0.02953231
0048,0.87073797,0.12926203
0049,0.75214469,0.24785531
0050,0.91238517,0.08761483
0051,0.83515978,0.16484022
0052,0.85628241,0.14371759
0053,0.98185158,0.01814842
0054,0.87796891,0.12203109
0055,0.87225723,0.12774277
0056,0.78039074,0.21960926
0057,0.91977805,0.08022195
0058,0.95621854,0.04378146
0059,0.81266445,0.18733555
0060,0.94771487,0.05228513
0061,0.93386281,0.06613719
0062,0.89185244,0.10814756
0063,0.88621187,0.11378813
0064,0.92605436,0.07394564
0065,0.76605797,0.23394203
0066,0.80230331,0.19769669
0067,0.91750431,0.08249569
0068,0.97055435,0.02944565
0069,0.95865023,0.04134977
0070,0.85958064,0.14041936
0071,0.94910777,0.05089223
0072,0.87934518,0.12065482
0073,0.75338668,0.24661332
0074,0.95451993,0.04548007
0075,0.92497677,0.07502323
