pair_id,cos_sim,cos_dist
0000,0.83873487,0.16126513
0001,0.95638138,0.04361862
0002,0.97321606,0.02678394
0003,0.80983263,0.19016737
0004,0.97860843,0.02139157
0005,0.77590489,0.22409511
0006,0.86494398,0.13505602
0007,0.95747173,0.04252827
0008,0.72889006,0.27110994
0009,0.93882489,0.06117511
0010,0.80768847,0.19231153
0011,0.88907588,0.11092412
0012,0.83941376,0.16058624
0013,0.89620179,0.10379821
0014,0.80092096,0.19907904
0015,0.94857895,0.05142105
0016,0.74030733,0.25969267
0017,0.85084057,0.14915943
0018,0.95620632,0.04379368
0019,0.71022481,0.28977519
0020,0.91705137,0.08294863
0021,0.88276899,0.11723101
0022,0.89681530,0.10318470
0023,0.83640647,0.16359353
0024,0.94762319,0.05237681
0025,0.81916630,0.18083370
0026,0.91229320,0.08770680
0027,0.91938829,0.08061171
0028,0.82282364,0.17717636
0029,0.93253410,0.06746590
0030,0.97039664,0.02960336
0031,0.72694051,0.27305949
0032,0.90314072,0.09685928
0033,0.93438083,0.06561917
0034,0.86181957,0.13818043
0035,0.84519684,0.15480316
0036,0.79970855,0.20029145
0037,0.92083669,0.07916331
0038,0.96454179,0.03545821
0039,0.87999183,0.12000817
0040,0.85054284,0.14945716
0041,0.90175575,0.09824425
0042,0.87983871,0.12016129
0043,0.81338704,0.18661296
0044,0.76337856,0.23662144
0045,0.97199464,0.02800536
0046,0.83355534,0.16644466
0047,0.96548760,0.03451240
0048,0.78147805,0.21852195
0049,0.79236883,0.20763117
0050,0.89547336,0.10452664
0051,0.85096425,0.14903575
0052,0.82881540,0.17118460
0053,0.97065604,0.02934396
0054,0.96062994,0.03937006
0055,0.84164912,0.15835088
0056,0.84787476,0.15212524
0057,0.86307424,0.13692576
0058,0.96237040,0.03762960
0059,0.84634167,0.15365833
0060,0.92473996,0.07526004
0061,0.93417901,0.06582099
0062,0.92163783,0.07836217
0063,0.82777244,0.17222756
0064,0.96059436,0.03940564
0065,0.88577068,0.11422932
0066,0.84546965,0.15453035
0067,0.92287540,0.07712460
0068,0.96356773,0.03643227
0069,0.95360881,0.04639119
0070,0.86170608,0.13829392
0071,0.93845707,0.06154293
0072,0.77454525,0.22545475
0073,0.68206590,0.31793410
