pair_id,cos_sim,cos_dist
0000,0.54281223,0.45718777
0001,0.94403493,0.05596507
0002,0.98708290,0.01291710
0003,0.88292336,0.11707664
0004,0.98074472,0.01925528
0005,0.76980203,0.23019797
0006,0.69555926,0.30444074
0007,0.96046519,0.03953481
0008,0.77136517,0.22863483
0009,0.85123545,0.14876455
0010,0.82692397,0.17307603
0011,0.77059901,0.22940099
0012,0.57041508,0.42958492
0013,0.85585374,0.14414626
0014,0.77655327,0.22344673
0015,0.98294985,0.01705015
0016,0.56949234,0.43050766
0017,0.59970969,0.40029031
0018,0.92286974,0.07713026
0019,0.56916624,0.43083376
0020,0.78054714,0.21945286
0021,0.59490258,0.40509742
0022,0.92606664,0.07393336
0023,0.49186131,0.50813869
0024,0.90742272,0.09257728
0025,0.83594209,0.16405791
0026,0.83759499,0.16240501
0027,0.77862710,0.22137290
0028,0.71752471,0.28247529
0029,0.86408514,0.13591486
0030,0.95708203,0.04291797
0031,0.64533234,0.35466766
0032,0.91636515,0.08363485
0033,0.92528367,0.07471633
0034,0.73298347,0.26701653
0035,0.69638056,0.30361944
0036,0.85472018,0.14527982
0037,0.88049006,0.11950994
0038,0.95424730,0.04575270
0039,0.88609159,0.11390841
0040,0.67072409,0.32927591
0041,0.51794612,0.48205388
0042,0.62946606,0.37053394
0043,0.77297163,0.22702837
0044,0.76046735,0.23953265
0045,0.97042960,0.02957040
0046,0.45269081,0.54730919
0047,0.95220715,0.04779285
0048,0.63504368,0.36495632
0049,0.66887653,0.33112347
0050,0.72495806,0.27504194
0051,0.58019084,0.41980916
0052,0.78102267,0.21897733
0053,0.96273291,0.03726709
0054,0.84564310,0.15435690
0055,0.66448307,0.33551693
0056,0.63966739,0.36033261
0057,0.70173818,0.29826182
0058,0.96522516,0.03477484
0059,0.70103884,0.29896116
0060,0.86463279,0.13536721
0061,0.93325043,0.06674957
0062,0.81400758,0.18599242
0063,0.71670330,0.28329670
0064,0.87438124,0.12561876
0065,0.57253206,0.42746794
0066,0.61843526,0.38156474
0067,0.96408010,0.03591990
0068,0.94621027,0.05378973
0069,0.98053211,0.01946789
0070,0.73208153,0.26791847
0071,0.95042771,0.04957229
0072,0.75146258,0.24853742
0073,0.64897192,0.35102808
0074,0.94533825,0.05466175
0075,0.94201201,0.05798799
0076,0.99151814,0.00848186
0077,0.96370929,0.03629071
0078,0.92261708,0.07738292
0079,0.52357984,0.47642016
0080,0.68424362,0.31575638
0081,0.74269354,0.25730646
0082,0.75337446,0.24662554
0083,0.66995966,0.33004034
0084,0.98314786,0.01685214
0085,0.78334028,0.21665972
0086,0.85808432,0.14191568
0087,0.93699026,0.06300974
0088,0.96337545,0.03662455
0089,0.78423828,0.21576172
0090,0.59374195,0.40625805
0091,0.95537442,0.04462558
0092,0.91196012,0.08803988
0093,0.74651885,0.25348115
0094,0.93501979,0.06498021
0095,0.97608531,0.02391469
0096,0.97990602,0.02009398
0097,0.59192556,0.40807444
0098,0.61937964,0.38062036
0099,0.62970680,0.37029320
0100,0.81829256,0.18170744
0101,0.84667963,0.15332037
0102,0.53305346,0.46694654
0103,0.64646244,0.35353756
0104,0.76893157,0.23106843
0105,0.64567727,0.35432273
0106,0.63235563,0.36764437
0107,0.78373820,0.21626180
0108,0.86082685,0.13917315
0109,0.72335845,0.27664155
0110,0.84980661,0.15019339
0111,0.60793257,0.39206743
0112,0.94787335,0.05212665
0113,0.49437556,0.50562444
0114,0.81529254,0.18470746
0115,0.95220923,0.04779077
0116,0.98741478,0.01258522
0117,0.87619543,0.12380457
0118,0.44224465,0.55775535
0119,0.56796879,0.43203121
0120,0.87799954,0.12200046
0121,0.70738059,0.29261941
0122,0.78095359,0.21904641
0123,0.94061035,0.05938965
0124,0.85614663,0.14385337
0125,0.72855830,0.27144170
0126,0.73087609,0.26912391
0127,0.97995460,0.02004540
0128,0.84410977,0.15589023
0129,0.89360732,0.10639268
0130,0.63791573,0.36208427
0131,0.69875759,0.30124241
0132,0.97513413,0.02486587
0133,0.97245854,0.02754146
0134,0.90848142,0.09151858
0135,0.38257438,0.61742562
0136,0.96993750,0.03006250
0137,0.94515663,0.05484337
0138,0.73339283,0.26660717
0139,0.97002614,0.02997386
0140,0.98831439,0.01168561
0141,0.93617886,0.06382114
0142,0.58016366,0.41983634
0143,0.63724869,0.36275131
0144,0.47138155,0.52861845
0145,0.98046041,0.01953959
0146,0.74716610,0.25283390
0147,0.91078395,0.08921605
0148,0.97607595,0.02392405
0149,0.96450537,0.03549463
0150,0.87370765,0.12629235
0151,0.64453089,0.35546911
0152,0.95396900,0.04603100
0153,0.69092375,0.30907625
0154,0.97215915,0.02784085
0155,0.95101136,0.04898864
0156,0.97668862,0.02331138
0157,0.58373153,0.41626847
0158,0.74456066,0.25543934
0159,0.96629214,0.03370786
0160,0.77851439,0.22148561
0161,0.91935992,0.08064008
0162,0.68977898,0.31022102
0163,0.71786141,0.28213859
0164,0.68846500,0.31153500
0165,0.98111790,0.01888210
0166,0.98299199,0.01700801
0167,0.86805046,0.13194954
0168,0.93157285,0.06842715
0169,0.94803482,0.05196518
0170,0.96876824,0.03123176
0171,0.85710484,0.14289516
0172,0.70467579,0.29532421
0173,0.67937315,0.32062685
0174,0.58306849,0.41693151
0175,0.93453950,0.06546050
0176,0.76451319,0.23548681
0177,0.57338464,0.42661536
0178,0.92898297,0.07101703
0179,0.78178090,0.21821910
0180,0.67607403,0.32392597
0181,0.66703063,0.33296937
0182,0.91880798,0.08119202
0183,0.97283161,0.02716839
0184,0.97789752,0.02210248
0185,0.80923891,0.19076109
0186,0.97361130,0.02638870
0187,0.82150209,0.17849791
0188,0.82237518,0.17762482
0189,0.67679840,0.32320160
0190,0.62162733,0.37837267
0191,0.65169805,0.34830195
0192,0.73209572,0.26790428
0193,0.80901337,0.19098663
0194,0.98652798,0.01347202
0195,0.96713728,0.03286272
0196,0.51950103,0.48049897
0197,0.58978033,0.41021967
0198,0.67296016,0.32703984
0199,0.75111789,0.24888211
0200,0.66233981,0.33766019
0201,0.67136014,0.32863986
0202,0.86600757,0.13399243
0203,0.69200557,0.30799443
0204,0.61155206,0.38844794
0205,0.55408937,0.44591063
0206,0.91259372,0.08740628
0207,0.96701592,0.03298408
0208,0.91000336,0.08999664
0209,0.86699742,0.13300258
0210,0.97328520,0.02671480
0211,0.51545531,0.48454469
0212,0.89699101,0.10300899
0213,0.62259138,0.37740862
0214,0.79065156,0.20934844
0215,0.60250503,0.39749497
0216,0.78054065,0.21945935
0217,0.91205972,0.08794028
0218,0.67568201,0.32431799
0219,0.79751015,0.20248985
0220,0.42026097,0.57973903
0221,0.49148333,0.50851667
0222,0.88249493,0.11750507
0223,0.61784303,0.38215697
0224,0.74668628,0.25331372
0225,0.65465820,0.34534180
0226,0.92063439,0.07936561
0227,0.71354526,0.28645474
0228,0.42889321,0.57110679
0229,0.97263020,0.02736980
0230,0.98323500,0.01676500
0231,0.95462286,0.04537714
0232,0.72306526,0.27693474
0233,0.51450652,0.48549348
0234,0.56876576,0.43123424
0235,0.56432688,0.43567312
0236,0.85983795,0.14016205
0237,0.77762759,0.22237241
0238,0.56700158,0.43299842
0239,0.91487581,0.08512419
0240,0.90576357,0.09423643
0241,0.73538083,0.26461917
0242,0.95812678,0.04187322
0243,0.86822391,0.13177609
0244,0.66976070,0.33023930
0245,0.54586524,0.45413476
0246,0.89991212,0.10008788
0247,0.80245548,0.19754452
0248,0.83491135,0.16508865
0249,0.74473709,0.25526291
0250,0.95550448,0.04449552
0251,0.96843249,0.03156751
0252,0.57458043,0.42541957
0253,0.81828552,0.18171448
0254,0.95803815,0.04196185
0255,0.73809165,0.26190835
0256,0.91861421,0.08138579
0257,0.98102140,0.01897860
0258,0.95918405,0.04081595
0259,0.97331107,0.02668893
0260,0.71612298,0.28387702
0261,0.50615197,0.49384803
0262,0.96783316,0.03216684
0263,0.64105165,0.35894835
0264,0.61234981,0.38765019
0265,0.63462585,0.36537415
0266,0.42116374,0.57883626
0267,0.72289413,0.27710587
0268,0.89315969,0.10684031
0269,0.69034714,0.30965286
0270,0.76300156,0.23699844
0271,0.95245188,0.04754812
0272,0.95868218,0.04131782
0273,0.96821028,0.03178972
0274,0.75143003,0.24856997
0275,0.97401696,0.02598304
0276,0.84064531,0.15935469
0277,0.97286779,0.02713221
0278,0.50563556,0.49436444
0279,0.95395225,0.04604775
0280,0.88521343,0.11478657
0281,0.98222578,0.01777422
0282,0.97363567,0.02636433
0283,0.75681746,0.24318254
0284,0.80621529,0.19378471
0285,0.76145422,0.23854578
0286,0.76460534,0.23539466
0287,0.68540961,0.31459039
0288,0.56304103,0.43695897
0289,0.84340882,0.15659118
0290,0.95071834,0.04928166
0291,0.77641904,0.22358096
0292,0.82441419,0.17558581
0293,0.41577187,0.58422813
0294,0.51369214,0.48630786
0295,0.80051774,0.19948226
0296,0.76047850,0.23952150
0297,0.94357067,0.05642933
0298,0.97240812,0.02759188
0299,0.74803203,0.25196797
