pair_id,cos_sim,cos_dist
0000,0.99850309,0.00149691
0001,0.99970043,0.00029957
0002,0.99992698,0.00007302
0003,0.99980116,0.00019884
0004,0.99981010,0.00018990
0005,0.99817938,0.00182062
0006,0.99929398,0.00070602
0007,0.99982893,0.00017107
0008,0.99901938,0.00098062
0009,0.99953854,0.00046146
0010,0.99778354,0.00221646
0011,0.99831688,0.00168312
0012,0.99929070,0.00070930
0013,0.99957865,0.00042135
0014,0.99835819,0.00164181
0015,0.99992782,0.00007218
0016,0.99754113,0.00245887
0017,0.99876696,0.00123304
0018,0.99986833,0.00013167
0019,0.99871325,0.00128675
0020,0.99948752,0.00051248
0021,0.99663305,0.00336695
0022,0.99964195,0.00035805
0023,0.99672484,0.00327516
0024,0.99981785,0.00018215
0025,0.99966979,0.00033021
0026,0.99976957,0.00023043
0027,0.99856567,0.00143433
0028,0.99966776,0.00033224
0029,0.99871123,0.00128877
0030,0.99990386,0.00009614
0031,0.99830717,0.00169283
0032,0.99958616,0.00041384
0033,0.99973321,0.00026679
0034,0.99950284,0.00049716
0035,0.99963892,0.00036108
0036,0.99949175,0.00050825
0037,0.99864483,0.00135517
0038,0.99979341,0.00020659
0039,0.99954802,0.00045198
0040,0.99952090,0.00047910
0041,0.99699438,0.00300562
0042,0.99881983,0.00118017
0043,0.99947470,0.00052530
0044,0.99949199,0.00050801
0045,0.99990672,0.00009328
0046,0.99721766,0.00278234
0047,0.99965906,0.00034094
0048,0.99871832,0.00128168
0049,0.99392891,0.00607109
0050,0.99926966,0.00073034
0051,0.99148333,0.00851667
0052,0.99911755,0.00088245
0053,0.99994338,0.00005662
0054,0.99976510,0.00023490
0055,0.99890459,0.00109541
0056,0.99951994,0.00048006
0057,0.99948144,0.00051856
0058,0.99975675,0.00024325
0059,0.99953014,0.00046986
0060,0.99984622,0.00015378
0061,0.99986559,0.00013441
0062,0.99923337,0.00076663
0063,0.99935520,0.00064480
0064,0.99947798,0.00052202
0065,0.99712622,0.00287378
0066,0.99969935,0.00030065
0067,0.99983621,0.00016379
0068,0.99991733,0.00008267
0069,0.99987859,0.00012141
0070,0.99934995,0.00065005
0071,0.99983299,0.00016701
0072,0.99952638,0.00047362
0073,0.99890995,0.00109005
0074,0.99886805,0.00113195
0075,0.99969834,0.00030166
0076,0.99987406,0.00012594
0077,0.99991918,0.00008082
0078,0.99982792,0.00017208
0079,0.99650258,0.00349742
0080,0.99936521,0.00063479
0081,0.99920148,0.00079852
0082,0.99911857,0.00088143
0083,0.99899292,0.00100708
0084,0.99986875,0.00013125
0085,0.99805629,0.00194371
0086,0.99977219,0.00022781
0087,0.99969566,0.00030434
0088,0.99991131,0.00008869
0089,0.99951297,0.00048703
0090,0.99832743,0.00167257
0091,0.99983847,0.00016153
0092,0.99788880,0.00211120
0093,0.99932045,0.00067955
0094,0.99971449,0.00028551
0095,0.99989283,0.00010717
0096,0.99987996,0.00012004
0097,0.99936372,0.00063628
0098,0.99862331,0.00137669
0099,0.99843383,0.00156617
0100,0.99918193,0.00081807
0101,0.99892664,0.00107336
0102,0.99839121,0.00160879
0103,0.99913156,0.00086844
0104,0.99916416,0.00083584
0105,0.99706334,0.00293666
0106,0.99881697,0.00118303
0107,0.99813998,0.00186002
0108,0.99969959,0.00030041
0109,0.99955475,0.00044525
0110,0.99953067,0.00046933
0111,0.99830300,0.00169700
0112,0.99977124,0.00022876
0113,0.99891323,0.00108677
0114,0.99952567,0.00047433
0115,0.99968112,0.00031888
0116,0.99996096,0.00003904
0117,0.99913168,0.00086832
0118,0.99724776,0.00275224
0119,0.99839389,0.00160611
0120,0.99973166,0.00026834
0121,0.99910033,0.00089967
0122,0.99794531,0.00205469
0123,0.99964970,0.00035030
0124,0.99895757,0.00104243
0125,0.99901253,0.00098747
0126,0.99921983,0.00078017
0127,0.99993575,0.00006425
0128,0.99960512,0.00039488
0129,0.99863887,0.00136113
0130,0.99874330,0.00125670
0131,0.99942118,0.00057882
0132,0.99989009,0.00010991
0133,0.99980223,0.00019777
0134,0.99986386,0.00013614
0135,0.99573767,0.00426233
0136,0.99971479,0.00028521
0137,0.99981934,0.00018066
0138,0.99922693,0.00077307
0139,0.99983412,0.00016588
0140,0.99993366,0.00006634
0141,0.99904042,0.00095958
0142,0.99859554,0.00140446
0143,0.99928182,0.00071818
0144,0.99697506,0.00302494
0145,0.99985361,0.00014639
0146,0.99944896,0.00055104
0147,0.99972004,0.00027996
0148,0.99991673,0.00008327
0149,0.99960732,0.00039268
0150,0.99929553,0.00070447
0151,0.99939442,0.00060558
0152,0.99956006,0.00043994
0153,0.99939287,0.00060713
0154,0.99954617,0.00045383
0155,0.99979925,0.00020075
0156,0.99978578,0.00021422
0157,0.99882263,0.00117737
0158,0.99908477,0.00091523
0159,0.99953896,0.00046104
0160,0.99632436,0.00367564
0161,0.99956185,0.00043815
0162,0.99864471,0.00135529
0163,0.99925274,0.00074726
0164,0.99952728,0.00047272
0165,0.99993509,0.00006491
0166,0.99991876,0.00008124
0167,0.99954826,0.00045174
0168,0.99975026,0.00024974
0169,0.99982941,0.00017059
0170,0.99972981,0.00027019
0171,0.99932659,0.00067341
0172,0.99895221,0.00104779
0173,0.99836606,0.00163394
0174,0.99412453,0.00587547
0175,0.99976039,0.00023961
0176,0.99951005,0.00048995
0177,0.99743426,0.00256574
0178,0.99968606,0.00031394
0179,0.99902475,0.00097525
0180,0.99729472,0.00270528
0181,0.99632090,0.00367910
0182,0.99963361,0.00036639
0183,0.99994290,0.00005710
0184,0.99988389,0.00011611
0185,0.99952888,0.00047112
0186,0.99976093,0.00023907
0187,0.99962872,0.00037128
0188,0.99967360,0.00032640
0189,0.99895793,0.00104207
0190,0.99979520,0.00020480
0191,0.99811327,0.00188673
0192,0.99947238,0.00052762
0193,0.99959028,0.00040972
0194,0.99993682,0.00006318
0195,0.99975556,0.00024444
0196,0.99851590,0.00148410
0197,0.99656010,0.00343990
0198,0.99934006,0.00065994
0199,0.99801749,0.00198251
0200,0.99849594,0.00150406
0201,0.99922943,0.00077057
0202,0.99953431,0.00046569
0203,0.99938059,0.00061941
0204,0.99825794,0.00174206
0205,0.99658972,0.00341028
0206,0.99936688,0.00063312
0207,0.99979377,0.00020623
0208,0.99978751,0.00021249
0209,0.99971163,0.00028837
0210,0.99886078,0.00113922
0211,0.99638480,0.00361520
0212,0.99940664,0.00059336
0213,0.99684590,0.00315410
0214,0.99898475,0.00101525
0215,0.99937737,0.00062263
0216,0.99845159,0.00154841
0217,0.99971747,0.00028253
0218,0.99852198,0.00147802
0219,0.99923301,0.00076699
0220,0.99599779,0.00400221
0221,0.99761659,0.00238341
0222,0.99935019,0.00064981
0223,0.98870289,0.01129711
0224,0.99936426,0.00063574
0225,0.99935985,0.00064015
0226,0.99962682,0.00037318
0227,0.99860328,0.00139672
0228,0.99693930,0.00306070
0229,0.99994671,0.00005329
0230,0.99982697,0.00017303
0231,0.99985993,0.00014007
0232,0.99822265,0.00177735
0233,0.99709260,0.00290740
0234,0.99931169,0.00068831
0235,0.99730337,0.00269663
0236,0.99945349,0.00054651
0237,0.99886876,0.00113124
0238,0.99726027,0.00273973
0239,0.99805355,0.00194645
0240,0.99966002,0.00033998
