pair_id,cos_sim,cos_dist
0000,0.87219608,0.12780392
0001,0.95725143,0.04274857
0002,0.99505460,0.00494540
0003,0.96455014,0.03544986
0004,0.99396765,0.00603235
0005,0.87856090,0.12143910
0006,0.93624938,0.06375062
0007,0.98848575,0.01151425
0008,0.93591934,0.06408066
0009,0.94830388,0.05169612
0010,0.94414330,0.05585670
0011,0.95479524,0.04520476
0012,0.92102230,0.07897770
0013,0.94178802,0.05821198
0014,0.85781908,0.14218092
0015,0.98193443,0.01806557
0016,0.85101652,0.14898348
0017,0.91440439,0.08559561
0018,0.96964276,0.03035724
0019,0.86128968,0.13871032
0020,0.96467048,0.03532952
0021,0.86460602,0.13539398
0022,0.96971965,0.03028035
0023,0.88030231,0.11969769
0024,0.96713877,0.03286123
0025,0.92655116,0.07344884
0026,0.94808143,0.05191857
0027,0.91752553,0.08247447
0028,0.93450087,0.06549913
0029,0.96440887,0.03559113
0030,0.96989852,0.03010148
0031,0.85516310,0.14483690
0032,0.96644336,0.03355664
0033,0.94964349,0.05035651
0034,0.91780221,0.08219779
0035,0.88264751,0.11735249
0036,0.93510312,0.06489688
0037,0.93280667,0.06719333
0038,0.97886348,0.02113652
0039,0.96171778,0.03828222
0040,0.92604637,0.07395363
0041,0.88268238,0.11731762
0042,0.85561037,0.14438963
0043,0.93961185,0.06038815
0044,0.91867793,0.08132207
0045,0.98255217,0.01744783
0046,0.84156513,0.15843487
0047,0.98777080,0.01222920
0048,0.90252048,0.09747952
0049,0.88610446,0.11389554
0050,0.91119057,0.08880943
0051,0.85098433,0.14901567
0052,0.88219255,0.11780745
0053,0.99397528,0.00602472
0054,0.96857756,0.03142244
0055,0.93438053,0.06561947
0056,0.81799054,0.18200946
0057,0.91357988,0.08642012
0058,0.97978824,0.02021176
0059,0.89224434,0.10775566
0060,0.93736583,0.06263417
0061,0.96355802,0.03644198
0062,0.94628143,0.05371857
0063,0.87877417,0.12122583
0064,0.95473683,0.04526317
