pair_id,cos_sim,cos_dist
0000,0.95423043,0.04576957
0001,0.95065200,0.04934800
0002,0.90952253,0.09047747
0003,0.90194595,0.09805405
0004,0.79474747,0.20525253
0005,0.71510112,0.28489888
0006,0.68915009,0.31084991
0007,0.81411988,0.18588012
0008,0.79278451,0.20721549
0009,0.83071643,0.16928357
0010,0.86079270,0.13920730
0011,0.84316003,0.15683997
0012,0.88909304,0.11090696
0013,0.84448320,0.15551680
0014,0.73657572,0.26342428
0015,0.85025388,0.14974612
0016,0.94020730,0.05979270
0017,0.86360919,0.13639081
0018,0.81410122,0.18589878
0019,0.87158084,0.12841916
0020,0.82580066,0.17419934
0021,0.86655784,0.13344216
0022,0.81871861,0.18128139
0023,0.82616597,0.17383403
0024,0.81235737,0.18764263
0025,0.84267807,0.15732193
0026,0.85798824,0.14201176
0027,0.84428596,0.15571404
0028,0.85976726,0.14023274
0029,0.85537744,0.14462256
0030,0.82423532,0.17576468
0031,0.82578367,0.17421633
0032,0.94349098,0.05650902
0033,0.93915695,0.06084305
0034,0.95614713,0.04385287
0035,0.95658135,0.04341865
0036,0.95691550,0.04308450
0037,0.96193707,0.03806293
0038,0.95502508,0.04497492
0039,0.95690531,0.04309469
0040,0.95274270,0.04725730
0041,0.95982158,0.04017842
0042,0.96807998,0.03192002
0043,0.95933384,0.04066616
0044,0.96901035,0.03098965
0045,0.97181505,0.02818495
0046,0.95876908,0.04123092
0047,0.95673305,0.04326695
0048,0.96816385,0.03183615
0049,0.97734219,0.02265781
0050,0.97545093,0.02454907
0051,0.96975791,0.03024209
0052,0.97061312,0.02938688
0053,0.96688974,0.03311026
0054,0.94651157,0.05348843
0055,0.91369796,0.08630204
0056,0.89343631,0.10656369
0057,0.93717861,0.06282139
0058,0.86547297,0.13452703
0059,0.91221261,0.08778739
0060,0.92068881,0.07931119
0061,0.90907079,0.09092921
0062,0.88034093,0.11965907
0063,0.86802226,0.13197774
0064,0.94413531,0.05586469
0065,0.95454639,0.04545361
0066,0.95623523,0.04376477
0067,0.93540180,0.06459820
0068,0.92789012,0.07210988
0069,0.93933868,0.06066132
0070,0.91126704,0.08873296
0071,0.88284713,0.11715287
0072,0.91973251,0.08026749
0073,0.92960787,0.07039213
0074,0.91836429,0.08163571
0075,0.92110759,0.07889241
0076,0.93883491,0.06116509
0077,0.91710627,0.08289373
0078,0.84233606,0.15766394
0079,0.77095014,0.22904986
0080,0.92670035,0.07329965
0081,0.88848770,0.11151230
0082,0.87354344,0.12645656
0083,0.90009886,0.09990114
0084,0.81636220,0.18363780
0085,0.82163370,0.17836630
0086,0.89926016,0.10073984
0087,0.80483103,0.19516897
0088,0.75550848,0.24449152
0089,0.74683070,0.25316930
0090,0.76249158,0.23750842
0091,0.77810049,0.22189951
0092,0.81285453,0.18714547
0093,0.76507431,0.23492569
0094,0.65900284,0.34099716
0095,0.71972769,0.28027231
0096,0.96053267,0.03946733
0097,0.96162850,0.03837150
0098,0.95295149,0.04704851
0099,0.90307611,0.09692389
0100,0.92974848,0.07025152
0101,0.93919951,0.06080049
0102,0.94065875,0.05934125
0103,0.94905996,0.05094004
0104,0.93436569,0.06563431
0105,0.93968028,0.06031972
0106,0.92108858,0.07891142
0107,0.90178078,0.09821922
0108,0.91337788,0.08662212
0109,0.85988188,0.14011812
0110,0.88637853,0.11362147
0111,0.84777945,0.15222055
0112,0.94835907,0.05164093
0113,0.96164089,0.03835911
0114,0.96169168,0.03830832
0115,0.95734137,0.04265863
0116,0.88649094,0.11350906
0117,0.90383339,0.09616661
0118,0.89024401,0.10975599
0119,0.91802686,0.08197314
0120,0.90757293,0.09242707
0121,0.91326201,0.08673799
0122,0.88774800,0.11225200
0123,0.88246268,0.11753732
0124,0.88833195,0.11166805
0125,0.86524534,0.13475466
0126,0.85611415,0.14388585
0127,0.86249590,0.13750410
0128,0.97139657,0.02860343
0129,0.92760599,0.07239401
0130,0.93857336,0.06142664
0131,0.92811024,0.07188976
