pair_id,cos_sim,cos_dist
0000,0.77589160,0.22410840
0001,0.87611842,0.12388158
0002,0.82402116,0.17597884
0003,0.79703075,0.20296925
0004,0.81362021,0.18637979
0005,0.81408620,0.18591380
0006,0.72762984,0.27237016
0007,0.88123596,0.11876404
0008,0.83073974,0.16926026
0009,0.84091300,0.15908700
0010,0.77606511,0.22393489
0011,0.73501945,0.26498055
0012,0.70443934,0.29556066
0013,0.84366876,0.15633124
0014,0.78056467,0.21943533
0015,0.77843797,0.22156203
0016,0.92358863,0.07641137
0017,0.85068274,0.14931726
0018,0.90383303,0.09616697
0019,0.81284922,0.18715078
0020,0.86277205,0.13722795
0021,0.79598916,0.20401084
0022,0.80718803,0.19281197
0023,0.80102402,0.19897598
0024,0.76195085,0.23804915
0025,0.67508024,0.32491976
0026,0.67713678,0.32286322
0027,0.75401402,0.24598598
0028,0.76251501,0.23748499
0029,0.75032771,0.24967229
0030,0.75027615,0.24972385
0031,0.73130733,0.26869267
0032,0.89933467,0.10066533
0033,0.91510463,0.08489537
0034,0.90264601,0.09735399
0035,0.91476464,0.08523536
0036,0.89621603,0.10378397
0037,0.91882688,0.08117312
0038,0.91576141,0.08423859
0039,0.91644168,0.08355832
0040,0.91109383,0.08890617
0041,0.92909622,0.07090378
0042,0.91836673,0.08163327
0043,0.91680408,0.08319592
0044,0.89256835,0.10743165
0045,0.90770668,0.09229332
0046,0.92097008,0.07902992
0047,0.89199263,0.10800737
0048,0.95674831,0.04325169
0049,0.94028789,0.05971211
0050,0.92951488,0.07048512
0051,0.92791873,0.07208127
0052,0.94195235,0.05804765
0053,0.93588543,0.06411457
0054,0.93747318,0.06252682
0055,0.87796301,0.12203699
0056,0.81595719,0.18404281
0057,0.81968880,0.18031120
0058,0.79092288,0.20907712
0059,0.87626743,0.12373257
0060,0.87257916,0.12742084
0061,0.89335817,0.10664183
0062,0.85621834,0.14378166
0063,0.86465216,0.13534784
0064,0.89456153,0.10543847
0065,0.92337692,0.07662308
0066,0.91225672,0.08774328
0067,0.90810621,0.09189379
0068,0.89814043,0.10185957
0069,0.90753520,0.09246480
0070,0.92478251,0.07521749
0071,0.88490260,0.11509740
0072,0.87718737,0.12281263
0073,0.89133805,0.10866195
0074,0.88467801,0.11532199
0075,0.80023056,0.19976944
0076,0.79540765,0.20459235
0077,0.81522536,0.18477464
0078,0.81826335,0.18173665
0079,0.79769546,0.20230454
0080,0.93565655,0.06434345
0081,0.91120100,0.08879900
0082,0.88542944,0.11457056
0083,0.80863643,0.19136357
0084,0.76053792,0.23946208
0085,0.80738467,0.19261533
0086,0.80439359,0.19560641
0087,0.75424397,0.24575603
0088,0.65766573,0.34233427
0089,0.80074590,0.19925410
0090,0.81658411,0.18341589
0091,0.79608732,0.20391268
0092,0.76351303,0.23648697
0093,0.70602506,0.29397494
0094,0.64401078,0.35598922
0095,0.63341445,0.36658555
0096,0.82738465,0.17261535
0097,0.86998367,0.13001633
0098,0.86391854,0.13608146
0099,0.88760418,0.11239582
0100,0.78776312,0.21223688
0101,0.82044721,0.17955279
0102,0.81874818,0.18125182
0103,0.83903265,0.16096735
0104,0.86198556,0.13801444
0105,0.91329020,0.08670980
0106,0.88984668,0.11015332
0107,0.80615437,0.19384563
0108,0.84544623,0.15455377
0109,0.79971194,0.20028806
0110,0.87567121,0.12432879
0111,0.67922056,0.32077944
0112,0.88963902,0.11036098
0113,0.87725306,0.12274694
0114,0.78702855,0.21297145
0115,0.86228430,0.13771570
0116,0.81895489,0.18104511
0117,0.89786500,0.10213500
0118,0.88113177,0.11886823
0119,0.84028399,0.15971601
0120,0.87083220,0.12916780
0121,0.84404516,0.15595484
0122,0.90006745,0.09993255
0123,0.86012655,0.13987345
0124,0.84071565,0.15928435
0125,0.87010992,0.12989008
0126,0.87998796,0.12001204
0127,0.88713038,0.11286962
0128,0.92058402,0.07941598
0129,0.89067185,0.10932815
0130,0.89219379,0.10780621
0131,0.82097524,0.17902476
0132,0.84006065,0.15993935
0133,0.82753301,0.17246699
0134,0.86230791,0.13769209
0135,0.83612382,0.16387618
0136,0.79385841,0.20614159
0137,0.81841570,0.18158430
0138,0.76982152,0.23017848
0139,0.78020072,0.21979928
0140,0.68779838,0.31220162
0141,0.68823808,0.31176192
0142,0.65479749,0.34520251
0143,0.68381888,0.31618112
0144,0.96015739,0.03984261
0145,0.91742820,0.08257180
0146,0.92934340,0.07065660
0147,0.89683157,0.10316843
0148,0.88399559,0.11600441
0149,0.90809840,0.09190160
0150,0.91458672,0.08541328
0151,0.88836962,0.11163038
0152,0.91856068,0.08143932
0153,0.91494572,0.08505428
0154,0.90867239,0.09132761
