pair_id,cos_sim,cos_dist
0000,0.94128132,0.05871868
0001,0.93698370,0.06301630
0002,0.89183390,0.10816610
0003,0.82499957,0.17500043
0004,0.73390567,0.26609433
0005,0.62455046,0.37544954
0006,0.77552360,0.22447640
0007,0.75578755,0.24421245
0008,0.73652041,0.26347959
0009,0.78211683,0.21788317
0010,0.70879138,0.29120862
0011,0.71921235,0.28078765
0012,0.76903856,0.23096144
0013,0.64709044,0.35290956
0014,0.73857564,0.26142436
0015,0.65296006,0.34703994
0016,0.94885296,0.05114704
0017,0.85983574,0.14016426
0018,0.81301987,0.18698013
0019,0.78531736,0.21468264
0020,0.73599017,0.26400983
0021,0.72636497,0.27363503
0022,0.71400428,0.28599572
0023,0.70401180,0.29598820
0024,0.59830046,0.40169954
0025,0.58810395,0.41189605
0026,0.55222166,0.44777834
0027,0.56832749,0.43167251
0028,0.53523284,0.46476716
0029,0.53094453,0.46905547
0030,0.54990482,0.45009518
0031,0.55885804,0.44114196
0032,0.93483019,0.06516981
0033,0.93947613,0.06052387
0034,0.93711281,0.06288719
0035,0.93298656,0.06701344
0036,0.93808466,0.06191534
0037,0.93802917,0.06197083
0038,0.94024885,0.05975115
0039,0.94012195,0.05987805
0040,0.94188201,0.05811799
0041,0.93654299,0.06345701
0042,0.93436003,0.06563997
0043,0.93610442,0.06389558
0044,0.94064480,0.05935520
0045,0.94437194,0.05562806
0046,0.93175113,0.06824887
0047,0.93025172,0.06974828
0048,0.98733693,0.01266307
0049,0.98528934,0.01471066
0050,0.98501056,0.01498944
0051,0.98522890,0.01477110
0052,0.98408228,0.01591772
0053,0.97673684,0.02326316
0054,0.97383887,0.02616113
0055,0.96462184,0.03537816
0056,0.95816767,0.04183233
0057,0.95799804,0.04200196
0058,0.95451701,0.04548299
0059,0.94792491,0.05207509
0060,0.94585919,0.05414081
0061,0.95003498,0.04996502
0062,0.93383664,0.06616336
0063,0.93132257,0.06867743
0064,0.92945498,0.07054502
0065,0.93917078,0.06082922
0066,0.92657834,0.07342166
0067,0.94100773,0.05899227
0068,0.92075443,0.07924557
0069,0.88649970,0.11350030
0070,0.89439756,0.10560244
0071,0.86905390,0.13094610
0072,0.84499061,0.15500939
0073,0.85499090,0.14500910
0074,0.87007684,0.12992316
0075,0.85491282,0.14508718
0076,0.84547949,0.15452051
0077,0.78066313,0.21933687
0078,0.75275427,0.24724573
0079,0.62649369,0.37350631
0080,0.92652190,0.07347810
0081,0.88132411,0.11867589
0082,0.82191896,0.17808104
0083,0.76861471,0.23138529
0084,0.70179927,0.29820073
0085,0.72724640,0.27275360
0086,0.72697717,0.27302283
0087,0.68233156,0.31766844
0088,0.57450706,0.42549294
0089,0.65442187,0.34557813
0090,0.61007500,0.38992500
0091,0.64061481,0.35938519
0092,0.70438355,0.29561645
0093,0.66229314,0.33770686
0094,0.45864502,0.54135498
0095,0.42740840,0.57259160
0096,0.94016188,0.05983812
0097,0.91770291,0.08229709
0098,0.93010461,0.06989539
0099,0.93578899,0.06421101
0100,0.92845446,0.07154554
0101,0.93629760,0.06370240
0102,0.91455102,0.08544898
0103,0.91559303,0.08440697
0104,0.85260141,0.14739859
0105,0.83302003,0.16697997
0106,0.78577709,0.21422291
0107,0.80123365,0.19876635
0108,0.74120402,0.25879598
0109,0.57058245,0.42941755
0110,0.71403307,0.28596693
0111,0.55906397,0.44093603
0112,0.97134936,0.02865064
0113,0.97016728,0.02983272
0114,0.96463168,0.03536832
0115,0.95600498,0.04399502
0116,0.79654050,0.20345950
0117,0.85634077,0.14365923
0118,0.86992955,0.13007045
0119,0.84552974,0.15447026
0120,0.81717640,0.18282360
0121,0.82462561,0.17537439
0122,0.84042966,0.15957034
0123,0.80767715,0.19232285
0124,0.82744581,0.17255419
0125,0.86187029,0.13812971
0126,0.84400380,0.15599620
0127,0.84450656,0.15549344
0128,0.95710629,0.04289371
0129,0.90170068,0.09829932
0130,0.89311928,0.10688072
0131,0.82702267,0.17297733
