pair_id,cos_sim,cos_dist
0000,0.99988997,0.00011003
0001,0.99984616,0.00015384
0002,0.99989170,0.00010830
0003,0.99984825,0.00015175
0004,0.99973917,0.00026083
0005,0.99942684,0.00057316
0006,0.99969292,0.00030708
0007,0.99964595,0.00035405
0008,0.99972177,0.00027823
0009,0.99973428,0.00026572
0010,0.99950492,0.00049508
0011,0.99915373,0.00084627
0012,0.99875104,0.00124896
0013,0.99939859,0.00060141
0014,0.99769592,0.00230408
0015,0.99739224,0.00260776
0016,0.99985135,0.00014865
0017,0.99954909,0.00045091
0018,0.99913836,0.00086164
0019,0.99926734,0.00073266
0020,0.99892306,0.00107694
0021,0.99893248,0.00106752
0022,0.99906456,0.00093544
0023,0.99912077,0.00087923
0024,0.99866319,0.00133681
0025,0.99843919,0.00156081
0026,0.99857289,0.00142711
0027,0.99857110,0.00142890
0028,0.99868697,0.00131303
0029,0.99859405,0.00140595
0030,0.99882090,0.00117910
0031,0.99878079,0.00121921
0032,0.99979973,0.00020027
0033,0.99981177,0.00018823
0034,0.99978793,0.00021207
0035,0.99978477,0.00021523
0036,0.99976182,0.00023818
0037,0.99979842,0.00020158
0038,0.99973130,0.00026870
0039,0.99970514,0.00029486
0040,0.99970376,0.00029624
0041,0.99971503,0.00028497
0042,0.99980009,0.00019991
0043,0.99977458,0.00022542
0044,0.99977255,0.00022745
0045,0.99977130,0.00022870
0046,0.99970919,0.00029081
0047,0.99967641,0.00032359
0048,0.99990731,0.00009269
0049,0.99979085,0.00020915
0050,0.99981856,0.00018144
0051,0.99978870,0.00021130
0052,0.99976993,0.00023007
0053,0.99971658,0.00028342
0054,0.99939483,0.00060517
0055,0.99915135,0.00084865
0056,0.99893540,0.00106460
0057,0.99839890,0.00160110
0058,0.99846184,0.00153816
0059,0.99882883,0.00117117
0060,0.99896944,0.00103056
0061,0.99849898,0.00150102
0062,0.99832571,0.00167429
0063,0.99854648,0.00145352
0064,0.99991113,0.00008887
0065,0.99983424,0.00016576
0066,0.99981636,0.00018364
0067,0.99975425,0.00024575
0068,0.99976528,0.00023472
0069,0.99970478,0.00029522
0070,0.99962384,0.00037616
0071,0.99967462,0.00032538
0072,0.99951762,0.00048238
0073,0.99954361,0.00045639
0074,0.99944824,0.00055176
