pair_id,cos_sim,cos_dist
0000,0.96110117,0.03889883
0001,0.94895267,0.05104733
0002,0.95841193,0.04158807
0003,0.92402816,0.07597184
0004,0.93100554,0.06899446
0005,0.92030597,0.07969403
0006,0.93254256,0.06745744
0007,0.95205981,0.04794019
0008,0.92185205,0.07814795
0009,0.91977620,0.08022380
0010,0.93665791,0.06334209
0011,0.92490184,0.07509816
0012,0.92104506,0.07895494
0013,0.84974921,0.15025079
0014,0.88312447,0.11687553
0015,0.87665391,0.12334609
0016,0.93216717,0.06783283
0017,0.83315706,0.16684294
0018,0.92959887,0.07040113
0019,0.93422616,0.06577384
0020,0.91425061,0.08574939
0021,0.88452184,0.11547816
0022,0.88148659,0.11851341
0023,0.86706364,0.13293636
0024,0.82885170,0.17114830
0025,0.85872090,0.14127910
0026,0.84353036,0.15646964
0027,0.86910123,0.13089877
0028,0.88401407,0.11598593
0029,0.87426752,0.12573248
0030,0.85970342,0.14029658
0031,0.85569221,0.14430779
0032,0.96711957,0.03288043
0033,0.96799225,0.03200775
0034,0.97579873,0.02420127
0035,0.96676886,0.03323114
0036,0.97362804,0.02637196
0037,0.96517819,0.03482181
0038,0.95987147,0.04012853
0039,0.96149272,0.03850728
0040,0.96864229,0.03135771
0041,0.96936095,0.03063905
0042,0.97611678,0.02388322
0043,0.96822238,0.03177762
0044,0.96517575,0.03482425
0045,0.97046393,0.02953607
0046,0.96541750,0.03458250
0047,0.95883656,0.04116344
0048,0.98665482,0.01334518
0049,0.98661333,0.01338667
0050,0.98503333,0.01496667
0051,0.98291171,0.01708829
0052,0.97783083,0.02216917
0053,0.97747850,0.02252150
0054,0.97787315,0.02212685
0055,0.95870751,0.04129249
0056,0.93641835,0.06358165
0057,0.95712817,0.04287183
0058,0.95960462,0.04039538
0059,0.96373177,0.03626823
0060,0.95947278,0.04052722
0061,0.95540303,0.04459697
0062,0.94686687,0.05313313
0063,0.94539392,0.05460608
0064,0.95690209,0.04309791
0065,0.96198452,0.03801548
0066,0.95410216,0.04589784
0067,0.95836091,0.04163909
0068,0.96136242,0.03863758
0069,0.96765721,0.03234279
0070,0.95274591,0.04725409
0071,0.93695539,0.06304461
